Deltas,Lat,Lon
Amazon,0.32354000,-50.06880000
Amur,53.10997000,140.70681000
Brahmani,20.70254000,86.93777000
Burdekin,-19.55368000,147.56013000
Choa,13.51700000,100.61700000
Colorado,31.80906000,-114.81200000
Congo,-6.03415000,12.37825000
Danube,45.16250000,29.78949000
Dnieper,46.62088000,32.57558000
Ebro,40.61531000,0.96745000
Fly,-8.37217000,143.18845000
Ganges,21.66387000,89.16045000
Godavari,16.41329000,82.02666000
Grijalva,18.30355000,-92.66515000
Han,37.63095000,126.74955000
Hong,20.54043000,106.52512000
Indus,23.83300000,67.61700000
Irawaddy,15.92887000,94.82227000
Krishna,16.02579000,80.89217000
Lena,71.39260000,127.23544000
Limpopo,-25.19447000,33.52523000
Mackenzie,68.69007000,-134.23800000
Magdalena,11.11360000,-74.84090000
Mahakam,-0.73768000,117.58296000
Mahanadi,20.37934000,86.72008000
Mekong,9.77248000,106.58056000
Mississippi,28.96700000,-89.28300000
Moulouya,35.14071000,-2.33076000
Niger,4.33300000,5.88300000
Nile,31.72728000,31.12304000
Orinoco,9.69100000,-61.22900000
Parana,-34.25500000,-58.37700000
Po,44.93992000,12.55926000
Rhine,51.98900000,4.08700000
Rhone,43.31923000,4.64504000
RioG,25.98300000,-97.13300000
Sao,-10.50732000,-36.40504000
Sebou,34.28165000,-6.65790000
Senegal,16.04796000,-16.57430000
ShattelArab,29.96306000,48.54556000
Tana,-2.60689000,40.36218000
Tone,35.67544000,140.73786000
Vistula,54.38888000,18.95602000
Volta,5.72619000,0.66700000
Yangtze,32.21453000,119.52615000
Yellow,38.17438000,118.81596000
Yukon,63.06646000,-164.55600000
