Deltas,Lon,Lat,Included
Amazon,-51.37239385,-0.517841948,Clouds
Amur,140.4148366,53.06591842,Ice
Atrato,-77.0111854,7.97730869,Incl
Baram,114.2333389,4.395357006,Incl
Barito,114.5069718,-2.921702318,Incl
Brahmani,86.83992031,20.72803864,Incl
Burdekin,147.515543,-19.65132564,Incl
Choa,100.5692605,13.61451396,Incl
Coco,-83.30759937,15.000228,Incl
Colorado,-114.8884896,31.86859485,Incl
Columbia,-123.3518325,46.1953668,Incl
Congo,12.68023965,-6.021257866,Clouds
Danube,29.29394973,45.02423619,Incl
Dnieper,32.5526363,46.59310136,Incl
Doce,-40.01495524,-19.4985075,Incl
Ebro,0.698765224,40.72021073,Incl
Essequibo,-58.5334472,6.66901811,Clouds
Fly,143.2458582,-8.464494203,Incl
Ganges,89.94305243,22.9305643,Incl
Godavari,82.1488585,16.72048812,Incl
Grijalva,-92.66824149,18.44696011,Incl
Guayas,-79.84027473,-2.286112469,Incl
Han,126.5455147,37.67063833,Incl
BatangHari,104.1221097,-1.21543769,NoVeg
Hong,106.5792621,20.25673173,NoVeg
Indigirka,149.8221586,71.05933683,Ice
Indus,67.64000426,24.12983318,Incl
Irawaddy,95.153364,16.64523983,Clouds
Jacui,-51.30761051,-29.9810642,Incl
Kajan,117.4400398,2.884967951,Incl
Kampar,102.4819764,0.538103478,Incl
Kapuas,109.3338346,-0.237081148,Incl
Khatanga,104.6117559,72.65070599,Ice
Kikori,144.283494,-7.495971508,Clouds
Kolyma,160.7220523,69.02366751,Ice
Krishna,80.93697883,15.81230348,Incl
Kuskokwim,-162.1184464,60.50136081,Ice
Lena,128.0274944,72.76829408,Ice
Limpopo,33.56521343,-25.04900074,Incl
Mackenzie,-134.3670687,68.76446139,Ice
Magdalena,-74.75854107,10.898581,Incl
Mahakam,117.3975671,-0.540344744,Clouds
Mahanadi,86.62769833,20.35385512,Incl
Mamberamo,137.8609828,-1.620701604,Incl
Mekong,106.7434754,10.1867387,Incl
Minjiang,119.2863045,26.11785999,Incl
Mississippi,-89.46399605,29.27586778,Incl
Mobile,-87.93428847,30.90885052,Incl
Moulouya,-2.376335996,35.09535,Incl
Musi,104.9210206,-2.574606593,Clouds
Niger,5.821140389,5.200036145,Clouds
Nile,30.4888537,31.31414553,Incl
Ob,68.8861594,66.6082479,Ice
Ogooue,9.152003842,-1.025659737,Clouds
Olenyok,119.6644804,73.03152452,Ice
Orinoco,-61.46894165,8.59281735,Incl
Papaloapan,-95.70852333,18.66961615,Incl
Parana,-58.893364,-33.86988922,Incl
Parnaiba,-41.84262886,-2.812386588,Incl
Patia,-78.38171662,2.352968041,Clouds
Pawan,110.0839287,-1.807824046,Incl
Pechora,53.32568379,67.81552378,Ice
Po,12.29169998,44.97717061,Incl
Purari,145.0674179,-7.629568981,Incl
Pyasina,86.8910843,73.7868658,Ice
Rajang,111.5673827,2.463738118,Incl
Rhine,4.364869869,51.7570735,Incl
Rhone,4.784548665,43.41820457,Incl
RioG,-97.21341763,25.94910896,Incl
Rufiji,39.17328731,-7.938139244,Incl
Saigon,106.8205954,10.65253913,Incl
Salween,97.60251774,16.44076648,Clouds
Sanaga,9.723189817,3.583997038,Clouds
SanJuan,-77.37917346,4.181731462,Clouds
Sao,-36.4985341,-10.40691037,Incl
Sebou,-6.611389947,34.28845622,Incl
Senegal,-16.34004532,16.25304112,Incl
Sepik,144.3600706,-3.970357769,Incl
Sesjab,117.3301026,3.559363457,Incl
ShattelArab,48.26859681,30.24362094,Incl
StLawrence,-70.20124306,47.46481977,Ice
Tana,40.47076347,-2.505996065,Incl
Taymyra,99.78222844,75.9469814,Ice
Taz,80.51291568,67.10252885,Ice
Tocantins,-49.29150392,-2.085334091,Incl
Tone,140.7533326,35.78601851,Incl
Tsirbihina,44.46365899,-19.67110102,Incl
Uruguay,-58.20859613,-32.86635937,Incl
Vistula,18.87811645,54.20201056,Ice
Volta,0.655098432,5.828161833,Incl
Yana,136.2985261,71.19677311,Ice
Yangtze,120.9307955,31.72226681,Clouds
Yellow,119.172488,37.77503636,Clouds
Yenisei,83.20462997,70.33934689,Ice
Yukon,-164.3938387,62.50991778,Ice
Zambezi,35.89960085,-18.32419079,Incl
Bramaputra,91.162739,22.38507,NoVeg
Zhujiang,113.627864,22.555914,NoVeg
Meghna,91.162739,22.38507,NoVeg
Neva,30.212317,59.92239,NoVeg
Usumacinta,-92.696088,18.610001,NoVeg
