system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225060_19850813,51.0,65.984856,,0.999968239005728,1985-08-13T13:04:44,,,,,Amazon_Land_Downstream,,225.0,0,,,60.0,5,,,,38.212154,
1_1_LT05_225060_19851016,23.0,107.025017,474.0,0.5963635784619683,1985-10-16T13:04:00,1.0,0.0,718.0,134.0,Amazon_Land_Downstream,688.0,225.0,32,68.0,783.0,60.0,5,320.0,96.01489142315373,155.0,32.239063,
1_1_LT05_225060_19860221,54.0,106.569595,,0.9096491853814497,1986-02-21T13:01:36,,,,,Amazon_Land_Downstream,,225.0,0,,,60.0,5,,,,39.890511,
1_1_LT05_225060_19860715,4.0,57.230335,297.0,0.173452564445521,1986-07-15T12:57:48,1.0,0.0,535.9999999999999,173.0,Amazon_Land_Downstream,393.0,225.0,303,68.0,618.0,60.0,5,136.0,81.83616487913426,68.0,42.651024,
1_1_LT05_225060_19860917,30.0,86.136703,,0.8538919956349863,1986-09-17T12:55:32,,,,,Amazon_Land_Downstream,,225.0,0,,,60.0,5,,,,35.508781,
1_1_LT05_225060_19861003,52.0,97.035461,417.0,0.23844664110501226,1986-10-03T12:55:02,1.0,0.0,644.0,144.0,Amazon_Land_Downstream,614.5714285714286,225.0,234,68.0,681.3125,60.0,5,262.13327370304114,101.24837551873243,128.0,34.425251,
1_1_LT05_225060_19861019,34.0,107.776512,797.0,0.4601254304506407,1986-10-19T12:54:30,1.0,0.0,943.0,145.0,Amazon_Land_Downstream,909.0,225.0,30,68.0,902.0,60.0,5,385.0,70.05481187375112,234.0,34.652966,
1_1_LT05_225060_19870515,30.0,59.343422,313.0,0.8064423864905373,1987-05-15T12:58:52,1.0,0.0,452.0,161.0,Amazon_Land_Downstream,581.0,225.0,5,68.0,453.0,60.0,5,281.0,27.92418306772819,178.0,39.231907,
1_1_LT05_225060_19870702,12.0,54.511391,313.0,0.29368011413576695,1987-07-02T12:59:59,1.0,0.0,535.0,172.0,Amazon_Land_Downstream,437.97126112926856,225.0,201,68.0,618.0909090909091,60.0,5,166.0,81.12084089159659,69.0,42.423859,
1_1_LT05_225060_19870920,24.0,87.862694,524.0,0.422925748060584,1987-09-20T13:02:01,1.0,0.0,841.0,141.0,Amazon_Land_Downstream,683.0,225.0,54,68.0,888.0,60.0,5,308.0,109.6196504467167,162.0,33.575333,
1_1_LT05_225060_19871006,27.0,99.402191,555.0,0.5390621165220854,1987-10-06T13:02:21,1.0,0.0,804.0,137.0,Amazon_Land_Downstream,1001.0,225.0,46,66.0,795.0,60.0,5,475.0,79.93182645797201,265.0,32.488552,
1_1_LT05_225060_19871022,39.0,110.552345,,1.0,1987-10-22T13:02:37,,,,,Amazon_Land_Downstream,,225.0,0,,,60.0,5,,,,32.824913,
1_1_LT05_225060_19871107,37.0,119.563538,,0.9813624532395793,1987-11-07T13:02:58,,,,,Amazon_Land_Downstream,,225.0,0,,,60.0,5,,,,34.461048,
1_1_LT05_225060_19871123,30.0,125.354729,478.17857142857144,0.28847700087894906,1987-11-23T13:03:17,1.0,0.0,807.0,153.0,Amazon_Land_Downstream,609.259925702345,225.0,280,68.0,798.0,60.0,5,231.0,117.79146654930798,125.0,36.832577,
1_1_LT05_225060_19880720,31.0,57.381172,424.0,0.5244374524965073,1988-07-20T13:05:46,1.0,0.0,751.0,166.0,Amazon_Land_Downstream,445.0,225.0,67,68.0,897.0,60.0,5,124.0,124.05791302059362,103.0,40.636215,
