system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_226061_19840902,31.0,74.674011,,0.12105385550658498,1984-09-02T13:11:42,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,35.775673,
1_1_LT05_226061_19841223,13.0,126.131477,,0.0,1984-12-23T13:11:48,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,39.89476,
1_1_LT05_226061_19850820,19.0,67.624016,,0.0,1985-08-20T13:11:14,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,37.925285,
1_1_LT05_226061_19860823,3.0,69.929489,,0.24704330472279393,1986-08-23T13:02:58,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,39.400436,
1_1_LT05_226061_19870607,34.0,53.047413,,0.6971310608619647,1987-06-07T13:06:02,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,42.383598,
1_1_LT05_226061_19870911,41.0,79.824455,,0.33695149907131866,1987-09-11T13:08:23,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,35.116802,
1_1_LT05_226061_19871029,25.0,112.68959,,0.4476755899608182,1987-10-29T13:09:19,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,33.015694,
1_1_LT05_226061_19871114,18.0,120.614677,,0.7192861030560788,1987-11-14T13:09:42,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,34.868248,
1_1_LT05_226061_19880711,36.0,54.050606,,1.0,1988-07-11T13:12:19,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,42.139244,
1_1_LT05_226061_19880929,22.0,92.623795,,0.7201330926345988,1988-09-29T13:12:15,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,32.020252,
1_1_LT05_226061_19890730,15.0,59.583916,569.0,0.0,1989-07-30T13:08:42,1.0,0.0,905.0,169.0,Amazon_Land_Upstream,1349.0,226.0,1,66.0,1081.0,61.0,5,390.0,0.0,230.0,41.459515,
1_1_LT05_226061_19890831,26.0,73.697708,,0.013595936855673984,1989-08-31T13:08:00,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,36.90464,
1_1_LT05_226061_19891002,46.0,94.5616,,0.10464030006485237,1989-10-02T13:07:18,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,33.144619,
1_1_LT05_226061_19900919,26.0,85.499733,,2.6512277339470425E-4,1990-09-19T13:01:25,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,35.799858,
1_1_LT05_226061_19910704,39.0,54.003815,551.0,0.00805141276859343,1991-07-04T13:04:50,1.0,0.0,714.0,177.0,Amazon_Land_Upstream,1066.0,226.0,4,66.0,600.0,61.0,5,341.0,48.0,142.0,43.855186,
1_1_LT05_226061_19910821,23.0,68.644897,,0.10110700034380765,1991-08-21T13:05:13,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,39.255524,
1_1_LT05_226061_19910906,18.0,77.078339,,0.10706700038390185,1991-09-06T13:05:27,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,36.66087,
1_1_LT05_226061_19920519,29.0,56.585518,,0.05319345141737943,1992-05-19T13:05:16,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,40.739109,
1_1_LT05_226061_19920620,21.0,52.84914,,0.0,1992-06-20T13:04:55,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,43.547211,
1_1_LT05_226061_19920706,47.0,54.417542,,0.05135713791696695,1992-07-06T13:04:44,,,,,Amazon_Land_Upstream,,226.0,0,,,61.0,5,,,,43.837292,
