system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_110023_19860726,76.0,137.650192,,1.0,1986-07-26T00:51:58,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,39.538624,
1_1_LT05_110023_19900315,0.0,147.016769,,1.0,1990-03-15T00:50:09,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,60.272705,
1_1_LT05_110023_19900331,3.0,145.90979,,1.0,1990-03-31T00:49:40,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,53.899105,
1_1_LT05_110023_19901025,12.0,156.500732,520.9968434091181,0.01618197537432546,1990-10-25T00:49:07,1.0,0.0,662.9398916618302,236.0,Amur_Water_Downstream,213.00000000000003,110.0,1624,68.0,600.0000000000002,23.0,5,40.0,43.86352494828295,50.999999999999986,67.770905,
1_1_LT05_110023_19910302,26.0,148.382523,,1.0,1991-03-02T00:50:40,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,65.265381,
1_1_LT05_110023_19910505,4.0,143.166122,1876.0,0.8968918636467283,1991-05-05T00:51:52,1.0,0.0,2134.0,170.0,Amur_Water_Downstream,942.0,110.0,166,68.0,2057.0,23.0,5,123.99999999999999,34.27079843247885,100.99999999999999,41.754948,
1_1_LT05_110023_19911113,41.0,159.152405,,1.0,1991-11-13T00:53:47,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,73.160316,
1_1_LT05_110023_19920523,17.0,140.756729,656.0,0.6359091168199437,1992-05-23T00:53:11,1.0,0.0,755.0,155.0,Amur_Water_Downstream,578.0,110.0,596,68.0,768.0,23.0,5,262.0,187.40608037683546,165.0,37.488247,
1_1_LT05_110023_19920608,0.0,138.299591,548.9999999999999,0.0,1992-06-08T00:53:03,1.0,0.0,674.0000000000002,149.0,Amur_Water_Downstream,579.0000000000002,110.0,1649,68.0,703.0000000000002,23.0,5,312.99999999999994,27.748829188466818,233.99999999999997,35.677021,
1_1_LT05_110023_19920624,26.0,136.630188,702.1351284216803,0.0,1992-06-24T00:52:50,1.0,0.0,914.6596774122019,148.0,Amur_Water_Downstream,714.3521060359113,110.0,1649,68.0,866.8475886232484,23.0,5,174.82013406617892,38.00515018679713,112.99999999999999,35.535702,
1_1_LT05_110023_19920811,0.0,140.871689,295.0000000000001,0.0,1992-08-11T00:52:14,1.0,0.0,405.0,175.0,Amur_Water_Downstream,354.3555802190493,110.0,1648,68.0,389.00000000000017,23.0,5,64.0,21.03401387716136,19.000000000000007,43.285057,
1_1_LT05_110023_19930203,59.0,151.17244,,1.0,1993-02-03T00:51:26,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,73.994148,
1_1_LT05_110023_19930219,1.0,149.492416,,1.0,1993-02-19T00:51:32,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,69.006973,
1_1_LT05_110023_19930323,50.0,147.062256,,1.0,1993-03-23T00:51:45,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,56.772861,
1_1_LT05_110023_19930526,66.0,140.015762,,1.0,1993-05-26T00:52:06,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,37.128582,
1_1_LT05_110023_19931102,13.0,158.06485,680.5543473584585,0.0,1993-11-02T00:51:40,1.0,0.0,732.9560640047855,240.0,Amur_Water_Downstream,489.00000000000017,110.0,1649,68.0,825.9999999999998,23.0,5,101.00000000000004,45.77109593009003,56.000000000000014,70.234695,
1_1_LT05_110023_19940411,68.0,144.967987,,1.0,1994-04-11T00:49:44,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,49.727592,
1_1_LT05_110023_19940614,74.0,136.009705,,1.0,1994-06-14T00:48:32,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,35.90826,
1_1_LT05_110023_19940918,60.0,148.454147,,1.0,1994-09-18T00:46:03,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,55.264088,
1_1_LT05_110023_19941121,25.0,156.927597,,1.0,1994-11-21T00:43:59,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,75.793686,
1_1_LT05_110023_19950209,6.0,148.011734,,1.0,1995-02-09T00:41:12,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,73.240128,
1_1_LT05_110023_19950703,32.0,130.296234,548.8637305699482,0.6052410313901346,1995-07-03T00:34:59,1.0,0.0,653.4503427154732,157.0,Amur_Water_Downstream,408.8332011106705,110.0,652,68.0,717.7707915062474,23.0,5,140.3346241858828,121.33585981116637,132.08932139613336,38.031849,
1_1_LT05_110023_19950804,13.0,133.247696,,1.0,1995-08-04T00:33:32,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,43.357418,
1_1_LT05_110023_19960212,9.0,146.383362,,1.0,1996-02-12T00:34:48,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,72.80864,
1_1_LT05_110023_19960315,23.0,143.716446,,1.0,1996-03-15T00:36:56,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,61.036331,
1_1_LT05_110023_19960416,0.0,141.358063,,1.0,1996-04-16T00:38:57,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,48.621059,
1_1_LT05_110023_19960502,7.0,139.688477,,1.0,1996-05-02T00:39:54,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,43.430889,
1_1_LT05_110023_19960705,83.0,133.420944,677.519145289991,0.41804980238656236,1996-07-05T00:43:26,1.0,0.0,670.9999999999999,154.0,Amur_Water_Downstream,375.0000000000001,110.0,927,68.0,566.9999999999999,23.0,5,140.4645205390274,202.7729909839621,122.0,37.189587,
1_1_LT05_110023_19960721,15.0,134.852036,320.00000000000006,0.0,1996-07-21T00:44:17,1.0,0.0,486.00000000000017,162.0,Amur_Water_Downstream,210.76268987935242,110.0,1645,68.0,423.00000000000006,23.0,5,58.99999999999998,25.369994637271013,18.0,39.354881,
1_1_LT05_110023_19960923,74.0,150.564331,,1.0,1996-09-23T00:47:44,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,56.904251,
1_1_LT05_110023_19961009,68.0,154.210953,,1.0,1996-10-09T00:48:34,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,62.438782,
1_1_LT05_110023_19961025,7.0,156.88353,464.3100052839783,0.095134719160903,1996-10-25T00:49:23,1.0,0.0,526.411546288693,236.0,Amur_Water_Downstream,208.9655985757352,110.0,1493,68.0,531.0000000000002,23.0,5,39.00000000000001,49.26537390095219,50.000000000000014,67.836052,
1_1_LT05_110023_19970129,51.0,152.476349,,1.0,1997-01-29T00:53:54,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,75.042664,
1_1_LT05_110023_19970214,4.0,150.842117,,1.0,1997-02-14T00:54:35,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,70.394897,
1_1_LT05_110023_19970403,8.0,147.800995,,1.0,1997-04-03T00:56:28,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,51.996685,
1_1_LT05_110023_19970606,61.0,140.923798,,1.0,1997-06-06T00:58:43,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,35.16666,
1_1_LT05_110023_19970622,31.0,139.332413,,1.0,1997-06-22T00:59:15,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,34.708981,
1_1_LT05_110023_19970724,58.0,140.562775,,1.0,1997-07-24T01:00:22,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,38.272858,
1_1_LT05_110023_19970825,2.0,147.30661,444.67610711564566,0.0,1997-08-25T01:01:23,1.0,0.0,736.6231390370916,184.0,Amur_Water_Downstream,392.086942915262,110.0,1649,68.0,849.0121099050206,23.0,5,38.91264197420779,28.47060315444544,21.0,46.26115,
1_1_LT05_110023_19971028,84.0,160.655975,,1.0,1997-10-28T01:03:11,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,68.008141,
1_1_LT05_110023_19980201,9.0,154.840729,,1.0,1998-02-01T01:05:26,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,73.596466,
1_1_LT05_110023_19980217,1.0,153.324814,,1.0,1998-02-17T01:05:46,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,68.713417,
1_1_LT05_110023_19980305,0.0,152.210266,,1.0,1998-03-05T01:06:01,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,62.846851,
1_1_LT05_110023_19980422,7.0,149.576767,2136.5,0.9975773352587975,1998-04-22T01:06:39,1.0,0.0,2653.0,178.0,Amur_Water_Downstream,1073.0,110.0,4,68.0,2495.0,23.0,5,75.0,28.0,66.0,44.384201,
1_1_LT05_110023_19980524,7.0,145.89505,497.99999999999994,0.0,1998-05-24T01:07:10,1.0,0.0,652.2187630605696,150.0,Amur_Water_Downstream,399.99999999999994,110.0,1649,68.0,648.079718679925,23.0,5,215.00000000000003,27.250985130171024,164.00000000000006,36.073315,
1_1_LT05_110023_19980711,53.0,141.960632,,1.0,1998-07-11T01:07:48,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,35.449772,
1_1_LT05_110023_19980812,93.0,146.370483,,1.0,1998-08-12T01:08:01,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,41.965157,
1_1_LT05_110023_19980929,0.0,157.545898,996.9999999999995,0.0,1998-09-29T01:08:25,1.0,0.0,1132.0000000000005,215.0,Amur_Water_Downstream,589.9999999999999,110.0,1649,68.0,1165.0,23.0,5,39.99999999999999,34.4381411356265,20.999999999999993,57.564442,
1_1_LT05_110023_19981116,32.0,162.877792,1442.6299193930772,0.9185889640495556,1998-11-16T01:08:37,1.0,0.0,1433.760875273523,244.0,Amur_Water_Downstream,774.0,110.0,134,68.0,1216.396681153694,23.0,5,186.3842074248674,72.22506846373508,166.00000000000006,73.285477,
1_1_LT05_110023_19990220,4.0,153.746307,,1.0,1999-02-20T01:08:51,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,67.613312,
1_1_LT05_110023_19990815,1.0,146.497971,380.0000000000001,0.0,1999-08-15T01:07:11,1.0,0.0,646.0700745955372,173.0,Amur_Water_Downstream,234.97187047632968,110.0,1648,68.0,688.0514727509562,23.0,5,9.999999999999998,25.42958639867307,21.00000000000001,42.851837,
1_1_LT05_110023_19990916,78.0,153.971283,,1.0,1999-09-16T01:06:18,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,53.007706,
1_1_LT05_110023_19991002,43.0,157.386002,436.83724782493067,0.018017975222315127,1999-10-02T01:06:09,1.0,0.0,619.9999999999999,218.0,Amur_Water_Downstream,252.00000000000014,110.0,1619,68.0,594.9994174940698,23.0,5,64.0,35.2361240106532,34.734652779781314,58.706635,
1_1_LT05_110023_19991103,60.0,161.577255,,1.0,1999-11-03T01:05:44,,,,,Amur_Water_Downstream,,110.0,0,,,23.0,5,,,,69.697517,
