system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,,0.0,1989-06-11T04:06:01,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,,1.0,1990-03-10T03:58:41,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,,1.0,1990-05-29T03:58:09,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,498.0,0.0,1990-10-20T03:57:30,1.0,0.0,751.0,175.0,Brahmani_Land_Upstream,1098.0,139.0,1,66.0,706.0,46.0,5,371.0,0.0,338.0,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,822.0,0.018611827671833937,1990-12-23T03:57:34,1.0,,1144.0,,Brahmani_Land_Upstream,810.0,139.0,0,68.0,1158.0,46.0,5,632.0,,466.0,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,,0.7204368475614168,1991-01-08T03:57:59,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,788.0,0.0,1991-01-24T03:58:27,1.0,,1104.0,,Brahmani_Land_Upstream,1191.0,139.0,0,66.0,1082.0,46.0,5,623.0,,460.0,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,791.0,0.0,1991-02-09T03:58:37,1.0,,1112.0,,Brahmani_Land_Upstream,890.0,139.0,0,68.0,972.0,46.0,5,813.0,,572.0,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,696.0,0.0,1991-02-25T03:59:00,1.0,,1059.0,,Brahmani_Land_Upstream,1052.0,139.0,0,66.0,824.0,46.0,5,820.0,,492.0,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,,1.0,1991-03-13T03:59:19,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,42.356289,
1_1_LT05_139046_19910329,0.0,112.172256,,0.0,1991-03-29T03:59:32,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,37.931301,
1_1_LT05_139046_19910430,19.0,94.936356,,0.0,1991-04-30T04:00:09,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,31.657257,
1_1_LT05_139046_19910516,20.0,86.746101,,0.001542949444297114,1991-05-16T04:00:23,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,30.503654,
1_1_LT05_139046_19910617,44.0,78.050102,,1.0,1991-06-17T04:00:50,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,31.093346,
1_1_LT05_139046_19910820,38.0,97.842125,,0.8740326430241813,1991-08-20T04:01:33,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,33.343224,
1_1_LT05_139046_19911007,18.0,127.751015,912.0,0.0,1991-10-07T04:02:00,1.0,0.0,1466.0,160.0,Brahmani_Land_Upstream,1689.0,139.0,20,66.0,1565.0,46.0,5,833.0,192.0245492118131,531.0,38.958229,
1_1_LT05_139046_19911023,6.0,135.191605,,0.672750066298609,1991-10-23T04:02:06,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,42.484463,
1_1_LT05_139046_19911108,6.0,140.229538,821.0,0.0,1991-11-08T04:02:08,1.0,,1329.0,,Brahmani_Land_Upstream,1511.0,139.0,0,66.0,1476.0,46.0,5,1009.0,,670.0,46.307304,
1_1_LT05_139046_19911124,0.0,142.875854,,0.31941464355456983,1991-11-24T04:02:13,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,49.879608,
1_1_LT05_139046_19911226,17.0,142.023285,,1.0,1991-12-26T04:02:19,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,54.160755,
1_1_LT05_139046_19920127,4.0,135.419235,951.0,0.0,1992-01-27T04:02:17,1.0,,1282.0,,Brahmani_Land_Upstream,1314.0,139.0,0,66.0,1310.0,46.0,5,847.0,,648.0,52.538216,
1_1_LT05_139046_19920212,1.0,130.713242,956.0,0.0,1992-02-12T04:02:06,1.0,,1320.0,,Brahmani_Land_Upstream,1355.0,139.0,0,66.0,1165.0,46.0,5,783.0,,418.0,49.532063,
1_1_LT05_139046_19920228,11.0,125.217773,1048.0,0.0,1992-02-28T04:02:08,1.0,,1474.0,,Brahmani_Land_Upstream,1389.0,139.0,0,66.0,1327.0,46.0,5,731.0,,473.0,45.52335,
