system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_094074_19860826,5.0,55.976841,,0.0,1986-08-26T23:32:14,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,49.823284,
1_1_LT05_094074_19870525,9.0,44.396267,764.0,0.14853968402794057,1987-05-25T23:35:07,1.0,0.0,1077.0,205.0,Burdekin_Land_Downstream,666.0,94.0,2,68.0,969.0,74.0,5,319.0,74.0,245.0,55.625542,
1_1_LT05_094074_19870712,0.0,45.031666,511.0,0.0,1987-07-12T23:36:09,1.0,0.0,891.0,209.0,Burdekin_Land_Downstream,635.0,94.0,8,68.0,894.0,74.0,5,179.0,142.43507292798358,144.0,57.524326,
1_1_LT05_094074_19870914,6.0,61.318451,,0.0,1987-09-14T23:37:52,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,43.382408,
1_1_LT05_094074_19870930,0.0,68.147499,,0.5632647320800716,1987-09-30T23:38:13,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,38.842403,
1_1_LT05_094074_19871016,32.0,76.382042,742.0,0.0,1987-10-16T23:38:31,1.0,0.0,1064.0,141.0,Burdekin_Land_Downstream,1336.0,94.0,4,66.0,1143.0,74.0,5,671.0,72.36496044357379,382.0,35.103912,
1_1_LT05_094074_19871203,20.0,99.749382,,1.0,1987-12-03T23:39:24,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,32.897659,
1_1_LT05_094074_19871219,61.0,102.20697,663.0,0.22031315925179323,1987-12-19T23:39:38,1.0,0.0,934.0,143.0,Burdekin_Land_Downstream,1042.0,94.0,25,66.0,790.0,74.0,5,439.0,56.655817000551686,223.0,34.454914,
1_1_LT05_094074_19880104,61.0,101.147255,546.0,0.0,1988-01-04T23:39:54,1.0,0.0,941.0,149.0,Burdekin_Land_Downstream,417.0,94.0,11,68.0,823.0,74.0,5,168.0,124.682340170584,82.0,36.216991,
1_1_LT05_094074_19880120,17.0,97.066582,625.0,0.036496179269607625,1988-01-20T23:40:11,1.0,0.0,950.0,154.0,Burdekin_Land_Downstream,637.0,94.0,11,68.0,957.0,74.0,5,230.0,121.3539321962998,197.0,37.829025,
1_1_LT05_094074_19880221,14.0,82.508476,742.0,0.1476255215414186,1988-02-21T23:40:44,1.0,0.0,1086.0,161.0,Burdekin_Land_Downstream,1030.0,94.0,8,68.0,1144.0,74.0,5,482.0,129.84895070812087,358.0,40.547234,
1_1_LT05_094074_19880308,9.0,73.547562,514.0,0.0,1988-03-08T23:40:53,1.0,0.0,887.0,165.0,Burdekin_Land_Downstream,582.0,94.0,8,68.0,993.0,74.0,5,148.0,168.43099477233991,99.0,42.098484,
1_1_LT05_094074_19880409,0.0,56.582024,540.0,0.0,1988-04-09T23:41:07,1.0,0.0,965.0,178.0,Burdekin_Land_Downstream,1406.0,94.0,1,66.0,999.0,74.0,5,513.0,0.0,233.0,46.629375,
1_1_LT05_094074_19880425,19.0,50.07056,,0.9879518072289156,1988-04-25T23:41:12,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,49.530548,
1_1_LT05_094074_19880612,0.0,41.845947,455.0,0.0,1988-06-12T23:41:35,1.0,0.0,809.0,206.0,Burdekin_Land_Downstream,455.0,94.0,8,68.0,728.0,74.0,5,101.0,109.79270239865671,87.0,56.671902,
1_1_LT05_094074_19880714,38.0,44.409515,526.0,0.0,1988-07-14T23:41:43,1.0,0.0,812.0,206.0,Burdekin_Land_Downstream,635.0,94.0,7,68.0,870.0,74.0,5,215.0,163.2744028078036,198.0,56.390686,
1_1_LT05_094074_19880730,8.0,47.326546,,1.0,1988-07-30T23:41:45,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,54.187889,
1_1_LT05_094074_19880815,11.0,51.116322,575.0,0.0,1988-08-15T23:41:45,1.0,0.0,890.0,190.0,Burdekin_Land_Downstream,821.0,94.0,5,68.0,932.0,74.0,5,314.0,102.97844434637764,169.0,50.764191,
1_1_LT05_094074_19880831,30.0,55.809967,,0.0,1988-08-31T23:41:49,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,46.463398,
1_1_LT05_094074_19880916,1.0,61.618752,,0.19884206085040557,1988-09-16T23:41:45,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,41.796337,
1_1_LT05_094074_19890122,24.0,96.067108,,0.9984060756645258,1989-01-22T23:40:59,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,37.900883,
1_1_LT05_094074_19890223,36.0,81.001663,642.0,0.0,1989-02-23T23:40:53,1.0,0.0,1119.0,162.0,Burdekin_Land_Downstream,702.0,94.0,8,68.0,1195.0,74.0,5,176.0,71.62881752479235,99.0,40.782692,
1_1_LT05_094074_19890327,16.0,63.280743,,0.0,1989-03-27T23:39:59,,,,,Burdekin_Land_Downstream,,94.0,0,,,74.0,5,,,,44.661236,
