system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_038038_19840508,0.0,111.917007,,0.0,1984-05-08T17:37:58,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,29.977928,
1_1_LT05_038038_19840609,0.0,101.065132,1036.0,0.0,1984-06-09T17:38:47,1.0,0.0,1595.0,118.0,Colorado_Water_Midstream,1237.0,38.0,22,66.0,1916.0,38.0,5,474.0,152.97371891173316,510.0,27.617813,
1_1_LT05_038038_19840625,37.0,99.693436,,1.0,1984-06-25T17:39:02,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,28.112442,
1_1_LT05_038038_19841202,19.0,151.128891,,1.0,1984-12-02T17:40:31,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,59.554749,
1_1_LT05_038038_19841218,13.0,150.139114,1047.0,0.05212078068458208,1984-12-18T17:40:42,1.0,0.0,1575.0,224.0,Colorado_Water_Midstream,1450.0,38.0,43,66.0,1895.0,38.0,5,241.0,280.37542049845655,161.0,61.503426,
1_1_LT05_038038_19850119,8.0,145.15181,,1.0,1985-01-19T17:40:56,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,60.322701,
1_1_LT05_038038_19850730,0.0,108.081398,971.0,0.0,1985-07-30T17:40:23,1.0,0.0,1426.0,,Colorado_Water_Midstream,1690.0,38.0,1,66.0,1724.0,38.0,5,812.0,0.0,535.0,30.949169,
1_1_LT05_038038_19850815,0.0,115.516083,1041.0,0.0,1985-08-15T17:40:14,1.0,0.0,1533.0,139.0,Colorado_Water_Midstream,1444.0,38.0,77,66.0,1854.0,38.0,5,264.0,168.27720606374675,233.0,33.142277,
1_1_LT05_038038_19850831,50.0,123.878235,,1.0,1985-08-31T17:40:03,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,35.976154,
1_1_LT05_038038_19850916,4.0,132.081482,1050.0000000000002,0.0,1985-09-16T17:39:50,1.0,0.0,1567.0000000000002,162.0,Colorado_Water_Midstream,1255.9999999999998,38.0,109,66.0,1878.9999999999998,38.0,5,177.99999999999997,187.20842402005323,138.0,39.540611,
1_1_LT05_038038_19851002,0.0,139.257431,1077.0,0.0,1985-10-02T17:39:41,1.0,0.0,1545.0,176.0,Colorado_Water_Midstream,1307.0,38.0,105,66.0,1815.0,38.0,5,158.26562499999997,129.7747149640134,106.0,43.76096,
1_1_LT05_038038_19851018,4.0,144.815094,1069.9999999999998,0.0,1985-10-18T17:39:30,1.0,0.0,1524.0,191.0,Colorado_Water_Midstream,1223.0,38.0,118,66.0,1797.0,38.0,5,194.33592814371252,182.77112435585957,109.00000000000001,48.381901,
1_1_LT05_038038_19851103,0.0,148.532166,1026.0,0.0,1985-11-03T17:39:17,1.0,0.0,1502.9999999999998,204.0,Colorado_Water_Midstream,1181.0,38.0,111,66.0,1793.0,38.0,5,155.00000000000003,164.4762253304995,125.0,52.991173,
1_1_LT05_038038_19851119,55.0,150.383682,,1.0,1985-11-19T17:39:02,,,,,Colorado_Water_Midstream,,38.0,0,,,38.0,5,,,,57.111748,
