system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_183064_19870306,55.0,92.169609,326.0,0.3114585387011552,1987-03-06T08:38:37,1.0,0.0,458.0,157.0,Congo_Land_Upstream,721.0,183.0,3,68.0,495.0,64.0,5,159.0,132.56528789828639,91.0,40.02877,
1_1_LT05_183064_19870728,46.0,55.44453,1127.0,0.5447024959583612,1987-07-28T08:42:34,1.0,0.0,1265.0,180.0,Congo_Land_Upstream,1389.0,183.0,9,66.0,1193.0,64.0,5,682.0,126.29154981848768,370.0,44.894402,
1_1_LT05_183064_19950413,71.0,70.338898,,1.0,1995-04-13T08:26:06,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,5,,,,43.104996,
1_1_LT05_183064_19950531,53.0,53.696445,739.0,0.0,1995-05-31T08:23:57,1.0,0.0,822.0,190.0,Congo_Land_Upstream,1105.0,183.0,3,66.0,775.0,64.0,5,367.0,79.66736401368428,209.0,48.27528,
1_1_LT05_183064_19980624,46.0,47.262653,831.0,0.0,1998-06-24T08:55:02,1.0,0.0,918.0,177.0,Congo_Land_Upstream,1372.0,183.0,4,66.0,882.0,64.0,5,548.0,71.02992327181552,189.0,44.092213,
1_1_LT05_183064_19980726,34.0,52.753124,549.0,0.0,1998-07-26T08:55:24,1.0,,673.0,174.0,Congo_Land_Upstream,760.0,183.0,0,68.0,690.0,64.0,5,301.0,,102.0,42.535198,
1_1_LT05_183064_19981115,72.0,116.652382,,1.0,1998-11-15T08:56:06,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,5,,,,31.102718,
1_2_LE07_183064_19990705,84.0,45.305725,,1.0,1999-07-05T09:09:50,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,41.450283,
1_2_LE07_183064_19990822,31.0,59.575905,761.0,0.0,1999-08-22T09:09:58,1.0,0.0,801.0,143.0,Congo_Land_Upstream,1125.0,183.0,4,66.0,815.0,64.0,7,536.0,20.27775875189366,215.0,34.924355,
1_2_LE07_183064_19991025,87.0,105.596809,880.0,0.6509325342060645,1999-10-25T09:09:57,1.0,0.0,904.0,111.99999999999999,Congo_Land_Upstream,1256.0,183.0,99,66.0,704.0,64.0,7,561.0,73.05713633082198,277.0,26.021759,
1_2_LE07_183064_20000214,51.0,105.231361,785.0,0.13191908836402358,2000-02-14T09:09:48,1.0,,781.0,134.0,Congo_Land_Upstream,1130.0,183.0,0,66.0,843.0,64.0,7,574.0,,378.0,33.480301,
1_2_LE07_183064_20000301,40.0,94.707275,371.0,0.4183628405819959,2000-03-01T09:09:43,1.0,,531.0,133.0,Congo_Land_Upstream,763.0,183.0,0,68.0,626.0,64.0,7,197.0,,81.0,32.495789,
1_2_LE07_183064_20000317,95.0,82.876152,,1.0,2000-03-17T09:09:40,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,31.969574,
1_2_LE07_183064_20000402,96.0,70.913795,,1.0,2000-04-02T09:09:34,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,32.376064,
1_2_LE07_183064_20000418,80.0,60.29892,514.0,0.0,2000-04-18T09:09:20,1.0,,725.0,144.0,Congo_Land_Upstream,970.0,183.0,0,68.0,838.0,64.0,7,305.0,,162.0,33.827736,
1_2_LE07_183064_20000504,65.0,52.164394,,1.0,2000-05-04T09:09:19,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,36.022896,
1_2_LE07_183064_20000707,70.0,46.007175,,1.0,2000-07-07T09:08:39,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,41.581577,
1_2_LE07_183064_20000824,73.0,61.274265,,1.0,2000-08-24T09:08:04,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,34.751743,
1_2_LE07_183064_20001230,84.0,123.442558,,1.0,2000-12-30T09:07:30,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,34.389145,
1_2_LE07_183064_20010115,78.0,119.034065,,0.16502898150703837,2001-01-15T09:07:33,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,35.019962,
1_2_LE07_183064_20010216,58.0,103.395119,693.0,0.0,2001-02-16T09:07:30,1.0,,775.0,,Congo_Land_Upstream,1215.0,183.0,0,66.0,736.0,64.0,7,454.0,,178.0,33.872578,
1_2_LE07_183064_20010320,64.0,80.990944,,0.4946137770592642,2001-03-20T09:07:16,,,,,Congo_Land_Upstream,,183.0,0,,,64.0,7,,,,32.534473,
1_2_LE07_183064_20010405,68.0,69.321663,483.0,0.0020070186506841213,2001-04-05T09:07:07,1.0,,651.0,,Congo_Land_Upstream,842.0,183.0,0,68.0,734.0,64.0,7,401.0,,288.0,33.090336,
