system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_183064_19870306,55.0,92.169609,501.0,0.9998656978200953,1987-03-06T08:38:37,1.0,,594.0,,Congo_Water_Midstream,408.0,183.0,0,68.0,618.0,64.0,5,182.0,,89.0,40.02877,
1_1_LT05_183064_19870728,46.0,55.44453,1306.0,0.8692377850162869,1987-07-28T08:42:34,1.0,0.0,1365.0,180.0,Congo_Water_Midstream,1208.9999999999998,183.0,181,66.0,1279.0,64.0,5,560.9999999999999,160.65020790930646,372.0,44.894402,
1_1_LT05_183064_19950413,71.0,70.338898,,1.0,1995-04-13T08:26:06,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,5,,,,43.104996,
1_1_LT05_183064_19950531,53.0,53.696445,,1.0,1995-05-31T08:23:57,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,5,,,,48.27528,
1_1_LT05_183064_19980624,46.0,47.262653,1044.0,0.849150588824856,1998-06-24T08:55:02,1.0,0.0,1069.0,177.0,Congo_Water_Midstream,1050.0,183.0,226,68.0,1044.6741091910076,64.0,5,428.0,165.96569586917974,278.8887395861328,44.092213,
1_1_LT05_183064_19980726,34.0,52.753124,540.6285318785115,0.05179654221999501,1998-07-26T08:55:24,1.0,0.0,652.4809810762237,172.0,Congo_Water_Midstream,613.4000135758893,183.0,1852,68.0,638.4924976017667,64.0,5,144.90263575975354,66.947525406731,56.086832351288514,42.535198,
1_1_LT05_183064_19981115,72.0,116.652382,,1.0,1998-11-15T08:56:06,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,5,,,,31.102718,
1_2_LE07_183064_19990705,84.0,45.305725,,1.0,1999-07-05T09:09:50,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,7,,,,41.450283,
1_2_LE07_183064_19990822,31.0,59.575905,1276.0,0.9747090954647959,1999-08-22T09:09:58,1.0,0.0,1246.0,146.0,Congo_Water_Midstream,1017.0,183.0,43,68.0,1212.0,64.0,7,336.0,153.27665101668362,216.0,34.924355,
1_2_LE07_183064_19991025,87.0,105.596809,932.0779697293991,0.7110919569030318,1999-10-25T09:09:57,1.0,0.0,872.0000000000001,112.0,Congo_Water_Midstream,600.0,183.0,567,68.0,893.0,64.0,7,168.0,84.15111663453432,131.99999999999997,26.021759,
1_2_LE07_183064_20000214,51.0,105.231361,666.5,0.3333680781758957,2000-02-14T09:09:48,1.0,0.0,636.4848852603706,141.0,Congo_Water_Midstream,682.5751050420168,183.0,1302,68.0,730.5185185185185,64.0,7,266.3401901804774,64.78780978103781,180.1004223686433,33.480301,
1_2_LE07_183064_20000301,40.0,94.707275,510.0,0.7995850663993986,2000-03-01T09:09:43,1.0,0.0,592.7,137.0,Congo_Water_Midstream,405.3494017969368,183.0,393,68.0,718.6844710249536,64.0,7,102.50023957834209,37.224238531414805,56.709178150326224,32.495789,
1_2_LE07_183064_20000317,95.0,82.876152,,1.0,2000-03-17T09:09:40,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,7,,,,31.969574,
1_2_LE07_183064_20000402,96.0,70.913795,,1.0,2000-04-02T09:09:34,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,7,,,,32.376064,
1_2_LE07_183064_20000418,80.0,60.29892,,1.0,2000-04-18T09:09:20,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,7,,,,33.827736,
1_2_LE07_183064_20000504,65.0,52.164394,500.43976170860003,0.10836381859183165,2000-05-04T09:09:19,1.0,0.0,610.4142160889327,150.0,Congo_Water_Midstream,648.7207824251615,183.0,1743,68.0,720.5413072769131,64.0,7,260.95055301740507,30.18366445380092,193.00000000000009,36.022896,
1_2_LE07_183064_20000707,70.0,46.007175,,1.0,2000-07-07T09:08:39,,,,,Congo_Water_Midstream,,183.0,0,,,64.0,7,,,,41.581577,
