system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_179028_19840605,16.0,129.310135,,1.0,1984-06-05T08:06:09,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,31.484798,
1_1_LT05_179028_19840621,24.0,127.257774,678.0,0.0,1984-06-21T08:06:24,1.0,0.0,762.0,,Dnieper_Land_Downstream,874.0,179.0,7,66.0,649.0,28.0,5,496.0,138.8943218892019,334.0,31.204025,
1_1_LT05_179028_19840707,63.0,127.261452,,1.0,1984-07-07T08:06:35,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,32.314213,
1_1_LT05_179028_19840723,6.0,129.514084,813.9999999999999,0.13364387042134235,1984-07-23T08:07:01,1.0,0.0,886.9999999999999,,Dnieper_Land_Downstream,941.9999999999997,179.0,160,66.0,719.0,28.0,5,268.9999999999999,29.28568803080273,155.99999999999997,34.555992,
1_1_LT05_179028_19840909,40.0,143.974701,,1.0,1984-09-09T08:08:06,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,46.362789,
1_1_LT05_179028_19840925,5.0,148.903748,339.0,0.0,1984-09-25T08:08:08,1.0,0.0,427.0,,Dnieper_Land_Downstream,288.0,179.0,185,68.0,313.99999999999994,28.0,5,80.99999999999997,31.09489516751023,74.0,51.501419,
1_1_LT05_179028_19841027,1.0,155.776443,594.9999999999999,0.050074105441456684,1984-10-27T08:08:02,1.0,0.0,571.9999999999998,,Dnieper_Land_Downstream,375.0,179.0,176,68.0,498.9999999999999,28.0,5,148.0,39.48653485251765,97.0,62.113457,
1_1_LT05_179028_19841128,50.0,157.462479,,1.0,1984-11-28T08:07:55,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,70.487366,
1_1_LT05_179028_19841214,39.0,156.498688,1033.0,0.0014185898793139951,1984-12-14T08:08:06,1.0,0.0,1060.9999999999995,,Dnieper_Land_Downstream,775.9999999999999,179.0,185,68.0,906.9999999999997,28.0,5,322.9999999999999,92.68475817182862,164.99999999999991,72.727936,
1_1_LT05_179028_19841230,4.0,154.688339,948.0000000000001,0.282976921448232,1984-12-30T08:08:15,1.0,0.0,1003.0,,Dnieper_Land_Downstream,739.0,179.0,132,68.0,961.0000000000001,28.0,5,310.99999999999994,61.193540440504854,158.99999999999997,73.214066,
1_1_LT05_179028_19850115,2.0,152.427155,1011.9999999999999,0.04537370315477449,1985-01-15T08:08:21,1.0,0.0,1012.087580661858,,Dnieper_Land_Downstream,786.9999999999999,179.0,176,68.0,887.0,28.0,5,290.99999999999994,65.40199911014422,148.99999999999994,71.815109,
1_1_LT05_179028_19850131,59.0,150.070831,,1.0,1985-01-31T08:08:25,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,68.641388,
1_1_LT05_179028_19850405,51.0,141.976425,,1.0,1985-04-05T08:08:22,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,46.014793,
1_1_LT05_179028_19850421,89.0,139.491516,725.0,0.0,1985-04-21T08:08:17,1.0,0.0,853.9999999999997,,Dnieper_Land_Downstream,730.9999999999998,179.0,185,68.0,790.0990520410137,28.0,5,386.00000000000006,27.9442239001033,288.99999999999994,40.398186,
1_1_LT05_179028_19850507,72.0,136.36319,805.0000000000001,0.47482532288799495,1985-05-07T08:08:08,1.0,0.0,848.0,,Dnieper_Land_Downstream,780.0,179.0,98,68.0,787.0,28.0,5,499.0,67.48934541915652,349.00000000000006,35.810745,
1_1_LT05_179028_19850523,43.0,132.783295,,1.0,1985-05-23T08:08:08,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,32.637245,
1_1_LT05_179028_19850710,3.0,127.899384,329.0,0.0,1985-07-10T08:07:59,1.0,0.0,418.99999999999994,,Dnieper_Land_Downstream,343.99999999999994,179.0,185,68.0,351.0,28.0,5,183.0,31.82712158475964,124.99999999999999,32.476677,
1_1_LT05_179028_19850811,0.0,134.50235,384.0000000000001,0.5417107770484861,1985-08-11T08:07:43,1.0,0.0,489.0,,Dnieper_Land_Downstream,403.0,179.0,86,68.0,335.0,28.0,5,110.99999999999999,27.67110591859763,54.99999999999999,38.318851,
1_1_LT05_179028_19850827,0.0,139.549332,268.00000000000006,0.0,1985-08-27T08:07:32,1.0,0.0,351.0,,Dnieper_Land_Downstream,253.99999999999994,179.0,185,68.0,238.99999999999997,28.0,5,74.0,26.651601174084075,64.99999999999996,42.465134,
1_1_LT05_179028_19851201,25.0,156.861008,1214.0000000000002,0.0,1985-12-01T08:06:15,1.0,0.0,1163.0,,Dnieper_Land_Downstream,712.0,179.0,185,68.0,908.9999999999999,28.0,5,171.99999999999994,43.7454339890094,60.99999999999998,71.154518,
1_1_LT05_179028_19860307,84.0,144.35231,,1.0,1986-03-07T08:04:14,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,57.738884,
1_1_LT05_179028_19860323,28.0,142.285995,634.9999999999998,0.11473639635824687,1986-03-23T08:03:56,1.0,0.0,640.0,,Dnieper_Land_Downstream,384.99999999999994,179.0,163,68.0,489.0,28.0,5,131.99999999999997,33.51687758752721,64.99999999999997,51.605785,
1_1_LT05_179028_19860408,0.0,139.977982,502.9999999999998,0.0,1986-04-08T08:03:36,1.0,0.0,574.9999999999999,,Dnieper_Land_Downstream,482.00000000000006,179.0,185,68.0,536.0,28.0,5,327.0,33.836842226955575,270.0,45.576309,
1_1_LT05_179028_19860424,88.0,137.166611,,1.0,1986-04-24T08:03:14,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,40.187496,
1_1_LT05_179028_19860526,44.0,129.950287,759.9999999999999,0.08833368621638789,1986-05-26T08:02:22,1.0,0.0,863.0,,Dnieper_Land_Downstream,939.0,179.0,168,66.0,700.9999999999999,28.0,5,332.0,28.014527304228384,223.99999999999991,33.095566,
1_1_LT05_179028_19860611,31.0,126.721718,410.9999999999998,0.0,1986-06-11T08:01:53,1.0,0.0,490.9999999999997,,Dnieper_Land_Downstream,519.9999999999999,179.0,185,68.0,383.0,28.0,5,175.99999999999997,25.188815679866163,122.99999999999997,31.909409,
1_1_LT05_179028_19860627,85.0,125.085464,,1.0,1986-06-27T08:01:23,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,32.246449,
1_1_LT05_179028_19860713,9.0,125.66539,382.0,0.0,1986-07-13T08:00:50,1.0,0.0,457.99999999999994,,Dnieper_Land_Downstream,476.15020120269486,179.0,185,67.99999999999999,318.9999999999999,28.0,5,97.0,33.49122798706866,48.999999999999986,33.876122,
1_1_LT05_179028_19860729,66.0,128.386276,568.9999999999999,0.0,1986-07-29T08:00:17,1.0,0.0,627.0,,Dnieper_Land_Downstream,609.9999999999998,179.0,185,68.0,450.9999999999999,28.0,5,149.00000000000003,58.02998393755206,86.00000000000001,36.519341,
1_1_LT05_179028_19860814,2.0,132.66156,348.99999999999994,0.0,1986-08-14T07:59:42,1.0,0.0,420.99999999999994,,Dnieper_Land_Downstream,373.0,179.0,185,68.0,341.0,28.0,5,142.0,30.427293503031944,96.0,40.013607,
1_1_LT05_179028_19860830,1.0,137.735947,294.9999999999999,0.0,1986-08-30T07:59:05,1.0,0.0,369.0,,Dnieper_Land_Downstream,284.0,179.0,185,68.0,287.99999999999994,28.0,5,96.99999999999997,33.39630944124076,63.0,44.223515,
1_1_LT05_179028_19860915,2.0,142.880188,417.9999999999999,0.0,1986-09-15T07:58:34,1.0,0.0,452.0,,Dnieper_Land_Downstream,330.0,179.0,185,68.0,344.0,28.0,5,111.99999999999997,35.2248086424988,70.99999999999999,49.033733,
1_1_LT05_179028_19861017,94.0,151.100494,,1.0,1986-10-17T07:57:32,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,59.590569,
1_1_LT05_179028_19861118,18.0,154.504776,,1.0,1986-11-18T07:56:21,,,,,Dnieper_Land_Downstream,,179.0,0,,,28.0,5,,,,69.112419,
