system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_178028_19840902,21.0,141.655243,,1.0,1984-09-02T08:01:54,,,,,Dnieper_Land_Midstream,,178.0,0,,,28.0,5,,,,44.257854,
1_1_LT05_178028_19900311,7.0,142.254578,296.0,0.7726073398896618,1990-03-11T07:52:31,1.0,0.0,276.0,213.0,Dnieper_Land_Midstream,160.0,178.0,8,68.0,246.0,28.0,5,54.0,37.06392282260473,-21.0,56.818439,
1_1_LT05_178028_19951019,8.0,146.330917,,1.0,1995-10-19T07:32:00,,,,,Dnieper_Land_Midstream,,178.0,0,,,28.0,5,,,,61.899086,
1_1_LT05_178028_20070310,70.0,152.043655,489.0,0.5224380442062959,2007-03-10T08:26:48,1.0,0.0,529.0,206.0,Dnieper_Land_Midstream,366.0,178.0,2,68.0,433.0,28.0,5,249.0,0.0,70.0,54.031067,
1_1_LT05_178028_20070513,26.0,144.295502,,1.0,2007-05-13T08:26:22,,,,,Dnieper_Land_Midstream,,178.0,0,,,28.0,5,,,,31.834045,
1_1_LT05_179027_19901012,6.0,151.008606,340.00000000000006,0.0,1990-10-12T07:57:15,1.0,0.0,406.00000000000006,219.0,Dnieper_Land_Midstream,302.9521433591005,179.0,172,68.0,270.48596112311014,27.0,5,102.10817160367722,45.45521921362594,34.999999999999986,58.98011,
1_1_LT05_179027_19910201,14.0,148.33136,1393.0,0.6354173572896638,1991-02-01T07:58:12,1.0,0.0,1300.0,240.0,Dnieper_Land_Midstream,866.0,179.0,65,68.0,1112.0,27.0,5,263.0,54.34149307686055,134.0,70.41993,
1_1_LT05_179028_19840605,16.0,129.310135,,1.0,1984-06-05T08:06:09,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,31.484798,
1_1_LT05_179028_19840621,24.0,127.257774,732.0000000000001,0.02333753232115626,1984-06-21T08:06:24,1.0,0.0,837.9999999999998,132.0,Dnieper_Land_Midstream,951.0000000000001,179.0,156,66.0,681.9999999999997,28.0,5,342.99999999999994,102.5460993814798,226.0,31.204025,
1_1_LT05_179028_19840707,63.0,127.261452,,1.0,1984-07-07T08:06:35,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,32.314213,
1_1_LT05_179028_19840723,6.0,129.514084,730.0000000000001,0.4893146809874251,1984-07-23T08:07:01,1.0,0.0,799.0,145.0,Dnieper_Land_Midstream,981.0,179.0,91,66.0,679.0,28.0,5,268.0,29.369130525069618,156.0,34.555992,
1_1_LT05_179028_19840909,40.0,143.974701,1060.0000000000005,0.0,1984-09-09T08:08:06,1.0,0.0,1197.0000000000002,185.0,Dnieper_Land_Midstream,1410.0,179.0,144,66.0,1041.9999999999998,28.0,5,559.0000000000001,34.03996380436451,327.0,46.362789,
1_1_LT05_179028_19840925,5.0,148.903748,405.00000000000006,0.0,1984-09-25T08:08:08,1.0,0.0,458.9999999999999,200.0,Dnieper_Land_Midstream,359.99999999999994,179.0,175,68.0,382.0,28.0,5,154.99999999999997,37.652915435810904,78.0,51.501419,
1_1_LT05_179028_19841027,1.0,155.776443,519.0,0.5761453291785452,1984-10-27T08:08:02,1.0,0.0,588.0,225.0,Dnieper_Land_Midstream,386.0,179.0,75,68.0,454.0,28.0,5,151.99999999999997,42.79587519064581,98.0,62.113457,
1_1_LT05_179028_19841128,50.0,157.462479,396.691110696981,0.06733850471833629,1984-11-28T08:07:55,1.0,0.0,510.0,240.0,Dnieper_Land_Midstream,338.0,179.0,166,68.0,383.0,28.0,5,168.0,49.805711939407736,59.0,70.487366,
1_1_LT05_179028_19841214,39.0,156.498688,1290.9999999999998,0.15545094919224728,1984-12-14T08:08:06,1.0,0.0,1284.9999999999998,244.0,Dnieper_Land_Midstream,1076.0,179.0,147,68.0,1183.0,28.0,5,391.0,65.57622149515738,164.99999999999994,72.727936,
1_1_LT05_179028_19841230,4.0,154.688339,1010.8584608932689,0.2384583084709054,1984-12-30T08:08:15,1.0,0.0,1004.0,244.0,Dnieper_Land_Midstream,740.0,179.0,135,68.0,963.0000000000001,28.0,5,311.99999999999994,73.16204237474817,157.99999999999994,73.214066,
1_1_LT05_179028_19850115,2.0,152.427155,1317.0,0.8846604344847399,1985-01-15T08:08:21,1.0,0.0,1334.0,242.0,Dnieper_Land_Midstream,980.0,179.0,20,68.0,1244.0,28.0,5,291.0,55.462509860265094,242.0,71.815109,
1_1_LT05_179028_19850131,59.0,150.070831,,1.0,1985-01-31T08:08:25,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,68.641388,
1_1_LT05_179028_19850405,51.0,141.976425,,1.0,1985-04-05T08:08:22,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,46.014793,
1_1_LT05_179028_19850421,89.0,139.491516,743.0,0.01741474949722645,1985-04-21T08:08:17,1.0,0.0,853.9999999999998,165.0,Dnieper_Land_Midstream,771.9999999999999,179.0,174,68.0,790.0000000000001,28.0,5,496.00000000000006,54.995220729426435,329.0,40.398186,
1_1_LT05_179028_19850507,72.0,136.36319,,1.0,1985-05-07T08:08:08,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,35.810745,
1_1_LT05_179028_19850523,43.0,132.783295,,1.0,1985-05-23T08:08:08,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,32.637245,
1_1_LT05_179028_19850710,3.0,127.899384,345.0,0.29790713606930536,1985-07-10T08:07:59,1.0,0.0,459.0,137.0,Dnieper_Land_Midstream,385.0,179.0,124,68.0,355.0,28.0,5,158.0,26.450309763337007,89.00000000000001,32.476677,
1_1_LT05_179028_19850811,0.0,134.50235,372.0,0.0,1985-08-11T08:07:43,1.0,0.0,453.99999999999994,158.0,Dnieper_Land_Midstream,447.0,179.0,177,68.0,340.0,28.0,5,111.99999999999997,27.70762017061675,55.99999999999999,38.318851,
1_1_LT05_179028_19850827,0.0,139.549332,258.9999999999999,0.0,1985-08-27T08:07:32,1.0,0.0,318.0,172.0,Dnieper_Land_Midstream,258.0,179.0,177,68.0,243.99999999999994,28.0,5,103.0,28.415385524535182,66.00000000000001,42.465134,
1_1_LT05_179028_19851201,25.0,156.861008,1538.0,0.4884306835510176,1985-12-01T08:06:15,1.0,0.0,1467.0,241.0,Dnieper_Land_Midstream,897.0,179.0,91,68.0,1162.0,28.0,5,234.33374025730117,69.98638575839423,151.99999999999997,71.154518,
1_1_LT05_179028_19860307,84.0,144.35231,,1.0,1986-03-07T08:04:14,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,57.738884,
1_1_LT05_179028_19860323,28.0,142.285995,658.0,0.8696103781299032,1986-03-23T08:03:56,1.0,0.0,640.0,200.0,Dnieper_Land_Midstream,434.0,179.0,23,68.0,532.0,28.0,5,164.0,27.843676505825474,65.0,51.605785,
1_1_LT05_179028_19860408,0.0,139.977982,474.00000000000006,0.0,1986-04-08T08:03:36,1.0,0.0,570.0000000000001,182.0,Dnieper_Land_Midstream,524.0000000000001,179.0,176,68.0,493.99999999999994,28.0,5,385.0,31.059477067434365,312.0,45.576309,
1_1_LT05_179028_19860424,88.0,137.166611,,1.0,1986-04-24T08:03:14,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,40.187496,
1_1_LT05_179028_19860526,44.0,129.950287,760.0,0.7910009060973722,1986-05-26T08:02:22,1.0,0.0,887.0,139.0,Dnieper_Land_Midstream,1070.0,179.0,37,66.0,725.0,28.0,5,390.0,34.507745713737464,263.0,33.095566,
1_1_LT05_179028_19860611,31.0,126.721718,433.00000000000006,0.0,1986-06-11T08:01:53,1.0,0.0,531.0,135.0,Dnieper_Land_Midstream,599.0,179.0,177,66.0,417.9999999999999,28.0,5,202.99999999999994,25.966674527665777,124.00000000000001,31.909409,
1_1_LT05_179028_19860627,85.0,125.085464,,1.0,1986-06-27T08:01:23,,,,,Dnieper_Land_Midstream,,179.0,0,,,28.0,5,,,,32.246449,
1_1_LT05_179028_19860713,9.0,125.66539,373.0,0.0,1986-07-13T08:00:50,1.0,0.0,474.99999999999994,142.0,Dnieper_Land_Midstream,486.00000000000006,179.0,177,66.0,336.0,28.0,5,75.99999999999999,25.3196110342754,51.0,33.876122,
1_1_LT05_179028_19860729,66.0,128.386276,818.0,0.466242347897191,1986-07-29T08:00:17,1.0,0.0,871.0,152.0,Dnieper_Land_Midstream,1109.0,179.0,69,66.0,735.9999999999999,28.0,5,477.0,154.02736685943475,319.0,36.519341,
1_1_LT05_179028_19860814,2.0,132.66156,333.99999999999994,0.0,1986-08-14T07:59:42,1.0,0.0,397.0,164.0,Dnieper_Land_Midstream,425.0,179.0,177,68.0,320.99999999999994,28.0,5,173.0,22.620879113190004,97.99999999999994,40.013607,
1_1_LT05_179028_19860830,1.0,137.735947,337.0,0.0,1986-08-30T07:59:05,1.0,0.0,384.99999999999994,178.0,Dnieper_Land_Midstream,379.99999999999994,179.0,177,68.0,301.9999999999999,28.0,5,159.99999999999994,30.294546042705562,105.99999999999996,44.223515,
1_1_LT05_179028_19860915,2.0,142.880188,398.99999999999994,0.0,1986-09-15T07:58:34,1.0,0.0,453.99999999999994,193.0,Dnieper_Land_Midstream,378.99999999999994,179.0,177,68.0,345.9999999999999,28.0,5,145.0,37.405012855946005,72.00000000000001,49.033733,
