system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198032_19840509,9.0,126.403831,,0.0,1984-05-09T10:04:27,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,32.698334,
1_1_LT05_198032_19840525,8.0,121.778374,780.0,0.0,1984-05-25T10:04:55,1.0,0.0,1068.0,128.0,Ebro_Land_Downstream,967.0,198.0,5,68.0,1070.0,32.0,5,393.0,116.82979072137381,223.0,30.091599,
1_1_LT05_198032_19840626,0.0,116.648026,775.0,0.0,1984-06-26T10:05:29,1.0,0.0,1105.0,125.0,Ebro_Land_Downstream,1402.0,198.0,4,66.0,1083.0,32.0,5,344.0,125.4830665866913,189.0,29.3722,
1_1_LT05_198032_19840829,2.0,133.937454,961.0,0.0,1984-08-29T10:07:04,1.0,0.0,1186.0,163.0,Ebro_Land_Downstream,1480.0,198.0,3,66.0,1079.0,32.0,5,390.0,59.715994507334464,213.0,39.726109,
1_1_LT05_198032_19840914,21.0,140.349106,829.0,0.9819138441302203,1984-09-14T10:07:08,1.0,,1053.0,,Ebro_Land_Downstream,962.0,198.0,0,68.0,920.0,32.0,5,441.0,,267.0,44.081879,
1_1_LT05_198032_19840930,0.0,146.018677,554.0,0.0,1984-09-30T10:07:09,1.0,0.0,782.0,192.0,Ebro_Land_Downstream,703.0,198.0,6,68.0,673.0,32.0,5,303.0,129.22976953215283,207.0,48.956512,
1_1_LT05_198032_19841101,5.0,153.446777,736.0,0.0,1984-11-01T10:07:00,1.0,0.0,956.0,219.0,Ebro_Land_Downstream,961.0,198.0,6,68.0,937.0,32.0,5,582.0,197.59638998051898,321.0,59.007393,
1_1_LT05_198032_19841117,58.0,154.905396,,1.0,1984-11-17T10:06:54,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,63.347878,
1_1_LT05_198032_19850104,42.0,151.667801,,1.0,1985-01-04T10:07:18,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,68.418999,
1_1_LT05_198032_19850120,100.0,149.134186,,1.0,1985-01-20T10:07:24,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,66.592133,
1_1_LT05_198032_19850205,22.0,146.445129,,0.9476487997369286,1985-02-05T10:07:27,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,63.086487,
1_1_LT05_198032_19850325,19.0,138.34433,,1.0,1985-03-25T10:07:26,,,,,Ebro_Land_Downstream,,198.0,0,,,32.0,5,,,,46.47876,
1_1_LT05_198032_19850410,3.0,135.097931,572.0,0.0,1985-04-10T10:07:21,1.0,0.0,838.0,166.0,Ebro_Land_Downstream,659.0,198.0,6,68.0,796.0,32.0,5,386.0,186.87250555748787,248.0,40.654972,
1_1_LT05_198032_19850528,13.0,121.746635,863.0,0.0,1985-05-28T10:07:09,1.0,0.0,1174.0,125.0,Ebro_Land_Downstream,821.0,198.0,6,68.0,1170.0,32.0,5,366.0,149.29696357707124,222.0,29.456387,
1_1_LT05_198032_19850613,14.0,118.267517,891.0,0.1384413022032226,1985-06-13T10:07:08,1.0,0.0,1251.0,123.0,Ebro_Land_Downstream,1076.0,198.0,5,68.0,1186.0,32.0,5,486.0,108.42140010164046,291.0,28.715347,
1_1_LT05_198032_19850629,3.0,117.126839,746.0,0.40512989148306466,1985-06-29T10:07:04,1.0,0.0,1018.0,125.0,Ebro_Land_Downstream,1232.0,198.0,2,66.0,857.0,32.0,5,315.0,61.5,83.0,29.311432,
1_1_LT05_198032_19850731,15.0,122.895973,425.0,0.0,1985-07-31T10:06:50,1.0,0.0,714.0,140.0,Ebro_Land_Downstream,634.0,198.0,3,68.0,578.0,32.0,5,148.0,52.99266196580637,160.0,33.377102,
