system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198032_19840509,9.0,126.403831,,0.0,1984-05-09T10:04:27,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,32.698334,
1_1_LT05_198032_19840525,8.0,121.778374,821.0,0.0,1984-05-25T10:04:55,1.0,,1173.0,,Ebro_Land_Upstream,1282.0,198.0,0,66.0,1044.0,32.0,5,584.0,,358.0,30.091599,
1_1_LT05_198032_19840626,0.0,116.648026,712.0,0.0,1984-06-26T10:05:29,1.0,,1004.0,,Ebro_Land_Upstream,1118.0,198.0,0,66.0,781.0,32.0,5,563.0,,293.0,29.3722,
1_1_LT05_198032_19840829,2.0,133.937454,1034.0,0.0,1984-08-29T10:07:04,1.0,,1227.0,,Ebro_Land_Upstream,1486.0,198.0,0,66.0,1115.0,32.0,5,556.0,,292.0,39.726109,
1_1_LT05_198032_19840914,21.0,140.349106,854.0,0.0,1984-09-14T10:07:08,1.0,,1100.0,,Ebro_Land_Upstream,1328.0,198.0,0,66.0,883.0,32.0,5,592.0,,310.0,44.081879,
1_1_LT05_198032_19840930,0.0,146.018677,537.0,0.0,1984-09-30T10:07:09,1.0,,784.0,,Ebro_Land_Upstream,819.5,198.0,0,67.0,597.0,32.0,5,491.0,,297.0,48.956512,
1_1_LT05_198032_19841101,5.0,153.446777,741.0,0.0031031807602792862,1984-11-01T10:07:00,1.0,,960.0,,Ebro_Land_Upstream,1196.0,198.0,0,66.0,793.0,32.0,5,663.0,,380.0,59.007393,
1_1_LT05_198032_19841117,58.0,154.905396,,1.0,1984-11-17T10:06:54,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,63.347878,
1_1_LT05_198032_19850104,42.0,151.667801,,0.635169381949832,1985-01-04T10:07:18,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,68.418999,
1_1_LT05_198032_19850120,100.0,149.134186,,1.0,1985-01-20T10:07:24,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,66.592133,
1_1_LT05_198032_19850205,22.0,146.445129,,1.0,1985-02-05T10:07:27,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,63.086487,
1_1_LT05_198032_19850325,19.0,138.34433,,1.0,1985-03-25T10:07:26,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,46.47876,
1_1_LT05_198032_19850410,3.0,135.097931,486.0,0.0,1985-04-10T10:07:21,1.0,,725.0,,Ebro_Land_Upstream,622.0,198.0,0,68.0,599.0,32.0,5,492.0,,286.0,40.654972,
1_1_LT05_198032_19850528,13.0,121.746635,634.0,0.0,1985-05-28T10:07:09,1.0,,883.0,,Ebro_Land_Upstream,898.0,198.0,0,66.0,737.0,32.0,5,631.0,,358.0,29.456387,
1_1_LT05_198032_19850613,14.0,118.267517,,0.8910783553141972,1985-06-13T10:07:08,,,,,Ebro_Land_Upstream,,198.0,0,,,32.0,5,,,,28.715347,
1_1_LT05_198032_19850629,3.0,117.126839,773.0,0.0,1985-06-29T10:07:04,1.0,,1067.0,,Ebro_Land_Upstream,1272.0,198.0,0,130.0,870.0,32.0,5,641.0,,399.0,29.311432,
1_1_LT05_198032_19850731,15.0,122.895973,667.0,0.0,1985-07-31T10:06:50,1.0,,976.0,,Ebro_Land_Upstream,1037.0,198.0,0,66.0,781.0,32.0,5,521.0,,309.0,33.377102,
