system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_098066_19990216,37.0,99.415916,,1.0,1999-02-16T00:11:48,,,,,Fly_Water_Upstream,,98.0,0,,,66.0,5,,,,36.498913,
1_1_LT05_098066_20090211,10.0,102.118988,658.2625706921095,0.0,2009-02-11T00:18:19,1.0,0.0,916.1237838915472,,Fly_Water_Upstream,796.9999999999991,98.0,3128,68.0,970.187460322499,66.0,5,51.00000000000004,22.259224445358182,52.00000000000004,34.9687,
1_1_LT05_098066_20091212,12.0,120.84568,692.3574487689183,0.0,2009-12-12T00:23:08,1.0,0.0,988.6132618017031,,Fly_Water_Upstream,740.0000000000001,98.0,3128,68.0,1022.9999999999999,66.0,5,20.0,21.380300122737946,13.000000000000002,31.226044,
1_1_LT05_098066_20110217,13.0,98.938873,766.4179104477612,0.23922285605294388,2011-02-17T00:22:32,1.0,0.0,990.9999999999999,,Fly_Water_Upstream,856.5600287562909,98.0,2377,68.0,1030.39714274844,66.0,5,273.0,94.21023017538214,194.33075800382954,33.78558,
1_1_LT05_099066_19871020,14.0,95.116783,1116.5401001845505,0.24840824275521434,1987-10-20T00:06:16,1.0,0.0,1516.0225928633133,,Fly_Water_Upstream,1242.0095541401272,99.0,2089,66.00000000000001,1571.0185262546088,66.0,5,461.8360721998313,106.73203221968416,391.00000000000017,32.096172,
1_1_LT05_099066_19871121,17.0,112.935394,884.573185613359,0.0,1987-11-21T00:06:55,1.0,0.0,1234.7082809137562,,Fly_Water_Upstream,1016.0,99.0,3128,68.0,1290.005296216165,66.0,5,253.00000000000003,43.90036488464628,225.99999999999997,33.336411,
1_1_LT05_099066_19880413,18.0,64.426605,658.0000000000001,0.013751728534177922,1988-04-13T00:08:50,1.0,0.0,932.0000000000001,,Fly_Water_Upstream,705.9999999999999,99.0,3087,68.0,1004.0000000000001,66.0,5,37.000000000000014,26.282400615483933,21.0,39.823109,
1_1_LT05_099066_19890110,23.0,114.664917,698.1229056546503,0.0,1989-01-10T00:08:59,1.0,0.0,1014.3536835889156,,Fly_Water_Upstream,780.9206654104677,99.0,3128,68.0,1069.0000000000005,66.0,5,140.00000000000003,24.69623831303906,94.00000000000006,38.401539,
1_1_LT05_099066_19890211,71.0,101.728264,,1.0,1989-02-11T00:08:44,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,38.853771,
1_1_LT05_099066_19890331,23.0,72.375824,653.0000000000001,0.0,1989-03-31T00:07:43,1.0,0.0,906.0000000000001,,Fly_Water_Upstream,498.00000000000017,99.0,3128,68.0,976.0000000000008,66.0,5,37.00000000000002,21.098217895559383,20.999999999999996,39.002876,
1_1_LT05_099066_19891212,32.0,117.078392,688.0000000000001,0.0,1989-12-12T00:02:18,1.0,0.0,1055.0000000000005,,Fly_Water_Upstream,725.0,99.0,3128,68.0,1107.0000000000002,66.0,5,133.0,37.09052094168416,89.99999999999996,37.078121,
1_1_LT05_099066_19900402,76.0,71.896149,,1.0,1990-04-02T23:58:45,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,41.302925,
1_1_LT05_099066_19900418,20.0,63.176014,943.0,0.9636926258410528,1990-04-18T23:58:58,1.0,0.0,1274.0,,Fly_Water_Upstream,1097.0,99.0,115,68.0,1273.0,66.0,5,446.0,30.295901761064215,311.0,42.597141,
1_1_LT05_099066_19901011,13.0,90.160423,1154.0267809675702,0.6714015745660157,1990-10-11T23:58:20,1.0,0.0,1617.2202540578687,,Fly_Water_Upstream,1321.9999999999998,99.0,1023,66.0,1694.2798164343237,66.0,5,390.9999999999999,47.46621202595008,308.0000000000001,34.671394,
1_1_LT05_099066_19901027,28.0,100.348854,1310.9999999999995,0.6326711154723572,1990-10-27T23:58:13,1.0,0.0,1692.3335184390544,,Fly_Water_Upstream,1360.114055636896,99.0,1069,66.00000000000003,1763.877292518802,66.0,5,571.0,173.85597141811485,474.00000000000017,33.961678,
1_1_LT05_099066_19901214,30.0,116.776093,866.3014904278555,0.0,1990-12-14T23:58:07,1.0,0.0,1228.0,,Fly_Water_Upstream,861.0000000000003,99.0,3128,68.0,1290.9999999999998,66.0,5,111.00000000000006,42.58118419209656,93.0,38.346966,
1_1_LT05_099066_19910115,8.0,112.283447,902.9999999999999,0.022403810680647188,1991-01-15T23:59:00,1.0,0.0,1280.9999999999998,,Fly_Water_Upstream,1060.9999999999998,99.0,3058,67.99999999999996,1345.0,66.0,5,357.0,39.04782004803561,290.00000000000006,40.956688,
1_1_LT05_099066_19910216,81.0,98.694794,980.0787779259211,0.0020428701572809244,1991-02-16T23:59:36,1.0,0.0,1368.2556409548579,,Fly_Water_Upstream,1325.0000000000005,99.0,3088,66.0,1458.366669041525,66.0,5,415.99999999999994,44.045544951233644,293.99999999999994,40.946438,
1_1_LT05_099066_19910321,2.0,79.782402,820.2209302325581,0.26316007418580073,1991-03-21T00:00:15,1.0,0.0,1186.0155225331998,,Fly_Water_Upstream,1117.0812165112127,99.0,2290,68.0,1286.7896002823284,66.0,5,306.0,52.720178874321135,246.99999999999994,40.487236,
1_1_LT05_099066_19910625,51.0,48.461433,1141.0,0.9242004823582854,1991-06-25T00:01:46,1.0,0.0,1514.0,,Fly_Water_Upstream,1253.0,99.0,238,130.0,1530.0,66.0,5,505.0,35.517445941040094,353.0,49.142113,
1_1_LT05_099066_19910913,37.0,72.06826,966.9999999999998,0.0,1991-09-13T00:02:35,1.0,0.0,1300.9954510787893,,Fly_Water_Upstream,1569.9999999999998,99.0,2590,66.0,1372.9999999999998,66.0,5,371.9999999999999,32.44125693746013,244.00000000000003,38.403778,
1_1_LT05_099066_19910929,12.0,81.359192,919.0,0.09277617019567883,1991-09-29T00:02:41,1.0,0.0,1256.087375540109,,Fly_Water_Upstream,1312.117832060023,99.0,2839,66.0,1292.7319652276988,66.0,5,427.9999999999999,33.21953574734067,303.0000000000001,35.33036,
1_1_LT05_099066_19920103,27.0,115.841942,966.6920003716436,0.7419031820086885,1992-01-03T00:02:59,1.0,0.0,1251.0,,Fly_Water_Upstream,1332.0671045705262,99.0,806,66.0,1302.1578421322401,66.0,5,427.9999999999999,40.27585680030873,317.99999999999983,39.219456,
1_1_LT05_099066_19920119,32.0,111.684494,868.0,0.0,1992-01-19T00:02:59,1.0,0.0,1258.5419108395201,,Fly_Water_Upstream,1425.9999999999995,99.0,3128,66.0,1318.7132384451065,66.0,5,210.99999999999997,22.744108127389143,129.0,40.133732,
1_1_LT05_099066_19920424,9.0,59.947083,726.2695803156626,0.0,1992-04-24T00:02:35,1.0,0.0,1098.3513652910528,,Fly_Water_Upstream,995.0000000000003,99.0,3126,68.0,1198.0000000000002,66.0,5,160.00000000000006,51.05480047061015,105.99999999999997,42.44508,
1_1_LT05_099066_19920915,15.0,73.757874,928.0000000000002,0.003616432305456771,1992-09-15T00:00:50,1.0,0.0,1278.1278557422431,,Fly_Water_Upstream,1202.0,99.0,3118,66.00000000000001,1368.0,66.0,5,382.00000000000006,37.7210395467109,286.0,38.232033,
1_1_LT05_099066_19930105,25.0,115.05629,1064.3994110644696,0.0,1993-01-05T00:00:15,1.0,0.0,1425.1686250572257,,Fly_Water_Upstream,1240.1579064587972,99.0,811,66.0,1476.019505033557,66.0,5,542.0,195.9318492171732,473.99999999999994,40.042202,
1_1_LT05_099066_19930222,81.0,95.67997,,1.0,1993-02-22T00:00:42,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,40.549057,
1_1_LT05_099066_19930326,24.0,76.305244,787.0,0.028842365211979148,1993-03-26T00:00:53,1.0,0.0,1197.9999999999995,,Fly_Water_Upstream,1034.0000000000014,99.0,3038,68.0,1300.0028449502133,66.0,5,179.99999999999997,30.093599286592756,140.00000000000006,40.454117,
1_1_LT05_099066_19930801,12.0,55.152225,822.4316248965152,0.0,1993-08-01T00:01:07,1.0,0.0,1197.622682993489,,Fly_Water_Upstream,1096.011088439086,99.0,3118,67.99999999999997,1298.7528180582303,66.0,5,82.96524913763572,48.16303620755584,72.00000000000001,47.006985,
1_1_LT05_099066_19931004,20.0,84.975746,1114.7239103443771,0.17783385492610274,1993-10-04T00:01:00,1.0,0.0,1534.111319696072,,Fly_Water_Upstream,1400.254271677321,99.0,2519,66.0,1618.6610153936006,66.0,5,442.00000000000006,64.73489421301005,344.0,34.867672,
1_1_LT05_099066_19931121,21.0,112.478149,1568.0,0.0,1993-11-21T00:00:39,1.0,0.0,1817.6793777087782,,Fly_Water_Upstream,1144.0,99.0,3128,68.0,1696.1762559192505,66.0,5,261.0,45.884681099639856,152.00000000000003,34.831974,
1_1_LT05_099066_19940108,18.0,114.456856,868.3327092692085,0.0,1994-01-08T00:00:14,1.0,0.0,1230.016039921583,,Fly_Water_Upstream,1156.0000000000002,99.0,3128,67.99999999999997,1348.0664646166292,66.0,5,278.99999999999994,36.79924923947397,210.0,40.20052,
1_1_LT05_099066_19940920,6.0,77.467957,897.9999999999999,0.0,1994-09-20T23:55:08,1.0,0.0,1201.0000000000005,,Fly_Water_Upstream,1158.0000000000005,99.0,3128,66.0,1294.9999999999998,66.0,5,349.0,43.13892688326561,276.9999999999999,38.488224,
1_1_LT05_099066_19941107,2.0,106.224632,898.0,0.0,1994-11-07T23:53:34,1.0,0.0,1223.9999999999995,,Fly_Water_Upstream,1090.0000000000005,99.0,3128,68.0,1302.0,66.0,5,337.9999999999997,33.549448948049054,270.00000000000006,35.334629,
1_1_LT05_099066_19950126,34.0,108.044464,927.0,0.0,1995-01-26T23:50:52,1.0,0.0,1216.491144179641,,Fly_Water_Upstream,1280.9999999999998,99.0,3128,66.0,1348.2563198414061,66.0,5,405.9999999999999,32.54062947555588,304.00000000000017,43.094528,
1_1_LT05_099066_19950331,67.0,74.370079,,1.0,1995-03-31T23:48:16,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,43.650814,
1_1_LT05_099066_19950416,26.0,65.90696,,1.0,1995-04-16T23:47:37,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,44.86969,
1_1_LT05_099066_19960301,44.0,91.40699,715.0,2.4469267854409105E-4,1996-03-01T23:45:13,1.0,0.0,902.1890752760681,,Fly_Water_Upstream,928.226108002766,99.0,3127,68.0,962.0,66.0,5,331.00000000000006,54.41260018860951,229.00000000000003,44.245441,
1_1_LT05_099066_19960520,39.0,52.976933,,1.0,1996-05-20T23:50:09,,,,,Fly_Water_Upstream,,99.0,0,,,66.0,5,,,,48.424309,
