system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_137045_19880102,1.0,142.888657,672.0,0.0,1988-01-02T03:54:03,1.0,0.0,794.0,208.00000000000003,Ganges_Land_Downstream,552.0,137.0,272,68.0,588.9999999999999,45.0,5,187.0,128.89196724113827,74.99999999999999,54.615421,
1_1_LT05_137045_19880306,10.0,125.364517,728.0000000000001,0.00838400670354886,1988-03-06T03:55:03,1.0,0.0,997.9999999999999,174.0,Ganges_Land_Downstream,846.0,137.0,225,68.0,956.0,45.0,5,258.0,111.30486182852334,137.99999999999997,43.072639,
1_1_LT05_137045_19880407,8.0,111.025024,895.0,0.2906544530037415,1988-04-07T03:55:18,1.0,0.0,1159.0,142.0,Ganges_Land_Downstream,1196.0,137.0,66,66.0,1169.0,45.0,5,556.0,119.5635015375016,374.0,33.952793,
1_1_LT05_137045_19881016,95.0,135.841156,,1.0,1988-10-16T03:55:46,,,,,Ganges_Land_Downstream,,137.0,0,,,45.0,5,,,,40.747475,
1_1_LT05_137045_19890104,14.0,142.661453,776.0,0.0,1989-01-04T03:55:31,1.0,0.0,913.0,206.99999999999997,Ganges_Land_Downstream,905.5768576290415,137.0,233,68.00000000000001,734.0,45.0,5,392.00000000000006,140.1511828991937,222.0,54.45076,
1_1_LT05_137045_19890205,0.0,134.985733,536.9999999999999,0.0,1989-02-05T03:55:15,1.0,0.0,726.9999999999999,197.0,Ganges_Land_Downstream,440.56,137.0,245,68.0,510.0,45.0,5,230.0,108.5192245217201,112.0,50.719769,
1_1_LT05_137045_19890221,0.0,130.011765,717.0,0.0,1989-02-21T03:55:09,1.0,0.0,998.1041560356068,186.0,Ganges_Land_Downstream,748.0,137.0,256,68.0,876.7101925786754,45.0,5,356.00000000000006,124.39161413207016,227.0,46.887932,
1_1_LT05_137045_19890309,4.0,124.213844,862.0,0.14717565392928858,1989-03-09T03:54:45,1.0,0.0,1045.0,172.0,Ganges_Land_Downstream,1036.0,137.0,298,68.00000000000001,999.0000000000001,45.0,5,389.0,124.21003986382439,252.99999999999997,42.333134,
1_1_LT05_137045_19890410,14.0,109.33622,917.0,0.4216905512335852,1989-04-10T03:54:21,1.0,0.0,1153.0,140.0,Ganges_Land_Downstream,1188.0,137.0,101,66.0,1131.9999999999998,45.0,5,627.0,156.53321058196104,406.99999999999994,33.556572,
1_1_LT05_137045_19891019,11.0,135.398895,832.9999999999999,0.0,1989-10-19T03:50:09,1.0,0.0,1099.9999999999998,172.0,Ganges_Land_Downstream,1012.0,137.0,213,68.0,1010.9999999999998,45.0,5,331.0,144.20715817118239,148.0,42.340023,
1_1_LT05_137045_19891104,0.0,140.60231,754.9999999999999,0.0,1989-11-04T03:49:53,1.0,0.0,1074.0,185.0,Ganges_Land_Downstream,990.0,137.0,192,68.0,983.0,45.0,5,392.0,176.53706483152936,188.0,46.359978,
1_1_LT05_137045_19891120,7.0,143.445282,809.9999999999999,0.0,1989-11-20T03:49:12,1.0,0.0,985.9999999999999,196.0,Ganges_Land_Downstream,934.0,137.0,154,68.0,819.9999999999999,45.0,5,397.0,177.14289237155458,207.00000000000003,50.153027,
1_1_LT05_137045_19891222,0.0,143.039902,828.9999999999999,0.0,1989-12-22T03:48:28,1.0,0.0,940.0,209.0,Ganges_Land_Downstream,898.0,137.0,168,68.0,760.0,45.0,5,411.0,174.0190679752967,232.99999999999997,55.107906,
1_1_LT05_137045_19900123,36.0,136.821945,1334.0,0.0,1990-01-23T03:47:27,1.0,0.0,1394.0,207.0,Ganges_Land_Downstream,1395.0,137.0,86,66.0,1248.0,45.0,5,544.0,54.365910683593434,280.0,54.251034,
1_1_LT05_137045_19900208,68.0,132.329529,927.0,0.017045677448842545,1990-02-08T03:46:56,1.0,0.0,1107.0,200.0,Ganges_Land_Downstream,1020.0,137.0,242,68.0,886.0,45.0,5,445.0,111.66019270076998,262.99999999999994,51.555702,
1_1_LT05_137045_19900224,10.0,127.101227,592.9999999999999,0.0,1990-02-24T03:46:27,1.0,0.0,842.9999999999999,189.0,Ganges_Land_Downstream,617.0,137.0,227,68.0,619.0,45.0,5,239.00000000000003,100.31172628599329,100.0,47.739986,
1_1_LT05_137045_19900413,28.0,106.128433,1003.0,0.572429369923536,1990-04-13T03:45:25,1.0,0.0,1239.0,146.0,Ganges_Land_Downstream,1287.9999999999998,137.0,149,66.0,1245.0,45.0,5,559.0,98.90843684605349,341.99999999999994,34.899158,
1_1_LT05_137045_19900429,54.0,97.499924,829.0,0.07014235519286965,1990-04-29T03:45:20,1.0,0.0,1112.0,136.0,Ganges_Land_Downstream,1012.0,137.0,188,68.0,1097.9999999999998,45.0,5,430.0,152.10949229418148,231.0,32.144669,
1_1_LT05_137045_19900531,54.0,83.368629,1049.0,0.0,1990-05-31T03:45:23,1.0,0.0,1296.0,130.0,Ganges_Land_Downstream,1373.0,137.0,75,66.0,1169.0,45.0,5,821.0,40.961718713940655,526.0,30.622078,
1_1_LT05_137045_19901209,0.0,143.117981,563.0,0.004759138822498773,1990-12-09T03:44:30,1.0,0.0,787.0000000000001,207.0,Ganges_Land_Downstream,500.0,137.0,95,68.0,584.6664174920576,45.0,5,292.0,167.02187691563358,125.00000000000001,54.231392,
1_1_LT05_137045_19910126,0.0,135.778366,668.0,0.004759138822498773,1991-01-26T03:45:45,1.0,0.0,821.0,207.0,Ganges_Land_Downstream,749.0000000000001,137.0,108,68.0,662.0134674671426,45.0,5,322.0,150.14653336484824,172.0,54.123035,
1_1_LT05_137045_19910211,0.0,131.340424,571.0,0.0,1991-02-11T03:45:55,1.0,0.0,743.9999999999999,198.0,Ganges_Land_Downstream,598.0,137.0,183,68.0,561.0,45.0,5,268.0,105.24660753668702,159.99999999999997,51.063538,
