system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_022047_19860311,0.0,119.36557,456.0,0.0,1986-03-11T16:01:26,1.0,0.0,640.3128809965546,,Grijalva_Water_Downstream,288.0,22.0,293,68.0,404.99999999999994,47.0,5,113.99999999999999,30.348026910566073,56.99999999999998,41.217922,
1_1_LT05_022047_19860919,63.0,114.775108,,1.0,1986-09-19T15:55:42,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,36.27882,
1_1_LT05_022047_19861005,62.0,124.306328,,1.0,1986-10-05T15:55:12,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,38.823593,
1_1_LT05_022047_19861021,60.0,132.000931,,1.0,1986-10-21T15:54:39,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,42.169552,
1_1_LT05_022047_19900322,46.0,113.076141,,1.0,1990-03-22T15:55:33,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,39.528481,
1_1_LT05_022047_19900423,24.0,95.823631,506.0,0.0,1990-04-23T15:55:31,1.0,0.0,728.0503946271875,,Grijalva_Water_Downstream,445.0,22.0,293,68.0,510.9220292613299,47.0,5,227.99999999999991,54.90777600326322,195.00000000000003,32.967403,
1_1_LT05_022047_19920903,16.0,105.017403,560.9999999999999,0.0,1992-09-03T15:57:33,1.0,0.0,846.0,,Grijalva_Water_Downstream,543.0,22.0,293,68.0,787.0,47.0,5,187.00000000000006,25.97107671664934,128.0,34.439442,
1_1_LT05_022047_19930109,0.0,137.948822,564.0,0.0,1993-01-09T15:56:51,1.0,0.0,800.0000000000003,,Grijalva_Water_Downstream,463.9999999999999,22.0,293,68.0,793.0,47.0,5,91.0,25.155105746731383,32.0,53.635654,
1_1_LT05_022047_19930210,0.0,129.327042,442.99999999999994,0.0,1993-02-10T15:57:12,1.0,0.0,647.9999999999998,,Grijalva_Water_Downstream,273.0,22.0,293,68.0,478.00000000000017,47.0,5,79.00000000000003,26.444579319267653,71.0,49.332352,
1_1_LT05_022047_19930226,2.0,123.68119,480.0,0.0,1993-02-26T15:57:17,1.0,0.0,690.0000000000001,,Grijalva_Water_Downstream,362.0,22.0,293,68.0,482.00000000000006,47.0,5,64.99999999999999,24.437588411743867,61.99999999999999,45.475182,
1_1_LT05_022047_19930314,85.0,117.073265,,1.0,1993-03-14T15:57:28,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,41.149265,
1_1_LT05_022047_19930330,0.0,109.314529,523.0,0.0,1993-03-30T15:57:30,1.0,0.0,732.0000000000002,,Grijalva_Water_Downstream,423.9999999999999,22.0,293,68.0,501.00000000000006,47.0,5,185.00000000000003,26.773450809177113,128.0,36.993931,
1_1_LT05_022047_19930415,23.0,100.508919,834.9999999999997,0.0,1993-04-15T15:57:38,1.0,0.0,1006.9999999999994,,Grijalva_Water_Downstream,916.0000000000001,22.0,293,68.0,816.0000000000001,47.0,5,524.0,26.747413925616094,409.9999999999999,33.635471,
1_1_LT05_022047_19930501,1.0,91.385582,921.0,0.0,1993-05-01T15:57:43,1.0,0.0,1016.9999999999999,,Grijalva_Water_Downstream,819.9999999999998,22.0,293,68.0,760.0,47.0,5,217.99999999999997,33.40033158599129,174.99999999999994,31.54781,
1_1_LT05_022047_19930517,4.0,83.36377,571.0,0.0822304593932744,1993-05-17T15:57:46,1.0,0.0,729.9999999999997,,Grijalva_Water_Downstream,495.00000000000006,22.0,268,68.0,505.99999999999983,47.0,5,117.0,29.611265818555342,84.00000000000001,30.796581,
1_1_LT05_022047_19930602,13.0,77.868935,,1.0,1993-06-02T15:57:50,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,31.06559,
1_1_LT05_022047_19930618,69.0,75.642822,,1.0,1993-06-18T15:57:47,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,31.807217,
1_1_LT05_022047_19930704,74.0,76.751884,,1.0,1993-07-04T15:57:41,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,32.548119,
1_1_LT05_022047_19930720,25.0,80.912239,704.8705912205023,0.5986297153715429,1993-07-20T15:57:41,1.0,0.0,985.0,,Grijalva_Water_Downstream,848.7768074735986,22.0,117,68.0,1051.0,47.0,5,391.99999999999994,51.9419648386645,273.99999999999994,33.04435,
1_1_LT05_022047_19930906,3.0,106.877525,510.0,0.7798445048107164,1993-09-06T15:57:38,1.0,0.0,852.0,,Grijalva_Water_Downstream,628.0,22.0,64,68.0,948.0,47.0,5,111.0,34.85414643105609,56.0,34.564442,
1_1_LT05_022047_19930922,26.0,117.332077,,1.0,1993-09-22T15:57:35,,,,,Grijalva_Water_Downstream,,22.0,0,,,47.0,5,,,,36.278835,
