system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116034_19840511,23.0,121.173653,,1.0,1984-05-11T01:38:31,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,31.224121,
1_1_LT05_116034_19840612,61.0,112.285194,,1.0,1984-06-12T01:39:18,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.295753,
1_1_LT05_116034_19840730,9.0,117.662613,,0.0,1984-07-30T01:40:17,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,32.330566,
1_1_LT05_116034_19841205,42.0,153.639542,,0.976349204202783,1984-12-05T01:41:01,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,64.545319,
1_1_LT05_116034_19841221,100.0,152.381119,,1.0,1984-12-21T01:41:12,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.193115,
1_1_LT05_116034_19850122,100.0,147.527512,,1.0,1985-01-22T01:41:25,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,64.162979,
1_1_LT05_116034_19850207,24.0,144.627106,,0.6705318386499168,1985-02-07T01:41:28,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.596142,
1_1_LT05_116034_19850311,42.0,138.610687,,0.0018322943570742794,1985-03-11T01:41:28,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.074837,
1_1_LT05_116034_19850412,22.0,131.306198,,0.0,1985-04-12T01:41:22,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,38.526814,
1_1_LT05_116034_19850514,1.0,121.06282,,0.0,1985-05-14T01:41:09,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.309792,
1_1_LT05_116034_19850530,80.0,115.879128,,1.0,1985-05-30T01:41:10,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.409218,
1_1_LT05_116034_19860109,3.0,149.090591,,1.0,1986-01-09T01:38:33,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.202148,
1_1_LT05_116034_19860210,84.0,143.194977,,1.0,1986-02-10T01:37:51,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.290119,
1_1_LT05_116034_19860226,40.0,140.080902,,1.0,1986-02-26T01:37:29,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,55.338978,
1_1_LT05_116034_19860415,0.0,128.900513,815.0,0.0,1986-04-15T01:36:29,1.0,0.0,1043.0,152.0,Han_Land_Midstream,1226.0,116.0,1,66.0,1174.0,34.0,5,626.0,0.0,564.0,38.453896,
1_1_LT05_116034_19860517,15.0,118.23362,,1.0,1986-05-17T01:35:40,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.931057,
1_1_LT05_116034_19860602,79.0,113.242004,,1.0,1986-06-02T01:35:12,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,29.408939,
1_1_LT05_116034_19860704,100.0,109.907745,,1.0,1986-07-04T01:34:11,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.294739,
1_1_LT05_116034_19860805,55.0,117.540192,,0.2929845438195562,1986-08-05T01:33:04,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,34.494751,
1_1_LT05_116034_19860821,44.0,123.982285,,0.061878811645549106,1986-08-21T01:32:28,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,37.542938,
1_1_LT05_116034_19860922,39.0,137.511353,,1.0,1986-09-22T01:31:23,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,45.55291,
1_1_LT05_116034_19861008,42.0,143.091843,,1.0,1986-10-08T01:30:53,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.314644,
1_1_LT05_116034_19861024,31.0,147.262878,,0.9975253884328813,1986-10-24T01:30:20,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,55.227203,
1_1_LT05_116034_19861109,87.0,149.833038,,1.0,1986-11-09T01:29:45,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,59.889553,
1_1_LT05_116034_19861125,52.0,150.90593,,1.0,1986-11-25T01:29:15,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,63.760178,
1_1_LT05_116034_19861211,3.0,150.643219,,0.0,1986-12-11T01:29:42,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.400406,
1_1_LT05_116034_19870213,58.0,141.296997,,1.0,1987-02-13T01:31:45,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.185299,
1_1_LT05_116034_19870301,11.0,138.308807,,0.17716460899784994,1987-03-01T01:32:23,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,54.994167,
1_1_LT05_116034_19870317,23.0,135.171127,843.0,0.004739624886749335,1987-03-17T01:32:58,1.0,0.0,1055.0,,Han_Land_Midstream,1104.0,116.0,1,66.0,1128.0,34.0,5,857.0,0.0,668.0,49.180935,
1_1_LT05_116034_19870402,37.0,131.650894,,1.0,1987-04-02T01:33:33,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,43.290039,
1_1_LT05_116034_19870418,1.0,127.461929,1057.0,0.36499844491622835,1987-04-18T01:34:04,1.0,0.0,1315.0,150.0,Han_Land_Midstream,1289.0,116.0,2,66.0,1356.0,34.0,5,872.0,12.5,597.0,37.89801,
1_1_LT05_116034_19870520,0.0,117.223694,,0.0,1987-05-20T01:34:59,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.563145,
1_1_LT05_116034_19870621,1.0,110.324486,,0.0,1987-06-21T01:35:44,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,29.074398,
1_1_LT05_116034_19870808,56.0,119.857498,,0.5999377966491326,1987-08-08T01:36:53,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,34.176403,
1_1_LT05_116034_19870824,49.0,126.79203,,0.0,1987-08-24T01:37:20,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,37.242764,
1_1_LT05_116034_19870909,23.0,134.036896,732.0,0.05523928006382606,1987-09-09T01:37:45,1.0,0.0,981.0,161.0,Han_Land_Midstream,1287.0,116.0,1,66.0,940.0,34.0,5,474.0,0.0,333.0,41.00201,
1_1_LT05_116034_19871011,19.0,146.258438,,1.0,1987-10-11T01:38:26,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.204952,
1_1_LT05_116034_19871027,14.0,150.26709,1040.0,0.19759029627726474,1987-10-27T01:38:40,1.0,0.0,1248.0,206.0,Han_Land_Midstream,1147.0,116.0,1,66.0,1204.0,34.0,5,762.0,0.0,434.0,55.103897,
1_1_LT05_116034_19871214,36.0,152.771423,,0.0,1987-12-14T01:39:34,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,65.740433,
1_1_LT05_116034_19871230,2.0,151.041992,,0.0,1987-12-30T01:39:50,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.495216,
1_1_LT05_116034_19880115,66.0,148.600754,,1.0,1988-01-15T01:40:06,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,65.426651,
1_1_LT05_116034_19880131,2.0,145.80751,,0.0030155102703141277,1988-01-31T01:40:24,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,62.613022,
1_1_LT05_116034_19880216,7.0,142.902695,,0.0,1988-02-16T01:40:40,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,58.31543,
1_1_LT05_116034_19880303,7.0,139.937637,,0.0,1988-03-03T01:40:51,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,52.957962,
1_1_LT05_116034_19880319,26.0,136.802048,,0.5747116333788592,1988-03-19T01:41:00,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,47.074074,
1_1_LT05_116034_19880420,54.0,128.885086,,1.0,1988-04-20T01:41:11,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,35.952713,
1_1_LT05_116034_19880607,30.0,113.890602,,0.0,1988-06-07T01:41:34,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,27.956558,
1_1_LT05_116034_19880623,88.0,111.787048,,1.0,1988-06-23T01:41:39,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.154739,
1_1_LT05_116034_19880725,96.0,116.496941,,1.0,1988-07-25T01:41:47,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,31.298119,
1_1_LT05_116034_19880826,100.0,129.343155,,1.0,1988-08-26T01:41:50,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,37.224419,
1_1_LT05_116034_19880927,8.0,142.786606,,0.0,1988-09-27T01:41:41,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,45.809254,
1_1_LT05_116034_19881013,2.0,147.907074,,0.0,1988-10-13T01:41:35,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.752274,
1_1_LT05_116034_19881029,2.0,151.496384,,0.0017241146164352075,1988-10-29T01:41:37,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,55.695671,
1_1_LT05_116034_19881114,1.0,153.437042,,0.00129139565387892,1988-11-14T01:41:38,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.176464,
1_1_LT05_116034_19881130,4.0,153.83284,,0.0,1988-11-30T01:41:38,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,63.719666,
1_1_LT05_116034_19890117,27.0,148.296677,,0.005172343849305623,1989-01-17T01:41:08,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,65.000427,
1_1_LT05_116034_19890202,8.0,145.394882,,0.0,1989-02-02T01:41:05,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,61.945011,
1_1_LT05_116034_19890218,5.0,142.389374,,0.0,1989-02-18T01:41:01,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,57.473572,
1_1_LT05_116034_19890306,27.0,139.311142,,0.0,1989-03-06T01:40:42,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,52.030285,
1_1_LT05_116034_19890322,1.0,135.990479,,0.0,1989-03-22T01:40:01,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,46.1548,
1_1_LT05_116034_19890407,90.0,132.177567,,1.0,1989-04-07T01:40:11,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,40.429138,
1_1_LT05_116034_19890423,49.0,127.574165,,1.0,1989-04-23T01:39:55,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,35.392597,
1_1_LT05_116034_19890525,45.0,116.760162,,1.0,1989-05-25T01:39:25,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,29.205921,
1_1_LT05_116034_19890610,54.0,112.566116,,1.0,1989-06-10T01:39:08,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.397366,
1_1_LT05_116034_19890626,86.0,110.891388,,1.0,1989-06-26T01:38:48,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.858376,
1_1_LT05_116034_19890813,48.0,122.249573,,0.3229638544441591,1989-08-13T01:37:48,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,35.141186,
1_1_LT05_116034_19890930,8.0,142.189056,,0.0,1989-09-30T01:36:45,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,47.292904,
1_1_LT05_116034_19891101,1.0,150.334198,,0.0,1989-11-01T01:35:46,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,57.10334,
