system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116034_19840511,23.0,121.173653,,0.28315190987039945,1984-05-11T01:38:31,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,31.224121,
1_1_LT05_116034_19840612,61.0,112.285194,,1.0,1984-06-12T01:39:18,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.295753,
1_1_LT05_116034_19840730,9.0,117.662613,633.9999999999997,0.0,1984-07-30T01:40:17,1.0,0.0,980.9999999999998,135.99999999999994,Han_Land_Upstream,398.0000000000001,116.0,384,68.0,820.0000000000002,34.0,5,59.0,131.1478040252716,55.99999999999999,32.330566,
1_1_LT05_116034_19841205,42.0,153.639542,799.0,0.5519256273225048,1984-12-05T01:41:01,1.0,,1030.0,,Han_Land_Upstream,552.0,116.0,0,68.0,940.0,34.0,5,253.0,,170.0,64.545319,
1_1_LT05_116034_19841221,100.0,152.381119,,1.0,1984-12-21T01:41:12,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,66.193115,
1_1_LT05_116034_19850122,100.0,147.527512,,1.0,1985-01-22T01:41:25,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,64.162979,
1_1_LT05_116034_19850207,24.0,144.627106,,0.9966516538203973,1985-02-07T01:41:28,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,60.596142,
1_1_LT05_116034_19850311,42.0,138.610687,921.9999999999998,0.2419541210919549,1985-03-11T01:41:28,1.0,0.0,1172.9999999999998,196.0,Han_Land_Upstream,1025.0,116.0,169,68.0,1245.9999999999998,34.0,5,290.0,51.522938035378864,199.0,50.074837,
1_1_LT05_116034_19850412,22.0,131.306198,609.0,0.0,1985-04-12T01:41:22,1.0,0.0,886.0000000000001,159.0,Han_Land_Upstream,442.0,116.0,142,68.0,785.0,34.0,5,192.0,218.65628817089907,129.00000000000003,38.526814,
1_1_LT05_116034_19850514,1.0,121.06282,615.9999999999999,0.0,1985-05-14T01:41:09,1.0,0.0,906.0000000000001,129.0,Han_Land_Upstream,690.7830445679416,116.0,294,68.0,878.0000000000002,34.0,5,133.0,101.45788573408028,87.99999999999999,30.309792,
1_1_LT05_116034_19850530,80.0,115.879128,,1.0,1985-05-30T01:41:10,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.409218,
1_1_LT05_116034_19860109,3.0,149.090591,1708.0,0.9998424307680188,1986-01-09T01:38:33,1.0,,1756.0,,Han_Land_Upstream,936.0,116.0,0,68.0,1474.0,34.0,5,222.0,,181.0,66.202148,
1_1_LT05_116034_19860210,84.0,143.194977,,1.0,1986-02-10T01:37:51,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,60.290119,
1_1_LT05_116034_19860226,40.0,140.080902,,1.0,1986-02-26T01:37:29,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,55.338978,
1_1_LT05_116034_19860415,0.0,128.900513,796.0000000000001,0.0,1986-04-15T01:36:29,1.0,0.0,1077.9999999999998,159.0,Han_Land_Upstream,855.9999999999999,116.0,288,68.0,1044.9999999999995,34.0,5,219.99999999999991,96.19354799681358,131.0,38.453896,
1_1_LT05_116034_19860517,15.0,118.23362,,1.0,1986-05-17T01:35:40,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,30.931057,
1_1_LT05_116034_19860602,79.0,113.242004,,1.0,1986-06-02T01:35:12,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,29.408939,
1_1_LT05_116034_19860704,100.0,109.907745,,1.0,1986-07-04T01:34:11,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,30.294739,
1_1_LT05_116034_19860805,55.0,117.540192,,1.0,1986-08-05T01:33:04,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,34.494751,
1_1_LT05_116034_19860821,44.0,123.982285,541.0,0.0,1986-08-21T01:32:28,1.0,0.0,810.1943322316072,155.0,Han_Land_Upstream,424.4562111390396,116.0,292,68.0,616.5151232262882,34.0,5,48.0,61.0532741711241,50.99999999999999,37.542938,
1_1_LT05_116034_19860922,39.0,137.511353,,1.0,1986-09-22T01:31:23,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,45.55291,
1_1_LT05_116034_19861008,42.0,143.091843,,1.0,1986-10-08T01:30:53,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,50.314644,
1_1_LT05_116034_19861024,31.0,147.262878,693.0,7.287576979135212E-4,1986-10-24T01:30:20,1.0,0.0,914.9999999999999,209.0,Han_Land_Upstream,480.9999999999999,116.0,281,68.0,817.0,34.0,5,144.0,143.95316142230658,123.0,55.227203,
1_1_LT05_116034_19861109,87.0,149.833038,,1.0,1986-11-09T01:29:45,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,59.889553,
1_1_LT05_116034_19861125,52.0,150.90593,,1.0,1986-11-25T01:29:15,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,63.760178,
1_1_LT05_116034_19861211,3.0,150.643219,785.5,0.39871581075935253,1986-12-11T01:29:42,1.0,0.0,1020.0,234.0,Han_Land_Upstream,460.0,116.0,2,68.0,832.0,34.0,5,251.0,74.0,114.0,66.400406,
1_1_LT05_116034_19870213,58.0,141.296997,,1.0,1987-02-13T01:31:45,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,60.185299,
1_1_LT05_116034_19870301,11.0,138.308807,998.0,0.10145488924196075,1987-03-01T01:32:23,1.0,0.0,1222.9999999999998,209.0,Han_Land_Upstream,841.0000000000001,116.0,264,68.0,1185.9999999999998,34.0,5,183.99999999999997,72.10779483912307,122.99999999999997,54.994167,
1_1_LT05_116034_19870317,23.0,135.171127,942.9999999999998,0.005390180810693701,1987-03-17T01:32:58,1.0,0.0,1183.9999999999995,193.0,Han_Land_Upstream,753.9999999999999,116.0,298,68.0,1164.9999999999995,34.0,5,197.99999999999997,90.44214920127838,112.0,49.180935,
1_1_LT05_116034_19870402,37.0,131.650894,,1.0,1987-04-02T01:33:33,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,43.290039,
1_1_LT05_116034_19870418,1.0,127.461929,1019.0,0.25717268274748234,1987-04-18T01:34:04,1.0,0.0,1276.0,157.0,Han_Land_Upstream,1023.0000000000001,116.0,268,68.0,1288.9999999999998,34.0,5,436.99999999999994,90.01685320287527,306.99999999999994,37.89801,
1_1_LT05_116034_19870520,0.0,117.223694,,0.5070906154391588,1987-05-20T01:34:59,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,30.563145,
1_1_LT05_116034_19870621,1.0,110.324486,483.0,0.0,1987-06-21T01:35:44,1.0,0.0,685.9999999999998,124.0,Han_Land_Upstream,416.99999999999994,116.0,139,68.0,521.0,34.0,5,92.93109962219127,146.5187793571574,47.999999999999986,29.074398,
1_1_LT05_116034_19870808,56.0,119.857498,,1.0,1987-08-08T01:36:53,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,34.176403,
1_1_LT05_116034_19870824,49.0,126.79203,894.0000000000001,0.24370707879774692,1987-08-24T01:37:20,1.0,0.0,1332.9999999999998,154.0,Han_Land_Upstream,822.0000000000001,116.0,252,68.0,1291.0000000000002,34.0,5,142.44814393939396,40.44306456493347,83.99999999999999,37.242764,
