system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_152043_19861020,0.0,136.773712,974.0000000000001,0.0,1986-10-20T05:16:33,1.0,0.0,1489.9999999999998,180.99999999999997,Indus_Land_Downstream,778.0,152.0,122,68.0,1494.9999999999998,43.0,5,263.99999999999994,166.61167490604004,223.0,45.227276,
1_1_LT05_152043_19871108,2.0,144.493225,911.0000000000001,0.0,1987-11-08T05:25:03,1.0,0.0,1378.9999999999998,192.0,Indus_Land_Downstream,739.9999999999999,152.0,135,68.0,1399.0,43.0,5,104.70447350309703,198.04805502393964,65.99999999999999,48.727905,
1_1_LT05_152043_19871124,3.0,146.676041,751.0,0.7582537390259941,1987-11-24T05:25:22,1.0,0.0,1103.0,202.0,Indus_Land_Downstream,656.0,152.0,78,68.0,1118.0,43.0,5,144.99999999999997,212.67093793822417,118.0,52.435249,
1_1_LT05_152043_19871226,2.0,145.499557,895.0,0.0,1987-12-26T05:25:51,1.0,0.0,1286.0,211.0,Indus_Land_Downstream,939.0000000000001,152.0,65,68.0,1375.0000000000002,43.0,5,195.99999999999997,295.19766680176707,180.99999999999997,56.568077,
1_1_LT05_152043_19880127,6.0,139.38266,898.0,0.0,1988-01-27T05:26:24,1.0,0.0,1312.0,206.0,Indus_Land_Downstream,803.0,152.0,66,68.0,1345.0,43.0,5,324.0,247.6906654446086,270.00000000000006,54.417377,
1_1_LT05_152043_19880315,4.0,125.047745,885.0,0.5119141239383452,1988-03-15T05:27:03,1.0,0.0,1263.0,169.0,Indus_Land_Downstream,703.0,152.0,65,68.0,1159.0,43.0,5,309.0,203.26074198125235,250.0,41.566963,
1_1_LT05_152043_19880331,0.0,118.549484,881.0,0.0,1988-03-31T05:27:10,1.0,0.0,1272.0000000000002,152.0,Indus_Land_Downstream,500.00000000000006,152.0,128,68.0,1139.9999999999998,43.0,5,259.99999999999994,165.0885060921868,232.0,36.630936,
1_1_LT05_152043_19880502,1.0,102.349739,1149.9999999999998,0.0,1988-05-02T05:27:21,1.0,0.0,1599.0,124.99999999999999,Indus_Land_Downstream,1312.0000000000002,152.0,128,66.0,1736.9999999999998,43.0,5,671.9999999999999,55.96519696636808,562.0,29.414402,
1_1_LT05_152043_19880518,53.0,94.271996,,1.0,1988-05-18T05:27:32,,,,,Indus_Land_Downstream,,152.0,0,,,43.0,5,,,,27.893204,
1_1_LT05_152043_19880619,14.0,85.814491,966.1,0.05965283536846923,1988-06-19T05:27:43,1.0,0.0,1315.0,120.0,Indus_Land_Downstream,1492.0000000000002,152.0,85,66.0,1362.1145833333333,43.0,5,813.0,136.8776515282508,539.0,28.173717,
1_1_LT05_152043_19880705,76.0,86.944443,,1.0,1988-07-05T05:27:47,,,,,Indus_Land_Downstream,,152.0,0,,,43.0,5,,,,28.999901,
1_1_LT05_152043_19880822,35.0,107.848099,852.0,0.0,1988-08-22T05:27:53,1.0,,1070.0,,Indus_Land_Downstream,1110.0,152.0,0,68.0,1116.0,43.0,5,820.0,,595.0,32.222412,
1_1_LT05_152043_19880907,23.0,117.890411,,0.818389144670994,1988-09-07T05:27:55,,,,,Indus_Land_Downstream,,152.0,0,,,43.0,5,,,,34.233532,
