system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_152043_19861020,0.0,136.773712,992.9999999999998,0.0,1986-10-20T05:16:33,1.0,0.0,1449.0,181.0,Indus_Water_Downstream,480.95891477899664,152.0,631,68.0,1208.0000000000002,43.0,5,236.00000000000009,101.20454349172489,182.76275010014547,45.227276,
1_1_LT05_152043_19871108,2.0,144.493225,911.9999999999998,0.0,1987-11-08T05:25:03,1.0,0.0,1379.0,192.0,Indus_Water_Downstream,739.9999999999999,152.0,643,68.0,1472.9999999999998,43.0,5,74.08790449733465,107.467831806662,66.00000000000001,48.727905,
1_1_LT05_152043_19871124,3.0,146.676041,966.0,0.9936895660624955,1987-11-24T05:25:22,1.0,,1465.0,,Indus_Water_Downstream,890.0,152.0,0,68.0,1516.0,43.0,5,272.0,,162.0,52.435249,
1_1_LT05_152043_19871226,2.0,145.499557,895.9999999999999,0.0,1987-12-26T05:25:51,1.0,0.0,1286.0000000000005,213.0,Indus_Water_Downstream,836.0,152.0,637,68.0,1375.0000000000002,43.0,5,90.0,98.01788481402559,30.0,56.568077,
1_1_LT05_152043_19880127,6.0,139.38266,898.0000000000002,0.0,1988-01-27T05:26:24,1.0,0.0,1312.0,207.0,Indus_Water_Downstream,852.0,152.0,642,68.0,1387.0000000000002,43.0,5,189.99999999999997,85.47781819208107,126.00000000000013,54.417377,
1_1_LT05_152043_19880315,4.0,125.047745,885.0000000000001,0.16484609080038162,1988-03-15T05:27:03,1.0,0.0,1227.0,169.0,Indus_Water_Downstream,430.2177437771182,152.0,599,68.0,996.9999999999998,43.0,5,229.00000000000003,85.81364947341643,174.00000000000003,41.566963,
1_1_LT05_152043_19880331,0.0,118.549484,880.9999999999998,0.0,1988-03-31T05:27:10,1.0,0.0,1272.0000000000007,152.0,Indus_Water_Downstream,464.0000000000004,152.0,640,68.0,1140.0000000000002,43.0,5,210.99999999999994,81.85328479623522,161.0,36.630936,
1_1_LT05_152043_19880502,1.0,102.349739,1133.9999999999995,0.0,1988-05-02T05:27:21,1.0,0.0,1565.000000000001,125.0,Indus_Water_Downstream,1240.0000000000002,152.0,632,66.0,1677.0000000000014,43.0,5,600.0,63.18677944791688,527.0000000000001,29.414402,
1_1_LT05_152043_19880518,53.0,94.271996,,1.0,1988-05-18T05:27:32,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,27.893204,
1_1_LT05_152043_19880619,14.0,85.814491,1421.0000000000002,0.43505717011299655,1988-06-19T05:27:43,1.0,0.0,1968.0000000000002,120.0,Indus_Water_Downstream,1312.0,152.0,473,66.0,2061.0,43.0,5,570.0,56.63742173488078,434.9999999999999,28.173717,
1_1_LT05_152043_19880705,76.0,86.944443,,1.0,1988-07-05T05:27:47,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,28.999901,
1_1_LT05_152043_19880822,35.0,107.848099,798.0,0.0,1988-08-22T05:27:53,1.0,0.0,1037.0,,Indus_Water_Downstream,1201.5,152.0,8,66.0,1041.5,43.0,5,832.5,52.3975190252363,595.0,32.222412,
1_1_LT05_152043_19880907,23.0,117.890411,,0.3086783022290298,1988-09-07T05:27:55,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,34.233532,
1_1_LT05_152043_19881009,5.0,135.688171,1108.0,0.16851859316287554,1988-10-09T05:27:44,1.0,0.0,1477.0,167.0,Indus_Water_Downstream,1404.0,152.0,13,66.0,1752.0,43.0,5,353.0,42.76148241932487,285.0,40.782692,
1_1_LT05_152043_19881025,4.0,141.797638,1136.1336715403577,0.08504530166023982,1988-10-25T05:27:41,1.0,0.0,1656.0,180.0,Indus_Water_Downstream,1296.9999999999995,152.0,769,66.0,1880.0000000000002,43.0,5,181.00000000000006,83.38182826097572,142.00000000000003,44.94762,
1_1_LT05_152043_19881110,0.0,145.647598,905.9999999999998,0.1161988704815905,1988-11-10T05:27:43,1.0,0.0,1349.9999999999998,193.0,Indus_Water_Downstream,312.9999999999999,152.0,578,68.0,1113.0,43.0,5,77.0,113.35389134587888,68.99999999999999,49.122398,
1_1_LT05_152043_19881212,1.0,147.136292,905.9999999999999,0.22336875954514718,1988-12-12T05:27:31,1.0,0.0,1308.0000000000002,210.0,Indus_Water_Downstream,343.0,152.0,571,68.0,1077.9999999999998,43.0,5,82.00000000000004,28.04886947503428,26.000000000000007,55.354256,
1_1_LT05_152043_19881228,0.0,145.408951,855.9999999999999,0.0,1988-12-28T05:27:26,1.0,0.0,1290.4227585011163,213.0,Indus_Water_Downstream,613.6260209333105,152.0,670,68.0,1286.5589162022818,43.0,5,85.03890009258906,99.9916539733944,77.00000000000003,56.504028,
1_1_LT05_152043_19890129,1.0,138.8237,976.0000000000003,0.0,1989-01-29T05:27:07,1.0,0.0,1482.0,206.0,Indus_Water_Downstream,1103.000000000001,152.0,667,68.0,1690.000000000001,43.0,5,86.99999999999997,94.71521755146357,76.0,53.86557,
1_1_LT05_152043_19890302,0.0,129.568314,790.0000000000001,0.0,1989-03-02T05:26:52,1.0,0.0,1179.000000000001,183.0,Indus_Water_Downstream,291.00000000000006,152.0,662,68.0,970.0000000000005,43.0,5,74.00000000000001,88.4114368667168,65.0,45.789574,
1_1_LT05_152043_19890403,0.0,117.064362,810.0000000000001,0.0,1989-04-03T05:26:11,1.0,0.0,1125.0,150.0,Indus_Water_Downstream,350.0,152.0,666,68.0,795.0,43.0,5,232.99999999999994,80.30170539075392,193.99999999999997,36.043854,
1_1_LT05_152043_19890419,1.0,109.128632,898.0,0.0,1989-04-19T05:26:04,1.0,0.0,1276.0000000000007,135.0,Indus_Water_Downstream,482.0000000000001,152.0,677,68.0,1059.0000000000005,43.0,5,251.00000000000003,99.72777083520037,188.99999999999994,32.089222,
1_1_LT05_152043_19890521,7.0,92.810936,1113.9999999999995,0.0,1989-05-21T05:25:32,1.0,0.0,1579.9999999999998,121.0,Indus_Water_Downstream,1020.0,152.0,661,68.0,1652.0,43.0,5,457.99999999999983,57.68837324062038,384.99999999999994,28.255848,
1_1_LT05_152043_19890910,15.0,118.358986,1164.9717420212767,0.36190271451668515,1989-09-10T05:23:12,1.0,0.0,1822.0,,Indus_Water_Downstream,1422.9999999999998,152.0,227,66.0,2103.0,43.0,5,258.99999999999994,40.04114788608102,237.0,35.622932,
1_1_LT05_152043_19891028,0.0,140.985413,1040.0752322682981,0.0,1989-10-28T05:21:51,1.0,0.0,1484.000000000001,185.0,Indus_Water_Downstream,574.9104044090268,152.0,673,68.0,1342.0000000000002,43.0,5,268.02689410807983,93.67759507377438,225.1102911814972,46.513721,
1_1_LT05_152043_19891113,1.0,144.45015,897.0,0.0,1989-11-13T05:21:24,1.0,0.0,1320.0,197.0,Indus_Water_Downstream,638.5704706781698,152.0,689,68.0,1348.0000000000005,43.0,5,106.99999999999999,100.05894944953641,69.18720887696621,50.620495,
1_1_LT05_152043_19891231,1.0,143.322281,872.0,0.2047688786775409,1989-12-31T05:20:05,1.0,0.0,1238.000000000001,215.0,Indus_Water_Downstream,379.99999999999994,152.0,580,68.0,1057.0,43.0,5,58.00000000000002,31.770591691575685,32.0,57.535118,
1_1_LT05_152043_19900116,0.0,140.208511,901.0000000000001,0.0,1990-01-16T05:19:35,1.0,0.0,1374.0000000000002,214.0,Indus_Water_Downstream,604.0152052366014,152.0,680,68.0,1356.9999999999995,43.0,5,96.00000000000004,104.48147332294641,85.00000000000001,56.86829,
1_1_LT05_152043_19900201,1.0,136.27565,900.0,0.0,1990-02-01T05:19:04,1.0,0.0,1321.0000000000005,208.0,Indus_Water_Downstream,783.0,152.0,673,68.0,1434.0,43.0,5,152.00000000000003,97.79569757067698,123.00000000000001,54.620472,
1_1_LT05_152043_19900217,0.0,131.711578,990.9999999999997,0.0,1990-02-17T05:18:34,1.0,0.0,1469.0000000000005,198.0,Indus_Water_Downstream,918.9999999999998,152.0,679,68.0,1550.307383307881,43.0,5,237.0000000000001,86.35934076134966,205.00000000000003,51.036392,
1_1_LT05_152043_19900422,5.0,105.884056,1140.0,0.7734513908483036,1990-04-22T05:17:22,1.0,0.0,1600.9999999999998,,Indus_Water_Downstream,806.9999999999998,152.0,153,68.0,1527.9999999999998,43.0,5,449.00000000000006,74.96333590565324,367.0,33.412292,
1_1_LT05_152043_19900508,0.0,97.77832,1065.0,0.0,1990-05-08T05:17:19,1.0,0.0,1534.8916096839766,131.0,Indus_Water_Downstream,846.0000000000009,152.0,676,68.0,1558.9999999999998,43.0,5,399.9999999999999,65.51914351341038,331.99999999999994,31.020481,
1_1_LT05_152043_19900524,5.0,90.759346,1007.9999999999998,0.13507194969567501,1990-05-24T05:17:18,1.0,0.0,1496.0,128.0,Indus_Water_Downstream,1202.0,152.0,584,66.00000000000003,1643.9999999999998,43.0,5,348.0,96.22539598233526,295.00000000000006,30.026585,
1_1_LT05_152043_19900609,22.0,86.254791,,0.7654793735248406,1990-06-09T05:17:18,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,30.125809,
1_1_LT05_152043_19900812,67.0,99.824646,,1.0,1990-08-12T05:17:06,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,33.704109,
1_1_LT05_152043_19900828,67.0,108.873085,,0.9266216113328052,1990-08-28T05:17:00,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,35.166592,
1_1_LT05_152043_19900913,32.0,118.454369,,0.22751152135649702,1990-09-13T05:16:58,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,37.305489,
1_1_LT05_152043_19901031,0.0,140.324127,953.0,0.0,1990-10-31T05:16:33,1.0,0.0,1410.5012465070413,190.0,Indus_Water_Downstream,436.0706924267978,152.0,687,68.0,1313.9999999999998,43.0,5,104.3521714498902,104.14731524324543,109.00000000000006,48.013046,
1_1_LT05_152043_19901202,3.0,144.769547,816.972152270116,0.0,1990-12-02T05:16:19,1.0,0.0,1202.6872637099073,209.0,Indus_Water_Downstream,257.4980250497958,152.0,708,68.0,1035.0,43.0,5,54.977948864176426,98.6403152013037,29.000000000000014,55.227993,
1_1_LT05_152043_19901218,1.0,144.242233,850.9999999999999,0.055942959768184496,1990-12-18T05:16:36,1.0,0.0,1276.9450193711427,215.0,Indus_Water_Downstream,582.2880687803714,152.0,656,68.0,1275.9999999999998,43.0,5,91.00000000000003,78.67667732236572,30.0,57.314404,
1_1_LT05_152043_19910119,0.0,139.169922,979.0000000000002,0.0,1991-01-19T05:17:29,1.0,0.0,1523.9999999999998,214.0,Indus_Water_Downstream,1166.9999999999998,152.0,687,66.00000000000001,1750.000000000001,43.0,5,96.0,97.59480528868335,83.99999999999999,56.866207,
1_1_LT05_152043_19910204,13.0,135.3078,988.0000000000001,0.0,1991-02-04T05:17:38,1.0,0.0,1449.0000000000007,207.0,Indus_Water_Downstream,933.9649862181919,152.0,693,68.0,1588.0000000000002,43.0,5,154.0,117.10724720733403,124.00000000000004,54.227688,
1_1_LT05_152043_19910220,1.0,130.834381,902.0000000000005,0.0,1991-02-20T05:18:02,1.0,0.0,1343.0000000000005,196.0,Indus_Water_Downstream,798.0000000000001,152.0,677,68.0,1441.0,43.0,5,109.00000000000001,94.13974424048844,112.00000000000003,50.323288,
