system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_133047_20000412,11.0,104.377777,,0.13524676975217118,2000-04-12T03:35:42,,,,,Irawaddy_Water_Upstream,,133.0,0,,,47.0,5,,,,31.343006,
1_1_LT05_133047_20041117,1.0,146.667068,765.0,0.0,2004-11-17T03:46:23,1.0,0.0,1194.0,177.0,Irawaddy_Water_Upstream,900.0,133.0,4,68.0,1273.0,47.0,5,378.0,121.41766757766351,302.0,44.612228,
1_1_LT05_133048_19871205,0.0,142.607437,,0.0,1987-12-05T03:30:05,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,49.19799,
1_1_LT05_133048_19880106,0.0,139.528198,,0.0,1988-01-06T03:30:35,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,51.620995,
1_1_LT05_133048_19880207,0.0,131.215393,,0.0,1988-02-07T03:31:10,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,48.051929,
1_1_LT05_133048_19880223,0.0,125.607811,,0.0,1988-02-23T03:31:24,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,44.423443,
1_1_LT05_133048_19880411,0.0,101.911758,,0.0,1988-04-11T03:31:47,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,32.496876,
1_1_LT05_133048_19880427,0.0,92.10321,,0.0,1988-04-27T03:31:52,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,30.22908,
1_1_LT05_133048_19880529,67.0,76.578705,,0.0,1988-05-29T03:32:09,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,29.57864,
1_1_LT05_133048_19880918,90.0,114.323219,,1.0,1988-09-18T03:32:25,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,33.51992,
1_1_LT05_133048_19881020,28.0,133.124802,,1.0,1988-10-20T03:32:14,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,39.119678,
1_1_LT05_133048_19881105,4.0,138.977509,,0.0,1988-11-05T03:32:18,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,42.85091,
1_1_LT05_133048_19881207,7.0,143.04213,,0.0,1988-12-07T03:32:10,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,49.383583,
1_1_LT05_133048_19890108,0.0,139.205872,,0.0,1989-01-08T03:31:58,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,51.410065,
1_1_LT05_133048_19890124,81.0,135.279877,,1.0,1989-01-24T03:31:38,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,50.126434,
1_1_LT05_133048_19890209,0.0,130.370285,,0.0,1989-02-09T03:31:40,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,47.457592,
1_1_LT05_133048_19890225,1.0,124.527184,,0.0,1989-02-25T03:31:32,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,43.751736,
1_1_LT05_133048_19890313,84.0,117.592712,,1.0,1989-03-13T03:31:05,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,39.557087,
1_1_LT05_133048_19890414,57.0,100.085159,,0.0,1989-04-14T03:30:47,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,32.305294,
1_1_LT05_133048_19890430,36.0,90.350922,,0.0,1989-04-30T03:30:28,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,30.365868,
1_1_LT05_133048_19890516,67.0,81.761368,,1.0,1989-05-16T03:30:11,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,29.796928,
1_1_LT05_133048_19890601,50.0,75.856285,,0.1506155624461039,1989-06-01T03:29:58,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,30.231628,
1_1_LT05_133048_19891108,18.0,138.104965,703.0,0.0,1989-11-08T03:26:14,1.0,0.0,1045.0,183.0,Irawaddy_Water_Upstream,1127.0,133.0,1,68.0,1033.0,48.0,5,836.0,0.0,697.0,44.462875,
1_1_LT05_133048_19891210,0.0,141.374329,,0.0,1989-12-10T03:25:17,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,50.789577,
1_1_LT05_133048_19891226,0.0,139.946381,,0.0,1989-12-26T03:24:50,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,52.395512,
1_1_LT05_133048_19900111,0.0,136.973129,,0.0,1990-01-11T03:24:15,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,52.531124,
1_1_LT05_133048_19900127,0.0,132.808563,,0.0,1990-01-27T03:23:47,,,,,Irawaddy_Water_Upstream,,133.0,0,,,48.0,5,,,,51.152695,
