system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_142049_19880105,45.0,138.749847,,1.0,1988-01-05T04:26:35,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,50.681431,
1_1_LT05_142049_19880121,75.0,135.089035,,1.0,1988-01-21T04:26:52,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,49.784557,
1_1_LT05_142049_19880206,2.0,130.337708,547.0,0.0,1988-02-06T04:27:11,1.0,0.0,732.0,180.0,Krishna_Land_Upstream,535.0,142.0,15,68.0,608.0,49.0,5,271.0,130.89021693346257,145.0,47.450592,
1_1_LT05_142049_19880309,39.0,117.703156,,1.0,1988-03-09T04:27:35,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,39.94701,
1_1_LT05_142049_19880426,20.0,90.148865,500.0,0.0,1988-04-26T04:27:53,1.0,0.0,704.0,118.0,Krishna_Land_Upstream,671.0,142.0,8,68.0,673.0,49.0,5,474.0,177.90020903585247,296.0,30.506348,
1_1_LT05_142049_19880528,16.0,74.450768,898.0,0.8062854198866563,1988-05-28T04:28:10,1.0,0.0,1105.0,,Krishna_Land_Upstream,1047.0,142.0,2,68.0,1031.0,49.0,5,829.0,0.0,550.0,30.115147,
1_1_LT05_142049_19880613,94.0,71.206474,,1.0,1988-06-13T04:28:16,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,30.931282,
1_1_LT05_142049_19880731,98.0,80.934959,,1.0,1988-07-31T04:28:27,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,32.079239,
1_1_LT05_142049_19881003,18.0,122.200378,655.0,0.0,1988-10-03T04:28:21,1.0,0.0,1029.0,137.0,Krishna_Land_Upstream,856.0,142.0,45,68.0,1026.0,49.0,5,232.0,126.90246278827057,89.0,35.082676,
1_1_LT05_142049_19881104,10.0,137.383636,631.0,0.6287605576631851,1988-11-04T04:28:20,1.0,0.0,824.0,,Krishna_Land_Upstream,703.0,142.0,1,68.0,630.0,49.0,5,393.0,0.0,215.0,41.684631,
1_1_LT05_142049_19881120,1.0,140.953812,476.0,0.0,1988-11-20T04:28:18,1.0,0.0,656.0,173.0,Krishna_Land_Upstream,634.0,142.0,13,68.0,547.0,49.0,5,246.0,116.83726608219715,147.0,45.259495,
1_1_LT05_142049_19881206,17.0,142.055374,,1.0,1988-12-06T04:28:12,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,48.213539,
1_1_LT05_142049_19881222,1.0,141.076889,587.0,0.030584047585593174,1988-12-22T04:28:01,1.0,0.0,745.0,188.0,Krishna_Land_Upstream,616.0,142.0,19,68.0,610.0,49.0,5,287.0,145.26258581123048,153.0,50.06258,
1_1_LT05_142049_19900315,13.0,113.249413,,0.9746303842130736,1990-03-15T04:18:16,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,40.666073,
1_1_LT05_142049_19900518,20.0,78.562599,863.0,7.493794201676734E-4,1990-05-18T04:17:58,1.0,0.0,1238.0,128.0,Krishna_Land_Upstream,1262.0,142.0,7,66.0,1330.0,49.0,5,824.0,102.51928638862346,491.0,32.214211,
1_1_LT05_142049_19900603,42.0,73.403,,1.0,1990-06-03T04:17:53,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,32.756767,
1_1_LT05_142049_19910129,1.0,130.923828,568.0,0.0,1991-01-29T04:18:16,1.0,0.0,770.0,189.0,Krishna_Land_Upstream,587.0,142.0,12,68.0,712.0,49.0,5,231.0,120.45849907748311,157.0,50.357742,
1_1_LT05_142049_19910318,4.0,112.090218,518.0,0.0,1991-03-18T04:19:09,1.0,0.0,712.0,154.0,Krishna_Land_Upstream,485.0,142.0,22,68.0,575.0,49.0,5,299.0,119.73710872829514,169.0,39.726711,
1_1_LT05_142049_19910403,30.0,103.546501,,1.0,1991-04-03T04:19:22,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,36.047161,
1_1_LT05_142049_19910505,24.0,84.966904,810.0,0.0,1991-05-05T04:20:00,1.0,0.0,995.0,125.0,Krishna_Land_Upstream,1005.0,142.0,7,68.0,902.0,49.0,5,681.0,57.10320052505018,447.0,31.911861,
1_1_LT05_142049_19910521,23.0,77.422226,,1.0,1991-05-21T04:20:15,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,31.726151,
1_1_LT05_142049_19910825,23.0,94.113419,743.0,0.0,1991-08-25T04:21:20,1.0,0.0,1093.0,130.0,Krishna_Land_Upstream,1059.0,142.0,33,68.0,1088.0,49.0,5,389.0,75.85579088046607,242.0,33.6702,
1_1_LT05_142049_19910926,19.0,115.626129,,0.6550044494403073,1991-09-26T04:21:38,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,35.455547,
1_1_LT05_142049_19911028,96.0,132.948517,,1.0,1991-10-28T04:21:51,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,41.07151,
1_1_LT05_142049_19911113,47.0,137.911697,,1.0,1991-11-13T04:21:55,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,44.60976,
1_1_LT05_142049_19911129,1.0,140.293091,,0.0,1991-11-29T04:22:05,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,47.864933,
1_1_LT05_142049_19911215,65.0,140.383682,,1.0,1991-12-15T04:22:08,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,50.284889,
1_1_LT05_142049_19920116,27.0,135.287918,,1.0,1992-01-16T04:21:57,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,51.096916,
1_1_LT05_142049_19920201,0.0,130.819931,615.0,0.0,1992-02-01T04:22:02,1.0,0.0,716.0,187.0,Krishna_Land_Upstream,932.0,142.0,6,66.0,711.0,49.0,5,439.0,42.12052811740228,196.0,49.293755,
1_1_LT05_142049_19920217,3.0,125.318611,703.0,0.0,1992-02-17T04:21:51,1.0,0.0,922.0,177.0,Krishna_Land_Upstream,1061.0,142.0,7,66.0,849.0,49.0,5,446.0,70.71269839488318,228.0,46.259556,
1_1_LT05_142049_19920304,1.0,118.807251,670.0,0.0,1992-03-04T04:21:51,1.0,0.0,858.0,163.0,Krishna_Land_Upstream,776.0,142.0,11,68.0,729.0,49.0,5,441.0,93.10892936379801,250.0,42.470074,
1_1_LT05_142049_19920320,6.0,111.138199,737.0,0.0,1992-03-20T04:21:53,1.0,0.0,922.0,148.0,Krishna_Land_Upstream,1005.0,142.0,15,66.0,817.0,49.0,5,499.0,130.27826628669365,276.0,38.502655,
1_1_LT05_142049_19920608,5.0,72.243721,609.5,0.0,1992-06-08T04:21:10,1.0,,738.0,,Krishna_Land_Upstream,1000.0,142.0,0,66.0,716.0,49.0,5,482.0,,275.0,32.322544,
1_1_LT05_142049_19920912,62.0,106.366737,,1.0,1992-09-12T04:19:51,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,34.662342,
1_1_LT05_142049_19921014,40.0,126.234619,,1.0,1992-10-14T04:19:13,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,38.842575,
1_1_LT05_142049_19921201,24.0,139.730988,520.0,0.0,1992-12-01T04:18:51,1.0,,650.0,,Krishna_Land_Upstream,870.0,142.0,0,66.0,553.0,49.0,5,370.0,,192.0,48.83527,
1_1_LT05_142049_19921217,1.0,139.551483,,0.0,1992-12-17T04:19:01,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,51.021687,
1_1_LT05_142049_19930102,7.0,137.533951,,0.0,1993-01-02T04:19:11,,,,,Krishna_Land_Upstream,,142.0,0,,,49.0,5,,,,51.913986,
