system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_142049_19880105,45.0,138.749847,,1.0,1988-01-05T04:26:35,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,50.681431,
1_1_LT05_142049_19880121,75.0,135.089035,,1.0,1988-01-21T04:26:52,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,49.784557,
1_1_LT05_142049_19880206,2.0,130.337708,568.9999999999999,0.0,1988-02-06T04:27:11,1.0,0.0,732.7772975309308,,Krishna_Water_Upstream,270.53580788569434,142.0,316,68.0,458.9801585704511,49.0,5,94.00000000000004,35.20526197997046,61.0,47.450592,
1_1_LT05_142049_19880309,39.0,117.703156,,1.0,1988-03-09T04:27:35,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,39.94701,
1_1_LT05_142049_19880426,20.0,90.148865,438.99999999999994,0.0,1988-04-26T04:27:53,1.0,0.0,607.0,,Krishna_Water_Upstream,176.0,142.0,316,68.0,322.99999999999994,49.0,5,64.0,26.80411354856749,56.0,30.506348,
1_1_LT05_142049_19880528,16.0,74.450768,929.0,0.7598398183610078,1988-05-28T04:28:10,1.0,0.0,1138.0,,Krishna_Water_Upstream,975.0,142.0,78,68.0,1000.0,49.0,5,779.0,47.02717366011777,550.0,30.115147,
1_1_LT05_142049_19880613,94.0,71.206474,,1.0,1988-06-13T04:28:16,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,30.931282,
1_1_LT05_142049_19880731,98.0,80.934959,,1.0,1988-07-31T04:28:27,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,32.079239,
1_1_LT05_142049_19881003,18.0,122.200378,690.0,0.0,1988-10-03T04:28:21,1.0,0.0,1028.9999999999998,,Krishna_Water_Upstream,653.9999999999997,142.0,316,68.0,1090.9999999999998,49.0,5,98.99999999999999,24.597585437222314,50.00000000000002,35.082676,
1_1_LT05_142049_19881104,10.0,137.383636,573.0,0.9609401314886665,1988-11-04T04:28:20,1.0,0.0,743.0,,Krishna_Water_Upstream,358.0,142.0,13,68.0,452.0,49.0,5,165.0,62.02910177856536,94.0,41.684631,
1_1_LT05_142049_19881120,1.0,140.953812,474.99999999999983,0.0,1988-11-20T04:28:18,1.0,0.0,617.0000000000005,,Krishna_Water_Upstream,255.0,142.0,316,68.0,407.0,49.0,5,74.0,23.641748083496672,25.0,45.259495,
1_1_LT05_142049_19881206,17.0,142.055374,,1.0,1988-12-06T04:28:12,,,,,Krishna_Water_Upstream,,142.0,0,,,49.0,5,,,,48.213539,
1_1_LT05_142049_19881222,1.0,141.076889,608.9999999999999,0.0024326650781571636,1988-12-22T04:28:01,1.0,0.0,745.0000000000003,,Krishna_Water_Upstream,381.0000000000001,142.0,315,68.0,530.9999999999999,49.0,5,100.00000000000001,36.96831135369404,65.00000000000001,50.06258,
1_1_LT05_142049_19900315,13.0,113.249413,605.0,0.9720680148205443,1990-03-15T04:18:16,1.0,0.0,817.0,,Krishna_Water_Upstream,359.0,142.0,9,68.0,599.0,49.0,5,165.0,19.972821038774498,94.0,40.666073,
1_1_LT05_142049_19900518,20.0,78.562599,928.0,0.0,1990-05-18T04:17:58,1.0,0.0,1447.9999999999998,,Krishna_Water_Upstream,957.0000000000003,142.0,316,68.0,1546.9999999999995,49.0,5,490.00000000000006,25.683763240608943,345.99999999999983,32.214211,
