system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129009_20070709,96.0,176.047546,,1.0,2007-07-09T03:15:11,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,49.838844,
1_1_LT05_129009_20070725,19.0,175.664627,439.00000000000006,0.0,2007-07-25T03:15:02,1.0,0.0,502.9999999999999,202.0,Lena_Land_Downstream,331.0,129.0,159,68.0,508.0,9.0,5,92.99999999999999,140.0491064769465,82.0,52.506348,
1_1_LT05_129009_20070927,11.0,179.999619,510.9795312249157,0.0022699314627145457,2007-09-27T03:14:25,1.0,0.0,616.9999999999999,245.0,Lena_Land_Downstream,444.0,129.0,251,68.0,523.9999999999999,9.0,5,214.0,265.78738552201855,188.99999999999997,73.671097,
1_1_LT05_129009_20090612,83.0,176.123199,,1.0,2009-06-12T03:09:42,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,49.075516,
1_1_LT05_129009_20090730,40.0,174.526382,,1.0,2009-07-30T03:10:30,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,53.772751,
1_1_LT05_129009_20100802,68.0,174.864075,,1.0,2010-08-02T03:11:50,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,54.471798,
1_1_LT05_129009_20100919,4.0,178.521378,561.9999999999999,0.009112676468865329,2010-09-19T03:11:37,1.0,0.0,613.0,241.0,Lena_Land_Downstream,455.00000000000006,129.0,134,68.0,517.0,9.0,5,177.0,186.41906958042173,62.0,70.678429,
1_1_LT05_129009_20110704,0.0,174.894257,344.0,0.0,2011-07-04T03:10:39,1.0,0.0,463.0,194.0,Lena_Land_Downstream,303.0,129.0,139,68.0,472.99999999999994,9.0,5,87.0,151.86908961986902,74.99999999999999,49.366817,
1_1_LT05_131008_20070723,63.0,178.500732,218.85521582733813,0.0015633237654501786,2007-07-23T03:27:01,1.0,0.0,419.0,205.0,Lena_Land_Downstream,213.0,131.0,147,68.0,394.0,8.0,5,73.0,127.67321167571464,71.0,53.324867,
1_1_LT05_131008_20090626,2.0,178.178818,294.00000000000006,0.0,2009-06-26T03:21:55,1.0,0.0,384.0,196.0,Lena_Land_Downstream,288.0,131.0,267,68.0,409.0,8.0,5,113.99999999999999,146.44400000477478,72.00000000000001,50.10984,
1_1_LT05_131008_20100917,33.0,-179.169754,,0.9945838947142327,2010-09-17T03:23:36,,,,,Lena_Land_Downstream,,131.0,0,,,8.0,5,,,,71.169724,
1_1_LT05_132008_20090820,81.0,178.376968,,1.0,2009-08-20T03:28:58,,,,,Lena_Land_Downstream,,132.0,0,,,8.0,5,,,,61.050308,
1_2_LE07_129009_19990929,72.0,-179.814926,,0.990399166227325,1999-09-29T03:14:27,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,7,,,,74.416656,
