system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129009_20070709,96.0,176.047546,,1.0,2007-07-09T03:15:11,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,49.838844,
1_1_LT05_129009_20070725,19.0,175.664627,391.0,0.013767094333021672,2007-07-25T03:15:02,1.0,0.0,452.0,202.0,Lena_Land_Midstream,600.0,129.0,19,66.0,333.0,9.0,5,273.0,83.8445996919714,134.0,52.506348,
1_1_LT05_129009_20070927,11.0,179.999619,372.0,0.4208626351772067,2007-09-27T03:14:25,1.0,0.0,480.0,245.0,Lena_Land_Midstream,555.0,129.0,7,68.0,520.0,9.0,5,290.0,55.80944254829126,189.0,73.671097,
1_1_LT05_129009_20090612,83.0,176.123199,,1.0,2009-06-12T03:09:42,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,49.075516,
1_1_LT05_129009_20090730,40.0,174.526382,,0.9871137831292182,2009-07-30T03:10:30,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,53.772751,
1_1_LT05_129009_20100802,68.0,174.864075,,1.0,2010-08-02T03:11:50,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,54.471798,
1_1_LT05_129009_20100919,4.0,178.521378,396.0,0.00288003198647239,2010-09-19T03:11:37,1.0,0.0,387.0,241.0,Lena_Land_Midstream,454.0,129.0,3,68.0,430.0,9.0,5,305.0,59.86837414046108,341.0,70.678429,
1_1_LT05_129009_20110704,0.0,174.894257,318.0,0.0,2011-07-04T03:10:39,1.0,0.0,387.5,194.0,Lena_Land_Midstream,396.0,129.0,12,68.0,351.0,9.0,5,214.0,64.26394141870436,167.0,49.366817,
1_1_LT05_130009_20090721,83.0,174.432693,,1.0,2009-07-21T03:16:33,,,,,Lena_Land_Midstream,,130.0,0,,,9.0,5,,,,51.8125,
1_1_LT05_130009_20090806,91.0,174.783997,,1.0,2009-08-06T03:16:47,,,,,Lena_Land_Midstream,,130.0,0,,,9.0,5,,,,55.581978,
1_1_LT05_130009_20090923,17.0,178.965698,454.74494630448515,0.36674073256518597,2009-09-23T03:17:29,1.0,0.0,523.0,243.00000000000003,Lena_Land_Midstream,492.99999999999994,130.0,780,68.0,368.00000000000006,9.0,5,261.0,76.05938304062632,169.0,72.29921,
1_1_LT05_130009_20110711,81.0,174.567001,,0.9892722452796004,2011-07-11T03:16:47,,,,,Lena_Land_Midstream,,130.0,0,,,9.0,5,,,,50.127274,
1_1_LT05_131008_20070723,63.0,178.500732,,0.966071640535357,2007-07-23T03:27:01,,,,,Lena_Land_Midstream,,131.0,0,,,8.0,5,,,,53.324867,
1_1_LT05_131008_20090626,2.0,178.178818,318.0,0.0,2009-06-26T03:21:55,1.0,0.0,485.0,196.0,Lena_Land_Midstream,431.0,131.0,24,68.0,510.5,8.0,5,243.0,93.55479677707605,141.5,50.10984,
1_1_LT05_131008_20100917,33.0,-179.169754,394.0,0.0,2010-09-17T03:23:36,1.0,0.0,381.0,241.0,Lena_Land_Midstream,493.0,131.0,1,68.0,430.0,8.0,5,286.0,0.0,54.0,71.169724,
1_1_LT05_132008_20090820,81.0,178.376968,,1.0,2009-08-20T03:28:58,,,,,Lena_Land_Midstream,,132.0,0,,,8.0,5,,,,61.050308,
1_2_LE07_129009_19990929,72.0,-179.814926,,1.0,1999-09-29T03:14:27,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,7,,,,74.416656,
1_2_LE07_129009_20000510,3.0,178.181808,,1.0,2000-05-10T03:13:33,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,7,,,,54.538284,
1_2_LE07_129009_20000729,33.0,174.95108,,0.0,2000-07-29T03:12:38,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,7,,,,53.573738,
