system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_167077_19840601,11.0,41.600216,,1.0,1984-06-01T07:11:25,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,59.55862,
1_1_LT05_167077_19841007,67.0,66.557899,,1.0,1984-10-07T07:13:29,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,38.701981,
1_1_LT05_167077_19841124,26.0,90.08371,,1.0,1984-11-24T07:13:16,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,32.316341,
1_1_LT05_167077_19860506,14.0,46.459343,,1.0,1986-05-06T07:08:17,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,55.699718,
1_1_LT05_167077_19860522,0.0,43.430996,,0.0,1986-05-22T07:07:51,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,58.611816,
1_1_LT05_167077_19861114,0.0,86.923904,,0.0,1986-11-14T07:01:52,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,35.085339,
1_1_LT05_167077_19861216,6.0,96.543205,,0.0,1986-12-16T07:02:11,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,36.400196,
1_1_LT05_167077_19870117,59.0,93.637444,,1.0,1987-01-17T07:03:08,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,39.915165,
1_1_LT05_167077_19870202,29.0,88.219917,,0.9841864801864803,1987-02-02T07:03:40,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,41.699444,
1_1_LT05_167077_19870218,30.0,81.071838,,0.9318041958041959,1987-02-18T07:04:18,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,43.471855,
1_1_LT05_167077_19890106,28.0,95.071091,,0.0,1989-01-06T07:13:41,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,36.240875,
1_1_LT05_167077_19890311,24.0,68.634018,536.0,0.19373426573426575,1989-03-11T07:12:50,1.0,,804.0,,Limpopo_Land_Midstream,1094.0,167.0,0,66.0,643.0,77.0,5,471.0,,268.0,44.474697,
1_1_LT05_167077_19890428,9.0,47.741585,,0.0,1989-04-28T07:12:11,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,53.513985,
1_1_LT05_167077_19890615,18.0,41.205959,386.0,0.0,1989-06-15T07:11:15,1.0,,630.0,,Limpopo_Land_Midstream,689.0,167.0,0,66.0,498.0,77.0,5,475.0,,233.0,60.882858,
1_1_LT05_167077_19890701,5.0,42.092949,,0.0,1989-07-01T07:11:03,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,61.280479,
1_1_LT05_167077_19890802,0.0,46.938801,,0.0,1989-08-02T07:10:23,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,57.856079,
1_1_LT05_167077_19890818,42.0,50.511414,,1.0,1989-08-18T07:09:59,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,54.213829,
1_1_LT05_167077_19900226,23.0,76.96479,,0.13885314685314687,1990-02-26T07:04:32,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,44.456078,
1_1_LT05_167077_19900314,71.0,68.885262,,0.34513752913752915,1990-03-14T07:03:58,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,46.798454,
1_1_LT05_167077_19900415,25.0,54.190376,,0.7378648018648021,1990-04-15T07:03:36,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,52.415344,
1_1_LT05_167077_19900602,1.0,43.130337,294.0,0.0,1990-06-02T07:03:33,1.0,,551.0,,Limpopo_Land_Midstream,618.0,167.0,0,68.0,491.0,77.0,5,383.0,,168.0,60.831863,
1_1_LT05_167077_19900618,55.0,42.791973,,1.0,1990-06-18T07:03:32,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,62.230587,
1_1_LT05_167077_19900906,3.0,57.01873,,0.0,1990-09-06T07:03:11,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,50.098129,
1_1_LT05_167077_19900922,4.0,62.398705,,0.0,1990-09-22T07:03:09,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,45.229301,
1_1_LT05_167077_19901024,23.0,76.529274,,1.0,1990-10-24T07:02:54,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,37.210285,
1_1_LT05_167077_19910301,22.0,75.582619,713.0,0.04068997668997668,1991-03-01T07:04:26,1.0,0.0,1115.0,180.0,Limpopo_Land_Midstream,1660.0,167.0,1,66.0,1306.0,77.0,5,507.0,0.0,189.0,44.837032,
1_1_LT05_167077_19910402,25.0,59.517525,,0.11742657342657342,1991-04-02T07:05:01,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,49.671574,
1_1_LT05_167077_19910418,23.0,52.789104,580.0,0.0,1991-04-18T07:05:19,1.0,,941.0,,Limpopo_Land_Midstream,1365.0,167.0,0,66.0,1063.0,77.0,5,603.0,,276.0,52.641479,
1_1_LT05_167077_19910520,0.0,44.182182,481.0,0.0,1991-05-20T07:05:53,1.0,,720.0,,Limpopo_Land_Midstream,629.0,167.0,0,68.0,747.0,77.0,5,437.0,,331.0,58.574669,
1_1_LT05_167077_19910605,9.0,42.488148,473.0,0.0,1991-06-05T07:06:09,1.0,,679.0,,Limpopo_Land_Midstream,735.0,167.0,0,68.0,761.0,77.0,5,378.0,,352.0,60.769272,
1_1_LT05_167077_19910723,0.0,45.78624,,0.0,1991-07-23T07:06:49,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,60.239273,
1_1_LT05_167077_19910808,33.0,48.812294,,1.0,1991-08-08T07:06:54,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,57.319218,
1_1_LT05_167077_19910824,10.0,52.550747,,0.0,1991-08-24T07:06:59,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,53.279377,
1_1_LT05_167077_19911027,1.0,77.12471,613.0,0.0,1991-10-27T07:07:32,1.0,,816.0,,Limpopo_Land_Midstream,881.0,167.0,0,68.0,796.0,77.0,5,667.0,,556.0,35.725349,
1_1_LT05_167077_19930525,67.0,43.402237,,1.0,1993-05-25T07:05:54,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,59.424591,
1_1_LT05_167077_19930610,0.0,42.310238,,0.0,1993-06-10T07:05:55,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,61.337498,
1_1_LT05_167077_19930626,50.0,42.708191,,1.0,1993-06-26T07:05:50,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,62.110085,
1_1_LT05_167077_19930813,36.0,50.193829,,1.0,1993-08-13T07:05:46,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,56.202484,
1_1_LT05_167077_19931203,33.0,93.807228,,1.0,1993-12-03T07:05:15,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,34.553734,
1_1_LT05_167077_19940205,71.0,86.767456,,1.0,1994-02-05T07:04:33,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,41.872372,
1_1_LT05_167077_19940613,1.0,42.965633,324.0,0.0,1994-06-13T07:02:21,1.0,0.0,637.0,225.0,Limpopo_Land_Midstream,244.99999999999997,167.0,108,68.0,520.0,77.0,5,126.0,91.97966158188882,110.0,62.106564,
1_1_LT05_167077_19940715,2.0,45.525284,,0.09448951048951047,1994-07-15T07:01:31,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,61.970638,
1_1_LT05_167077_19940731,10.0,48.306156,,0.0,1994-07-31T07:01:04,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,59.818428,
1_1_LT05_167077_19940816,0.0,51.852478,,0.0,1994-08-16T07:00:41,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,56.418358,
1_1_LT05_167077_19940901,31.0,56.12048,,1.0,1994-09-01T07:00:18,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,52.106148,
1_1_LT05_167077_19941003,0.0,67.438934,,0.0,1994-10-03T06:59:25,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,42.774143,
1_1_LT05_167077_19941104,0.0,82.642502,,0.0,1994-11-04T06:58:19,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,36.579292,
1_1_LT05_167077_19941222,0.0,97.251953,,0.0,1994-12-22T06:56:48,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,38.13718,
1_1_LT05_167077_19950123,39.0,92.526505,,1.0,1995-01-23T06:55:39,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,42.287159,
1_1_LT05_167077_19950224,43.0,79.501892,,1.0,1995-02-24T06:54:22,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,46.367252,
1_1_LT05_167077_19950312,19.0,71.69326,,1.0,1995-03-12T06:53:44,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,48.599747,
1_1_LT05_167077_19950531,0.0,45.769329,419.0,0.0,1995-05-31T06:50:15,1.0,,736.0,,Limpopo_Land_Midstream,1071.0,167.0,0,66.0,941.0,77.0,5,314.0,,112.0,62.632736,
1_1_LT05_167077_19950616,25.0,45.286697,707.0,0.0,1995-06-16T06:49:31,1.0,,1037.0,,Limpopo_Land_Midstream,1436.0,167.0,0,66.0,1011.0,77.0,5,682.0,,406.0,64.279251,
1_1_LT05_167077_19950702,55.0,46.236183,,0.0,1995-07-02T06:48:48,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,64.761993,
1_1_LT05_167077_19950718,3.0,48.349113,,0.0,1995-07-18T06:48:04,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,63.895409,
1_1_LT05_167077_19950819,0.0,55.182953,,0.0,1995-08-19T06:46:38,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,58.288696,
1_1_LT05_167077_19950904,23.0,59.724327,,1.0,1995-09-04T06:45:52,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,54.078415,
1_1_LT05_167077_19951006,81.0,71.414711,,1.0,1995-10-06T06:44:14,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,45.271774,
1_1_LT05_167077_19951022,8.0,78.591927,,1.0,1995-10-22T06:43:21,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,41.896347,
1_1_LT05_167077_19960415,4.0,56.228462,528.0,0.0,1996-04-15T06:52:41,1.0,,836.0,,Limpopo_Land_Midstream,1082.0,167.0,0,66.0,879.0,77.0,5,492.0,,238.0,54.60503,
1_1_LT05_167077_19960517,21.0,46.822021,,1.0,1996-05-17T06:54:35,,,,,Limpopo_Land_Midstream,,167.0,0,,,77.0,5,,,,60.062275,
