system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_062012_19850316,0.0,163.682953,,1.0,1985-03-16T19:58:59,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,70.600525,
1_1_LT05_062012_19850604,1.0,163.448898,1150.0,0.0226317594089774,1985-06-04T19:58:40,1.0,0.0,1388.0,185.0,Mackenzie_Land_Midstream,906.0,62.0,14,68.0,1276.0,12.0,5,231.0,221.36773357783596,156.0,46.476665,
1_1_LT05_062012_19850722,61.0,161.19165,,0.06439905643231739,1985-07-22T19:58:26,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,49.034027,
1_1_LT05_062012_19850807,0.0,161.991684,490.0,0.0,1985-08-07T19:58:18,1.0,0.0,670.0,203.0,Mackenzie_Land_Midstream,374.0,62.0,23,68.0,555.0,12.0,5,160.0,104.30903264394371,80.0,52.883808,
1_1_LT05_062012_19860607,11.0,161.090134,,0.32021719294235346,1986-06-07T19:52:33,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,46.426239,
1_1_LT05_062012_19860623,70.0,159.748825,,1.0,1986-06-23T19:52:02,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,45.907112,
1_1_LT05_062012_19860810,12.0,159.738388,552.0,8.244038529638257E-5,1986-08-10T19:50:22,1.0,0.0,793.0,206.0,Mackenzie_Land_Midstream,331.0,62.0,25,68.0,658.0,12.0,5,129.0,127.07415158087817,82.0,53.93681,
1_1_LT05_062012_19860826,62.0,161.394943,,1.0,1986-08-26T19:49:46,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,58.96804,
1_1_LT05_062012_19860911,2.0,163.431641,702.0,0.0,1986-09-11T19:49:13,1.0,0.0,936.0,230.0,Mackenzie_Land_Midstream,489.0,62.0,28,68.0,981.0,12.0,5,137.0,217.06161544123637,119.0,64.668388,
1_1_LT05_062012_19880714,16.0,161.437103,,1.0,1988-07-14T19:59:16,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,47.607624,
1_1_LT05_062012_19880730,12.0,161.821243,,1.0,1988-07-30T19:59:18,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,50.835148,
1_1_LT05_062012_19880815,93.0,163.095596,,1.0,1988-08-15T19:59:17,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,55.267849,
1_1_LT05_062012_19890615,61.0,161.801529,599.0,0.07647469923311707,1989-06-15T19:56:24,1.0,0.0,826.0,183.0,Mackenzie_Land_Midstream,395.0,62.0,28,68.0,905.0,12.0,5,166.0,177.79100893223722,154.0,45.785648,
1_1_LT05_062012_19890802,64.0,160.720657,,1.0,1989-08-02T19:55:34,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,51.670242,
1_1_LT05_062012_19890818,0.0,162.052902,390.0,0.0,1989-08-18T19:55:10,1.0,0.0,489.0,212.0,Mackenzie_Land_Midstream,281.0,62.0,23,68.0,339.0,12.0,5,134.0,90.61956456550423,30.0,56.274872,
1_1_LT05_062012_19900704,0.0,158.312851,541.0,0.0,1990-07-04T19:48:42,1.0,0.0,801.0,185.0,Mackenzie_Land_Midstream,449.0,62.0,23,68.0,807.0,12.0,5,137.0,97.88631962127349,69.0,46.622032,
1_1_LT05_062012_19900720,78.0,158.139389,,1.0,1990-07-20T19:48:37,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,48.915333,
1_1_LT05_062012_19900922,34.0,164.813354,,1.0,1990-09-22T19:48:20,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,68.802963,
1_1_LT05_062012_19910504,1.0,162.56221,,0.9939626393920022,1991-05-04T19:50:51,,,,,Mackenzie_Land_Midstream,,62.0,0,,,12.0,5,,,,53.088589,
