system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_062012_19850316,0.0,163.682953,,1.0,1985-03-16T19:58:59,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,70.600525,
1_1_LT05_062012_19850604,1.0,163.448898,588.4880414636585,0.026151256775285,1985-06-04T19:58:40,1.0,0.0,803.0000000000003,184.99999999999997,Mackenzie_Land_Upstream,628.0,62.0,1881,68.0,913.7472443490788,12.0,5,319.00000000000006,240.91296035849027,240.99999999999991,46.476665,
1_1_LT05_062012_19850722,61.0,161.19165,561.1905402376149,0.34955357220239436,1985-07-22T19:58:26,1.0,0.0,922.0,193.00000000000003,Mackenzie_Land_Upstream,455.0,62.0,307,68.0,831.0,12.0,5,120.99999999999999,81.90490989154634,57.99999999999999,49.034027,
1_1_LT05_062012_19850807,0.0,161.991684,641.0,0.0,1985-08-07T19:58:18,1.0,0.0,854.0,203.0,Mackenzie_Land_Upstream,670.0,62.0,123,68.0,847.0,12.0,5,194.0,178.6198363515773,129.0,52.883808,
1_1_LT05_062012_19860607,11.0,161.090134,603.9999999999999,0.6294025268974697,1986-06-07T19:52:33,1.0,0.0,709.0000000000002,184.99999999999997,Mackenzie_Land_Upstream,578.0000000000001,62.0,1676,68.0,721.0000000000001,12.0,5,109.0,182.7829391936222,69.0,46.426239,
1_1_LT05_062012_19860623,70.0,159.748825,,1.0,1986-06-23T19:52:02,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,45.907112,
1_1_LT05_062012_19860810,12.0,159.738388,709.0,0.8053172662082497,1986-08-10T19:50:22,1.0,0.0,969.0,206.0,Mackenzie_Land_Upstream,585.0,62.0,77,68.0,861.0,12.0,5,269.0,79.10799934774508,183.0,53.93681,
1_1_LT05_062012_19860826,62.0,161.394943,820.0,0.600187549942539,1986-08-26T19:49:46,1.0,0.0,1096.0,218.5,Mackenzie_Land_Upstream,932.5,62.0,6,68.0,1041.5,12.0,5,301.0,131.624043733996,147.0,58.96804,
1_1_LT05_062012_19860911,2.0,163.431641,640.0,8.840154408030325E-4,1986-09-11T19:49:13,1.0,0.0,887.0,230.0,Mackenzie_Land_Upstream,819.0,62.0,33,68.0,879.0,12.0,5,466.0,214.0773055361969,321.0,64.668388,
1_1_LT05_062012_19880714,16.0,161.437103,332.0,0.7950514202314733,1988-07-14T19:59:16,1.0,0.0,418.0,188.0,Mackenzie_Land_Upstream,445.0,62.0,31,66.0,353.0,12.0,5,197.0,60.68113209131366,111.0,47.607624,
1_1_LT05_062012_19880730,12.0,161.821243,580.6631439894319,0.0,1988-07-30T19:59:18,1.0,0.0,893.5975721847167,198.0,Mackenzie_Land_Upstream,557.8606947375952,62.0,482,68.0,940.3884063628379,12.0,5,66.00888969521046,86.80169261408898,16.828732747804267,50.835148,
1_1_LT05_062012_19880815,93.0,163.095596,,1.0,1988-08-15T19:59:17,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,55.267849,
1_1_LT05_062012_19890615,61.0,161.801529,,1.0,1989-06-15T19:56:24,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,45.785648,
1_1_LT05_062012_19890802,64.0,160.720657,,1.0,1989-08-02T19:55:34,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,51.670242,
1_1_LT05_062012_19890818,0.0,162.052902,517.0,0.0,1989-08-18T19:55:10,1.0,0.0,721.0,212.0,Mackenzie_Land_Upstream,577.0,62.0,9,68.0,690.0,12.0,5,326.0,188.6549531764928,250.0,56.274872,
1_1_LT05_062012_19900704,0.0,158.312851,589.031914893617,0.0,1990-07-04T19:48:42,1.0,0.0,882.3397940642035,185.00000000000003,Mackenzie_Land_Upstream,453.21888230313294,62.0,457,68.0,914.0,12.0,5,79.0,81.49086240080646,26.999999999999996,46.622032,
1_1_LT05_062012_19900720,78.0,158.139389,,0.9416055800441313,1990-07-20T19:48:37,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,48.915333,
1_1_LT05_062012_19900922,34.0,164.813354,,1.0,1990-09-22T19:48:20,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,68.802963,
1_1_LT05_062012_19910418,16.0,162.440353,,1.0,1991-04-18T19:50:30,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,58.262714,
1_1_LT05_062012_19910504,1.0,162.56221,1561.0,0.9721093128426638,1991-05-04T19:50:51,1.0,0.0,1698.0,204.0,Mackenzie_Land_Upstream,1007.0,62.0,41,68.0,1664.0,12.0,5,88.0,111.41045868046159,29.0,53.088589,
1_1_LT05_062012_19910520,80.0,162.099869,741.0,0.6638210614078724,1991-05-20T19:51:05,1.0,0.0,869.9999999999995,192.99999999999997,Mackenzie_Land_Upstream,852.0000000000001,62.0,838,68.0,943.9999999999999,12.0,5,570.8769997588231,205.32239699911648,423.0,49.098091,
1_1_LT05_062012_19910621,2.0,160.003586,361.0,0.0,1991-06-21T19:51:32,1.0,0.0,536.0,183.00000000000003,Mackenzie_Land_Upstream,236.99999999999997,62.0,508,68.0,459.0,12.0,5,51.0,72.16733126472396,28.0,45.836952,
1_1_LT05_062012_19910723,83.0,159.28006,,1.0,1991-07-23T19:52:00,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,49.331409,
1_1_LT05_062012_19910925,87.0,166.354172,,1.0,1991-09-25T19:52:30,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,69.733238,
1_1_LT05_062012_19920506,0.0,162.798904,,1.0,1992-05-06T19:52:19,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,52.29969,
1_1_LT05_062012_19920709,0.0,158.993622,454.81578226071707,0.0,1992-07-09T19:51:37,1.0,0.0,627.0,187.0,Mackenzie_Land_Upstream,496.0,62.0,492,68.0,568.0,12.0,5,138.0,73.28628567601804,68.04450455953577,47.155098,
1_1_LT05_062012_19920826,47.0,161.858902,,1.0,1992-08-26T19:50:57,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,59.098839,
1_1_LT05_062012_19930525,5.0,161.741547,862.6517724130028,0.4246099498537905,1993-05-25T19:51:04,1.0,0.0,950.9999999999999,190.0,Mackenzie_Land_Upstream,897.0,62.0,2470,68.0,976.0,12.0,5,565.0,256.7118726376229,416.0,48.075989,
1_1_LT05_062012_19930610,8.0,160.596863,522.3494767510999,0.0,1993-06-10T19:51:05,1.0,0.0,741.9999999999998,184.00000000000003,Mackenzie_Land_Upstream,332.0,62.0,854,68.0,733.9999999999999,12.0,5,97.99999999999999,130.415405456809,64.0,46.163975,
1_1_LT05_062012_19930728,0.0,159.199738,384.0,0.06579674924988689,1993-07-28T19:50:57,1.0,0.0,531.0,197.0,Mackenzie_Land_Upstream,722.0,62.0,3,66.0,444.0,12.0,5,311.0,195.1842434442106,119.0,50.563839,
1_1_LT05_062012_19930813,89.0,160.43251,,1.0,1993-08-13T19:50:58,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,54.832111,
1_1_LT05_062012_19940410,0.0,161.59552,,1.0,1994-04-10T19:48:43,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,61.174637,
1_1_LT05_062012_19940613,0.0,159.104935,409.99999999999994,0.0,1994-06-13T19:47:31,1.0,0.0,597.0,184.0,Mackenzie_Land_Upstream,275.0,62.0,511,68.0,576.0,12.0,5,109.0,91.61934342525547,68.99999999999999,46.165279,
1_1_LT05_062012_19940629,88.0,157.919174,,1.0,1994-06-29T19:47:08,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,46.314213,
1_1_LT05_062012_19940715,35.0,157.365646,,1.0,1994-07-15T19:46:42,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,48.136219,
1_1_LT05_062012_19940731,23.0,157.785233,,0.9907178378715682,1994-07-31T19:46:15,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,51.419292,
1_1_LT05_062012_19940816,96.0,159.085678,,1.0,1994-08-16T19:45:51,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,55.870216,
1_1_LT05_062012_19941003,23.0,165.153824,,0.994430702722941,1994-10-03T19:44:34,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,73.087875,
1_1_LT05_062012_19950328,0.0,158.287415,,1.0,1995-03-28T19:38:14,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,66.652878,
1_1_LT05_062012_19950413,0.0,158.415268,,1.0,1995-04-13T19:37:34,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,60.523476,
1_1_LT05_062012_19950429,12.0,158.232956,,1.0,1995-04-29T19:36:52,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,55.079868,
1_1_LT05_062012_19950531,79.0,156.273041,,1.0,1995-05-31T19:35:24,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,47.800186,
1_1_LT05_062012_19950616,37.0,154.792923,,0.990012358882535,1995-06-16T19:34:41,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,46.545029,
1_1_LT05_062012_19950702,0.0,153.597443,223.0,0.0,1995-07-02T19:33:58,1.0,0.0,315.0,187.0,Mackenzie_Land_Upstream,417.0,62.0,4,68.0,226.0,12.0,5,173.0,15.0,71.0,47.034336,
1_1_LT05_062012_19950920,19.0,159.457458,,0.9877416525541979,1995-09-20T19:30:13,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,68.527145,
1_1_LT05_062012_19960618,23.0,157.315948,440.9166666666667,0.0,1996-06-18T19:41:33,1.0,0.0,601.9791180444663,184.0,Mackenzie_Land_Upstream,298.83505154639175,62.0,501,68.0,586.9338135098305,12.0,5,72.0,104.3893339346056,65.93289297086766,46.102306,
1_1_LT05_062012_19960720,77.0,156.895782,,1.0,1996-07-20T19:43:15,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,49.114391,
1_1_LT05_062012_19960906,15.0,162.365799,643.0,0.0015470270214053069,1996-09-06T19:45:49,1.0,0.0,820.0,226.99999999999997,Mackenzie_Land_Upstream,648.8333722832438,62.0,165,68.0,826.9999999999999,12.0,5,263.0,185.92498403331103,108.99999999999999,63.01672,
1_1_LT05_062012_19970317,0.0,162.819656,,1.0,1997-03-17T19:54:51,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,70.222305,
1_1_LT05_062012_19970520,57.0,164.154556,,1.0,1997-05-20T19:57:06,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,48.780262,
1_1_LT05_062012_19970605,1.0,163.320602,538.0000000000001,0.0,1997-06-05T19:57:40,1.0,0.0,783.0000000000003,184.00000000000003,Mackenzie_Land_Upstream,407.00000000000006,62.0,1292,68.0,836.2119650504703,12.0,5,110.00000000000001,214.3686698525794,112.0,46.335915,
1_1_LT05_062012_19970621,87.0,162.304749,,1.0,1997-06-21T19:58:13,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,45.592964,
1_1_LT05_062012_19970909,51.0,166.758347,741.0,0.8739012641420802,1997-09-09T20:00:48,1.0,0.0,697.0,229.0,Mackenzie_Land_Upstream,720.0,62.0,5,68.0,554.0,12.0,5,402.0,110.25062358100294,176.0,63.698296,
1_1_LT05_062012_19980421,85.0,166.942688,,1.0,1998-04-21T20:05:37,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,56.733704,
1_1_LT05_062012_19980608,38.0,165.707657,,1.0,1998-06-08T20:06:23,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,45.896713,
1_1_LT05_062012_19980624,62.0,164.61322,,1.0,1998-06-24T20:06:31,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,45.460468,
1_1_LT05_062012_19980710,32.0,163.909988,660.0,0.0,1998-07-10T20:06:46,1.0,0.0,779.0,186.0,Mackenzie_Land_Upstream,750.9411221426922,62.0,124,68.0,725.0,12.0,5,220.0,178.68580889720567,105.95652173913044,46.742058,
1_1_LT05_062012_19980928,70.0,170.741684,,0.9932485487413177,1998-09-28T20:07:23,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,70.72229,
1_1_LT05_062012_19990510,1.0,167.25177,,1.0,1999-05-10T20:07:08,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,51.048218,
1_1_LT05_062012_19990526,64.0,166.593414,,1.0,1999-05-26T20:06:44,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,47.588135,
1_1_LT05_062012_19990611,1.0,165.451294,370.0109348198971,0.0,1999-06-11T20:06:32,1.0,0.0,490.00000000000006,183.0,Mackenzie_Land_Upstream,232.00000000000003,62.0,509,68.0,529.0000000000001,12.0,5,80.0,91.3694236323775,69.0,45.719223,
1_1_LT05_062012_19990729,56.0,163.767532,509.0,0.0,1999-07-29T20:06:15,1.0,0.0,706.0,196.0,Mackenzie_Land_Upstream,485.0,62.0,144,68.0,707.0,12.0,5,149.0,180.9003842611971,73.99999999999999,50.278828,
1_1_LT05_062012_19990830,53.0,166.513214,611.0,2.2100386020075812E-4,1999-08-30T20:05:48,1.0,0.0,935.0,222.0,Mackenzie_Land_Upstream,897.0,62.0,5,68.0,1017.0,12.0,5,548.0,184.08976071471218,443.0,59.873569,
1_1_LT05_062012_19991001,23.0,170.344757,880.0,0.46719609369176973,1999-10-01T20:05:07,1.0,0.0,734.0,242.0,Mackenzie_Land_Upstream,797.0,62.0,12,68.0,708.0,12.0,5,490.0,41.8889902002901,339.0,71.833664,
1_1_LT05_062012_20030809,1.0,164.393341,582.4606843417176,0.0,2003-08-09T20:05:25,1.0,0.0,768.8668754894284,204.0,Mackenzie_Land_Upstream,465.0379173740804,62.0,271,68.0,761.0,12.0,5,123.0,149.00844981605366,78.0,53.127121,
1_1_LT05_062012_20030910,58.0,168.139343,,1.0,2003-09-10T20:06:00,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,63.822319,
1_1_LT05_062012_20040421,0.0,167.812134,,1.0,2004-04-21T20:08:27,,,,,Mackenzie_Land_Upstream,,62.0,0,,,12.0,5,,,,56.474857,
