system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116060_19880927,70.0,93.128372,,1.0,1988-09-27T01:52:03,,,,,Mahakam_Water_Downstream,,116.0,0,,,60.0,5,,,,32.058014,
1_1_LT05_116060_19890117,24.0,122.265251,434.0,0.07343928121735474,1989-01-17T01:51:30,1.0,0.0,585.0,169.0,Mahakam_Water_Downstream,746.9999999999999,116.0,686,67.99999999999999,633.0,60.0,5,362.99999999999994,96.54687915749564,253.99999999999997,41.625408,
1_1_LT05_116060_19890509,41.0,60.814426,393.99999999999994,0.0,1989-05-09T01:50:05,1.0,0.0,657.0000000000001,156.0,Mahakam_Water_Downstream,416.0000000000001,116.0,983,68.0,866.0000000000002,60.0,5,33.00000000000001,27.576532420632784,19.000000000000004,37.593613,
1_1_LT05_116060_19891101,54.0,116.024078,,1.0,1989-11-01T01:46:08,,,,,Mahakam_Water_Downstream,,116.0,0,,,60.0,5,,,,34.470032,
1_1_LT05_116060_19900104,40.0,124.625282,529.0,0.41800690342748437,1990-01-04T01:44:11,1.0,0.0,816.15,174.0,Mahakam_Water_Downstream,618.0,116.0,160,68.0,947.0,60.0,5,307.0,189.11200219711066,257.40808279940853,42.925541,
1_1_LT05_116060_19910616,30.0,53.989994,,1.0,1991-06-16T01:44:14,,,,,Mahakam_Water_Downstream,,116.0,0,,,60.0,5,,,,42.321056,
1_1_LT05_116060_19911209,53.0,126.956528,,1.0,1991-12-09T01:45:53,,,,,Mahakam_Water_Downstream,,116.0,0,,,60.0,5,,,,40.070076,
1_1_LT05_116060_19920126,59.0,118.610023,,1.0,1992-01-26T01:45:42,,,,,Mahakam_Water_Downstream,,116.0,0,,,60.0,5,,,,42.680672,
1_1_LT05_116060_19920227,37.0,103.59021,907.0,0.9568078996182859,1992-02-27T01:45:35,1.0,0.0,1208.0,164.0,Mahakam_Water_Downstream,1095.0,116.0,42,68.0,1251.0,60.0,5,352.0,73.50087540163898,209.0,39.961262,
1_1_LT05_116060_19920314,5.0,94.023064,752.9999999999999,0.0,1992-03-14T01:45:35,1.0,0.0,1266.496719670024,158.0,Mahakam_Water_Downstream,963.9999999999999,116.0,987,68.0,1488.0,60.0,5,191.0,27.645104082314447,94.00000000000001,38.333607,
