system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,,1.0,1989-06-11T04:06:01,,,,,Mahanadi_Land_Upstream,,139.0,0,,,46.0,5,,,,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,,1.0,1990-03-10T03:58:41,,,,,Mahanadi_Land_Upstream,,139.0,0,,,46.0,5,,,,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,,0.0,1990-05-29T03:58:09,,,,,Mahanadi_Land_Upstream,,139.0,0,,,46.0,5,,,,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,623.0,0.0,1990-10-20T03:57:30,1.0,0.0,1105.0,173.0,Mahanadi_Land_Upstream,757.0,139.0,132,68.0,1298.0,46.0,5,115.00000000000001,30.952920313618723,56.99999999999999,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,706.0,0.07181029699500628,1990-12-23T03:57:34,1.0,0.0,985.0,208.0,Mahanadi_Land_Upstream,502.00000000000006,139.0,98,68.0,893.4353596591841,46.0,5,222.00000000000003,122.03060840524849,125.00000000000001,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,747.0,0.06071313845165434,1991-01-08T03:57:59,1.0,0.0,1139.0,209.0,Mahanadi_Land_Upstream,561.9999999999999,139.0,98,68.0,986.0,46.0,5,259.99999999999994,113.3988884096523,126.99999999999997,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,690.0000000000002,0.0,1991-01-24T03:58:27,1.0,0.0,965.0,205.0,Mahanadi_Land_Upstream,503.0,139.0,98,68.0,876.0000000000002,46.0,5,220.99999999999994,115.2346595416651,172.99999999999997,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,649.0,0.0,1991-02-09T03:58:37,1.0,0.0,960.0,197.0,Mahanadi_Land_Upstream,642.0,139.0,93,68.0,838.0469613259669,46.0,5,297.99999999999994,89.69354306972696,204.99999999999994,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,578.5728127671703,0.0,1991-02-25T03:59:00,1.0,0.0,842.2419029540872,186.0,Mahanadi_Land_Upstream,473.0998167379353,139.0,119,68.0,668.0000000000001,46.0,5,221.00000000000003,73.77361417113106,149.99999999999997,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,570.9999999999999,0.0,1991-03-13T03:59:19,1.0,0.0,838.0,172.0,Mahanadi_Land_Upstream,527.0,139.0,123,68.0,646.0,46.0,5,265.0,73.21423368091779,182.0,42.356289,
1_1_LT05_139046_19910329,0.0,112.172256,621.9999999999999,0.0,1991-03-29T03:59:32,1.0,0.0,908.9999999999999,157.0,Mahanadi_Land_Upstream,556.0,139.0,132,68.0,720.0,46.0,5,320.99999999999994,78.2908448159926,242.99999999999991,37.931301,
1_1_LT05_139046_19910430,19.0,94.936356,782.0000000000001,0.0,1991-04-30T04:00:09,1.0,0.0,1115.0,134.0,Mahanadi_Land_Upstream,790.0,139.0,132,68.0,1036.0000000000002,46.0,5,580.9999999999999,26.19979128468118,408.00000000000017,31.657257,
1_1_LT05_139046_19910516,20.0,86.746101,943.0,0.8227374937943521,1991-05-16T04:00:23,1.0,0.0,1201.0,130.0,Mahanadi_Land_Upstream,1037.0,139.0,15,68.0,1204.0,46.0,5,850.0,32.45852053861354,654.0,30.503654,
