system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,,1.0,1989-06-11T04:06:01,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,805.0,0.969927401833501,1990-03-10T03:58:41,1.0,0.0,1107.0,174.0,Mahanadi_Water_Midstream,634.0,139.0,4,68.0,949.0,46.0,5,315.0,145.72641318580514,219.0,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,,0.051905039478565,1990-05-29T03:58:09,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,677.9999999999998,0.0,1990-10-20T03:57:30,1.0,0.0,1262.9999999999998,173.0,Mahanadi_Water_Midstream,628.9999999999999,139.0,138,68.0,1402.0,46.0,5,85.99999999999997,114.19249382456238,56.99999999999999,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,710.9999999999998,0.4915743733771396,1990-12-23T03:57:34,1.0,0.0,976.0,208.0,Mahanadi_Water_Midstream,393.0,139.0,72,68.0,757.0,46.0,5,151.0,32.91569091380786,124.0,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,789.0,0.4396958295797787,1991-01-08T03:57:59,1.0,0.0,1186.0,209.0,Mahanadi_Water_Midstream,509.0,139.0,79,68.0,1026.0,46.0,5,156.0,78.21647330353306,77.0,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,723.0,0.0,1991-01-24T03:58:27,1.0,0.0,911.9999999999999,205.0,Mahanadi_Water_Midstream,448.0,139.0,118,68.0,706.0,46.0,5,152.99999999999997,96.83050587865317,76.34638436989178,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,652.9999999999998,0.0,1991-02-09T03:58:37,1.0,0.0,823.9999999999999,197.0,Mahanadi_Water_Midstream,500.0,139.0,118,68.0,638.9999999999999,46.0,5,233.99999999999997,80.37707028236409,159.0,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,548.0,0.0,1991-02-25T03:59:00,1.0,0.0,680.0,186.0,Mahanadi_Water_Midstream,389.4957024094687,139.0,120,68.0,488.5927382580939,46.0,5,163.0,93.32995194767625,109.0,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,567.0,0.0,1991-03-13T03:59:19,1.0,0.0,719.0,172.0,Mahanadi_Water_Midstream,399.0,139.0,124,68.0,540.7961838681699,46.0,5,206.99999999999994,92.333066104478,101.99999999999997,42.356289,
