system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_021040_19840325,0.0,125.354958,670.0,0.0,1984-03-25T15:54:24,1.0,0.0,1055.9999999999995,165.0,Mississippi_Land_Downstream,693.1307022039978,21.0,100,68.0,1133.0,40.0,5,172.0,230.46170419399402,134.0,40.739395,
1_1_LT05_021040_19840415,5.0,117.17543,860.9999999999999,0.0,1984-04-15T15:53:29,1.0,0.0,1168.0000000000002,142.0,Mississippi_Land_Downstream,891.0000000000002,21.0,109,68.0,1252.9999999999998,40.0,5,235.0,201.1040392679404,194.99999999999997,34.277203,
1_1_LT05_021040_19840501,24.0,109.887581,1167.0,0.0,1984-05-01T15:53:27,1.0,0.0,1410.0000000000005,129.0,Mississippi_Land_Downstream,1033.0,21.0,93,68.0,1412.9999999999998,40.0,5,428.99999999999994,154.77841418614105,298.9999999999999,30.632473,
1_1_LT05_021040_19840618,5.0,94.065918,810.0,0.0,1984-06-18T15:54:40,1.0,0.0,1100.0,119.0,Mississippi_Land_Downstream,679.0000000000001,21.0,94,68.0,1167.0000000000002,40.0,5,259.99999999999994,205.7731877542635,196.0,27.926975,
1_1_LT05_021040_19840704,24.0,94.792618,627.0,0.0,1984-07-04T15:54:51,1.0,0.0,913.0000000000001,122.0,Mississippi_Land_Downstream,755.0,21.0,89,68.0,1032.0,40.0,5,187.0,183.7402019438791,127.00000000000003,28.777485,
1_1_LT05_021040_19840906,12.0,123.374413,653.0000000000001,0.0,1984-09-06T15:56:24,1.0,0.0,841.0,148.0,Mississippi_Land_Downstream,519.9999999999999,21.0,91,68.0,754.9999999999999,40.0,5,192.0,160.3969015995897,131.0,35.978306,
1_1_LT05_021040_19841024,17.0,144.792419,643.0,0.0,1984-10-24T15:56:21,1.0,0.0,902.9999999999997,187.0,Mississippi_Land_Downstream,558.9999999999999,21.0,94,68.0,863.9999999999999,40.0,5,206.00000000000003,183.40160467305097,117.00000000000001,47.915947,
1_1_LT05_021040_19841109,9.0,148.192612,840.0,0.07311931235450213,1984-11-09T15:56:13,1.0,0.0,1103.0,201.0,Mississippi_Land_Downstream,889.0,21.0,76,68.0,1195.0000000000005,40.0,5,254.0,227.88553334703866,172.0,52.250172,
1_1_LT05_021040_19841125,3.0,149.638245,683.0,0.0,1984-11-25T15:56:12,1.0,0.0,964.0000000000001,210.0,Mississippi_Land_Downstream,755.0,21.0,80,68.0,1090.0,40.0,5,273.99999999999994,224.4546154014214,134.0,55.965332,
1_1_LT05_021040_19841211,50.0,149.376526,,1.0,1984-12-11T15:56:22,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,58.574425,
1_1_LT05_021040_19850301,33.0,133.76004,,1.0,1985-03-01T15:56:45,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,48.160213,
1_1_LT05_021040_19850504,13.0,109.277588,896.9999999999998,0.042115030849626395,1985-05-04T15:56:28,1.0,0.0,1225.9999999999998,125.0,Mississippi_Land_Downstream,761.0,21.0,96,68.0,1220.0,40.0,5,275.0,199.5688035660154,190.0,29.580788,
1_1_LT05_021040_19850808,78.0,107.144493,1022.0,0.6416071108795809,1985-08-08T15:56:02,1.0,0.0,1219.0,130.0,Mississippi_Land_Downstream,975.0,21.0,13,68.0,1065.0,40.0,5,473.0,105.51743455032845,313.0,31.58675,
1_1_LT05_021040_19850824,12.0,115.781242,355.00000000000006,0.7638579126442772,1985-08-24T15:55:52,1.0,0.0,346.0,141.0,Mississippi_Land_Downstream,305.0,21.0,101,68.0,288.99999999999994,40.0,5,94.00000000000001,54.135640585566605,60.00000000000001,33.709671,
1_1_LT05_021040_19850909,7.0,124.845253,650.9999999999999,0.0,1985-09-09T15:55:40,1.0,0.0,866.0,150.0,Mississippi_Land_Downstream,431.0,21.0,99,68.0,776.9999999999998,40.0,5,124.00000000000001,175.95956754687867,98.99999999999999,36.536777,
1_1_LT05_021040_19850925,12.0,133.234131,504.00000000000006,0.0,1985-09-25T15:55:29,1.0,0.0,693.0000000000002,162.0,Mississippi_Land_Downstream,292.0,21.0,106,68.0,587.0000000000001,40.0,5,102.00000000000003,111.68216875299625,65.0,40.138096,
1_1_LT05_021040_19851011,1.0,140.146515,517.0,0.0,1985-10-11T15:55:19,1.0,0.0,695.0,176.0,Mississippi_Land_Downstream,297.00000000000006,21.0,102,68.0,599.0,40.0,5,131.0,154.0656004643596,66.0,44.355392,
1_1_LT05_021040_19851112,2.0,148.143356,712.0000000000001,0.0,1985-11-12T15:54:53,1.0,0.0,997.0000000000001,203.0,Mississippi_Land_Downstream,629.0,21.0,98,68.0,1063.0,40.0,5,162.0,222.15411486102983,131.0,53.155304,
1_1_LT05_021040_19851128,70.0,149.21759,,1.0,1985-11-28T15:54:36,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,56.753239,
1_1_LT05_021040_19860115,72.0,143.796799,,1.0,1986-01-15T15:53:41,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,59.207573,
1_1_LT05_021040_19860131,9.0,140.2771,,1.0,1986-01-31T15:53:20,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,56.712334,
1_1_LT05_021040_19860216,6.0,136.30719,698.0000000000001,0.0,1986-02-16T15:52:58,1.0,0.0,1032.4332384866686,200.99999999999994,Mississippi_Land_Downstream,651.9999999999999,21.0,118,68.0,1131.0,40.0,5,157.0,198.01063555422556,125.59119093435959,52.814854,
1_1_LT05_021040_19860507,32.0,106.652435,,1.0,1986-05-07T15:51:11,,,,,Mississippi_Land_Downstream,,21.0,0,,,40.0,5,,,,30.368568,
1_1_LT05_021040_19860523,7.0,99.68605,740.0000000000001,0.050287332931772684,1986-05-23T15:50:45,1.0,0.0,998.0,122.0,Mississippi_Land_Downstream,625.9999999999999,21.0,102,68.0,958.0,40.0,5,276.0,202.2902053532329,192.00000000000003,28.86869,
1_1_LT05_021040_19860608,43.0,94.821907,1015.0,0.7393410063978382,1986-06-08T15:50:16,1.0,0.0,1270.0,122.0,Mississippi_Land_Downstream,1153.0,21.0,21,68.0,1377.0,40.0,5,506.0,136.90139126285467,372.0,28.672585,
1_1_LT05_021040_19860624,37.0,93.176346,802.0,0.0,1986-06-24T15:49:46,1.0,0.0,1119.9999999999998,125.0,Mississippi_Land_Downstream,832.0000000000002,21.0,125,68.0,1215.0000000000005,40.0,5,385.0,189.51751691070666,267.0,29.339161,
