system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_021040_19840325,0.0,125.354958,663.0,0.0,1984-03-25T15:54:24,1.0,0.0,1066.000000000001,166.0,Mississippi_Water_Upstream,542.0000000000007,21.0,1562,68.0,1143.0000000000011,40.0,5,67.0,21.08510463802592,22.000000000000004,40.739395,
1_1_LT05_021040_19840415,5.0,117.17543,791.0000000000008,0.0,1984-04-15T15:53:29,1.0,0.0,1075.0000000000007,144.0,Mississippi_Water_Upstream,718.0,21.0,1562,68.0,1170.0000000000007,40.0,5,90.00000000000001,25.568266864097044,56.99999999999999,34.277203,
1_1_LT05_021040_19840501,24.0,109.887581,1145.0,0.0,1984-05-01T15:53:27,1.0,0.0,1383.9999999999993,130.0,Mississippi_Water_Upstream,1002.9999999999999,21.0,206,68.0,1361.0000000000005,40.0,5,260.0,55.627286846884026,162.0,30.632473,
1_1_LT05_021040_19840618,5.0,94.065918,,1.0,1984-06-18T15:54:40,,,,,Mississippi_Water_Upstream,,21.0,0,,,40.0,5,,,,27.926975,
1_1_LT05_021040_19840704,24.0,94.792618,,1.0,1984-07-04T15:54:51,,,,,Mississippi_Water_Upstream,,21.0,0,,,40.0,5,,,,28.777485,
1_1_LT05_021040_19840906,12.0,123.374413,561.0,0.0,1984-09-06T15:56:24,1.0,0.0,669.0000000000002,150.0,Mississippi_Water_Upstream,408.9999999999999,21.0,1558,68.0,506.0000000000003,40.0,5,115.99999999999999,68.58421469309137,57.00000000000003,35.978306,
1_1_LT05_021040_19841024,17.0,144.792419,758.0000000000001,0.35410013463692086,1984-10-24T15:56:21,1.0,0.0,1128.5471032353475,189.0,Mississippi_Water_Upstream,566.0000000000001,21.0,1001,68.0,1175.0000000000002,40.0,5,114.99999999999999,95.29366043803188,73.00000000000001,47.915947,
1_1_LT05_021040_19841109,9.0,148.192612,,1.0,1984-11-09T15:56:13,,,,,Mississippi_Water_Upstream,,21.0,0,,,40.0,5,,,,52.250172,
1_1_LT05_021040_19841125,3.0,149.638245,632.0000000000005,0.002232204648119488,1984-11-25T15:56:12,1.0,0.0,932.0000000000001,211.0,Mississippi_Water_Upstream,551.0,21.0,1559,68.0,1018.0000000000005,40.0,5,58.00000000000002,29.01920216491715,32.0,55.965332,
1_1_LT05_021040_19841211,50.0,149.376526,,1.0,1984-12-11T15:56:22,,,,,Mississippi_Water_Upstream,,21.0,0,,,40.0,5,,,,58.574425,
1_1_LT05_021040_19850301,33.0,133.76004,,1.0,1985-03-01T15:56:45,,,,,Mississippi_Water_Upstream,,21.0,0,,,40.0,5,,,,48.160213,
1_1_LT05_021040_19850504,13.0,109.277588,996.154952846424,0.5914889333484327,1985-05-04T15:56:28,1.0,0.0,1300.0,126.0,Mississippi_Water_Upstream,1012.9999999999999,21.0,639,68.0,1373.0,40.0,5,202.99999999999997,51.54863534832873,88.00000000000001,29.580788,
1_1_LT05_021040_19850808,78.0,107.144493,811.9999999999997,0.20470096762422466,1985-08-08T15:56:02,1.0,0.0,885.9999999999998,134.0,Mississippi_Water_Upstream,642.0000000000001,21.0,1232,68.0,678.0,40.0,5,221.00000000000006,67.11647774268438,131.99999999999997,31.58675,
