system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,725.0,0.0,1984-04-30T10:11:55,1.0,0.0,1129.0,137.0,Moulouya_Land_Downstream,920.0,199.0,6,68.0,1093.0,36.0,5,475.0,131.8640924925693,262.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,633.0,0.0,1984-06-01T10:12:51,1.0,0.0,1086.0,120.0,Moulouya_Land_Downstream,939.0,199.0,7,68.0,1263.0,36.0,5,452.0,136.67464718693614,315.0,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,963.0,0.48884284348103285,1984-07-03T10:13:20,1.0,0.0,1354.0,123.0,Moulouya_Land_Downstream,1370.0,199.0,3,66.0,1451.0,36.0,5,931.0,50.611812411288966,721.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,868.0,0.0,1984-07-19T10:13:39,1.0,0.0,1253.0,128.0,Moulouya_Land_Downstream,1160.0,199.0,8,66.0,1273.0,36.0,5,833.0,80.61085147174666,568.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,560.0,0.0,1984-09-05T10:14:53,1.0,0.0,897.0,158.0,Moulouya_Land_Downstream,659.0,199.0,8,68.0,798.0,36.0,5,358.0,87.12060605849801,247.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,639.0,0.0,1984-10-07T10:14:54,1.0,0.0,939.0,187.0,Moulouya_Land_Downstream,741.0,199.0,10,68.0,817.0,36.0,5,372.0,157.37309172790623,236.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,758.0,0.06683668048028901,1984-10-23T10:14:50,1.0,0.0,1061.0,200.0,Moulouya_Land_Downstream,879.0,199.0,10,68.0,952.0,36.0,5,512.0,158.57808801975136,217.0,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,,0.8876314950589735,1984-11-08T10:14:43,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,586.0,0.0,1984-11-24T10:14:41,1.0,0.0,930.0,221.0,Moulouya_Land_Downstream,510.0,199.0,8,68.0,816.0,36.0,5,434.0,154.0717669626723,270.0,60.272202,
1_1_LT05_199036_19841210,1.0,152.110336,719.0,0.0,1984-12-10T10:14:50,1.0,0.0,985.0,227.0,Moulouya_Land_Downstream,680.0,199.0,8,68.0,905.0,36.0,5,469.0,128.80096078834194,293.0,62.963932,
1_1_LT05_199036_19850111,62.0,148.065506,,1.0,1985-01-11T10:15:07,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,63.451153,
