system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,773.0,0.0,1984-04-30T10:11:55,1.0,0.0,1234.0,138.0,Moulouya_Water_Downstream,489.0,199.0,17,68.0,1093.0,36.0,5,206.0,207.06249996736145,123.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,648.0,0.0,1984-06-01T10:12:51,1.0,0.0,1150.0,120.5,Moulouya_Water_Downstream,872.0,199.0,17,68.0,1463.0,36.0,5,269.0,154.60806569916963,249.0,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,978.0,0.0,1984-07-03T10:13:20,1.0,0.0,1419.0,124.0,Moulouya_Water_Downstream,1131.0,199.0,15,66.0,1478.0,36.0,5,815.0,62.62566034249306,621.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,899.0,0.0,1984-07-19T10:13:39,1.0,0.0,1318.0,130.0,Moulouya_Water_Downstream,949.0,199.0,15,68.0,1361.0,36.0,5,689.0,81.23748450616196,465.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,577.0,0.0,1984-09-05T10:14:53,1.0,0.0,970.0,160.0,Moulouya_Water_Downstream,315.0,199.0,16,68.0,830.0,36.0,5,202.0,146.3225114046024,173.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,659.0,0.0,1984-10-07T10:14:54,1.0,0.0,1021.0,189.0,Moulouya_Water_Downstream,271.0,199.0,16,68.0,780.0,36.0,5,138.0,135.07937481347773,110.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,822.0,0.11032028469750889,1984-10-23T10:14:50,1.0,0.0,1198.0,200.0,Moulouya_Water_Downstream,449.0,199.0,14,68.0,993.0,36.0,5,219.0,195.76657278608155,170.0,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,,1.0,1984-11-08T10:14:43,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,641.0,0.0,1984-11-24T10:14:41,1.0,0.0,988.0,223.0,Moulouya_Water_Downstream,272.0,199.0,16,68.0,715.0,36.0,5,110.0,157.90167035215302,96.0,60.272202,
1_1_LT05_199036_19841210,1.0,152.110336,749.0,0.0,1984-12-10T10:14:50,1.0,0.0,1050.0,228.0,Moulouya_Water_Downstream,425.0,199.0,16,68.0,849.0,36.0,5,251.0,168.29067116153527,167.0,62.963932,
1_1_LT05_199036_19850111,62.0,148.065506,,1.0,1985-01-11T10:15:07,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,63.451153,
1_1_LT05_199036_19850127,8.0,145.115662,690.0,0.0,1985-01-27T10:15:12,1.0,0.0,1070.0,225.0,Moulouya_Water_Downstream,388.0,199.0,16,68.0,934.0,36.0,5,190.0,204.74709056235696,154.0,61.047253,
1_1_LT05_199036_19850228,0.0,138.597412,774.0,0.0,1985-02-28T10:15:15,1.0,0.0,1155.0,202.0,Moulouya_Water_Downstream,539.0,199.0,17,68.0,1073.0,36.0,5,313.0,198.73273248747353,214.0,52.050545,
1_1_LT05_199036_19850316,0.0,134.993591,770.0,0.0,1985-03-16T10:15:13,1.0,0.0,1161.0,187.0,Moulouya_Water_Downstream,392.0,199.0,16,68.0,979.0,36.0,5,192.0,242.8175755582779,149.0,46.371338,
1_1_LT05_199036_19850620,0.0,106.001343,739.0,0.0,1985-06-20T10:14:53,1.0,0.0,1190.0,119.0,Moulouya_Water_Downstream,621.0,199.0,16,68.0,1128.0,36.0,5,346.0,164.3661594580831,290.0,27.676197,
1_1_LT05_199036_19850706,21.0,106.556778,,1.0,1985-07-06T10:14:47,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,28.722687,
1_1_LT05_199036_19850722,15.0,110.21656,,1.0,1985-07-22T10:14:41,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,30.403564,
