system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,773.0,0.0,1984-04-30T10:11:55,1.0,0.0,1199.0,,Moulouya_Water_Midstream,1207.0,199.0,7,66.0,1245.0,36.0,5,670.0,101.69401884765753,401.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,,0.0,1984-06-01T10:12:51,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,,0.0,1984-07-03T10:13:20,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,,0.0,1984-07-19T10:13:39,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,611.0,0.0,1984-09-05T10:14:53,1.0,0.0,1042.0,155.0,Moulouya_Water_Midstream,1079.0,199.0,5,68.0,1054.0,36.0,5,829.0,133.71222831140003,471.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,346.0,0.08757664622767262,1984-10-07T10:14:54,1.0,0.0,397.0,187.0,Moulouya_Water_Midstream,442.0,199.0,22,68.0,377.0,36.0,5,254.0,139.48115190066787,152.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,,1.0,1984-10-23T10:14:50,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,,1.0,1984-11-08T10:14:43,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,585.0,0.0,1984-11-24T10:14:41,1.0,0.0,928.0,220.0,Moulouya_Water_Midstream,1099.0,199.0,8,66.0,765.0,36.0,5,635.0,56.040164168210644,445.0,60.272202,
1_1_LT05_199036_19841210,1.0,152.110336,686.0,0.0,1984-12-10T10:14:50,1.0,0.0,920.0,226.0,Moulouya_Water_Midstream,934.0,199.0,4,68.0,905.0,36.0,5,818.0,66.0,481.0,62.963932,
1_1_LT05_199036_19850111,62.0,148.065506,,1.0,1985-01-11T10:15:07,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,63.451153,
1_1_LT05_199036_19850127,8.0,145.115662,634.0,0.0,1985-01-27T10:15:12,1.0,0.0,952.0,222.5,Moulouya_Water_Midstream,741.0,199.0,10,68.0,985.0,36.0,5,592.0,138.1752872260449,385.0,61.047253,
1_1_LT05_199036_19850228,0.0,138.597412,731.0,0.0,1985-02-28T10:15:15,1.0,0.0,1109.0,199.0,Moulouya_Water_Midstream,1244.0,199.0,7,66.0,1114.0,36.0,5,764.0,73.4513583320034,537.0,52.050545,
1_1_LT05_199036_19850316,0.0,134.993591,731.0,0.0,1985-03-16T10:15:13,1.0,0.0,1039.0,182.0,Moulouya_Water_Midstream,1187.0,199.0,8,66.0,1032.0,36.0,5,681.0,40.397246193274114,436.0,46.371338,
1_1_LT05_199036_19850620,0.0,106.001343,,0.0,1985-06-20T10:14:53,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,27.676197,
1_1_LT05_199036_19850706,21.0,106.556778,,1.0,1985-07-06T10:14:47,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,28.722687,
1_1_LT05_199036_19850722,15.0,110.21656,,1.0,1985-07-22T10:14:41,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,30.403564,
1_1_LT05_199036_19850807,0.0,116.262062,,0.0,1985-08-07T10:14:32,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,32.640488,
1_1_LT05_199036_19850823,0.0,123.684563,776.0,0.0,1985-08-23T10:14:22,1.0,,1096.0,,Moulouya_Water_Midstream,1190.0,199.0,0,66.0,1105.0,36.0,5,854.0,,599.0,35.50246,
1_1_LT05_199036_19850908,1.0,131.416275,721.0,0.0,1985-09-08T10:14:10,1.0,,1054.0,,Moulouya_Water_Midstream,1293.0,199.0,0,66.0,1001.0,36.0,5,817.0,,441.0,39.047344,
1_1_LT05_199036_19851010,0.0,144.441635,818.0,0.0,1985-10-10T10:13:49,1.0,0.0,1130.0,187.0,Moulouya_Water_Midstream,1226.0,199.0,7,66.0,1210.0,36.0,5,725.0,76.19095237946436,465.0,47.954647,
1_1_LT05_199036_19851111,9.0,151.203979,,0.0,1985-11-11T10:13:23,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,57.311092,
1_1_LT05_199036_19860114,0.0,146.861832,572.0,0.0,1986-01-14T10:12:12,1.0,0.0,1006.0,228.0,Moulouya_Water_Midstream,936.0,199.0,8,68.0,1089.0,36.0,5,689.0,104.72672772506549,420.0,63.488285,
1_1_LT05_199036_19860130,45.0,143.749115,958.0,0.0,1986-01-30T10:11:51,1.0,0.0,1423.0,,Moulouya_Water_Midstream,1599.0,199.0,1,66.0,1479.0,36.0,5,1015.0,0.0,689.0,60.873013,
1_1_LT05_199036_19860215,59.0,140.410187,,1.0,1986-02-15T10:11:29,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,56.786621,
1_1_LT05_199036_19860303,0.0,136.883072,615.0,0.0,1986-03-03T10:11:07,1.0,0.0,1092.0,200.0,Moulouya_Water_Midstream,1050.0,199.0,9,68.0,1180.0,36.0,5,664.0,153.21984528008875,395.0,51.664871,
1_1_LT05_199036_19860319,31.0,133.008682,980.0,0.6815515862436685,1986-03-19T10:10:48,1.0,0.0,1462.0,,Moulouya_Water_Midstream,1507.0,199.0,2,66.0,1640.0,36.0,5,953.0,29.5,608.0,46.041725,
1_1_LT05_199036_19860420,0.0,123.253838,607.0,0.0,1986-04-20T10:10:07,1.0,0.0,982.0,,Moulouya_Water_Midstream,1117.0,199.0,5,66.0,1154.0,36.0,5,607.0,77.31338823256947,407.0,35.561565,
1_1_LT05_199036_19860522,65.0,111.140457,,1.0,1986-05-22T10:09:17,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,29.552647,
1_1_LT05_199036_19860623,7.0,104.230072,,0.0,1986-06-23T10:08:18,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,29.178005,
1_1_LT05_199036_19860725,64.0,109.163994,,1.0,1986-07-25T10:07:12,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,32.232475,
1_1_LT05_199036_19860810,0.0,115.238281,,0.0,1986-08-10T10:06:38,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,34.571636,
1_1_LT05_199036_19860826,0.0,122.535744,630.0,0.0,1986-08-26T10:06:02,1.0,0.0,990.0,,Moulouya_Water_Midstream,911.0,199.0,5,68.0,1041.0,36.0,5,688.0,65.84952543488801,463.0,37.497879,
1_1_LT05_199036_19860927,1.0,136.953339,736.0,0.0,1986-09-27T10:04:59,1.0,0.0,1009.0,,Moulouya_Water_Midstream,1001.0,199.0,5,68.0,996.0,36.0,5,723.0,31.767908335299634,445.0,45.301746,
1_1_LT05_199036_19861013,53.0,142.579498,,1.0,1986-10-13T10:04:27,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,49.954948,
1_1_LT05_199036_19861029,0.0,146.600006,593.0,0.0,1986-10-29T10:03:54,1.0,0.0,1052.0,,Moulouya_Water_Midstream,1147.0,199.0,5,66.0,1242.0,36.0,5,617.0,90.18869108707588,431.0,54.694481,
1_1_LT05_199036_19861130,18.0,149.645401,816.0,0.0,1986-11-30T10:03:09,1.0,0.0,1339.0,228.0,Moulouya_Water_Midstream,1365.0,199.0,29,66.0,1651.0,36.0,5,248.0,172.64072651562563,165.0,62.578419,
1_1_LT05_199036_19870101,0.0,147.285477,720.0,0.7460677152759264,1987-01-01T10:04:07,1.0,0.0,1091.0,,Moulouya_Water_Midstream,934.0,199.0,1,68.0,1173.0,36.0,5,596.0,0.0,449.0,65.257034,
1_1_LT05_199036_19870117,20.0,144.725189,,1.0,1987-01-17T10:04:34,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,64.012787,
1_1_LT05_199036_19870202,31.0,141.71756,,1.0,1987-02-02T10:05:05,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,61.063774,
1_1_LT05_199036_19870218,80.0,138.499283,,1.0,1987-02-18T10:05:43,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,56.709633,
1_1_LT05_199036_19870306,31.0,135.079025,,1.0,1987-03-06T10:06:20,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,51.379021,
1_1_LT05_199036_19870322,46.0,131.330612,789.0,0.0,1987-03-22T10:06:55,1.0,0.0,1258.0,179.0,Moulouya_Water_Midstream,1011.0,199.0,9,68.0,1158.0,36.0,5,704.0,165.23996766394086,432.0,45.595345,
1_1_LT05_199036_19870423,23.0,121.790359,,1.0,1987-04-23T10:08:00,,,,,Moulouya_Water_Midstream,,199.0,0,,,36.0,5,,,,35.121872,
