system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_233054_19920214,32.0,119.471024,,0.4966703965849219,1992-02-14T13:46:13,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,5,,,,43.785995,
1_1_LT05_233054_20100725,34.0,65.984344,,0.9952884514951914,2010-07-25T14:12:33,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,5,,,,30.71384,
1_2_LE07_233054_19991023,76.0,130.140976,,0.60828918033951,1999-10-23T14:14:57,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,30.851418,
1_2_LE07_233054_19991108,31.0,137.396088,,0.9159205100849587,1999-11-08T14:15:01,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,34.255829,
1_2_LE07_233054_20000212,31.0,125.779053,,0.6534060502148603,2000-02-12T14:14:50,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,38.150913,
1_2_LE07_233054_20000619,77.0,57.918514,,1.0,2000-06-19T14:13:56,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,30.685562,
1_2_LE07_233054_20000705,87.0,59.797737,,1.0,2000-07-05T14:13:42,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.128223,
1_2_LE07_233054_20000806,91.0,71.765739,,1.0,2000-08-06T14:13:12,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,29.662552,
1_2_LE07_233054_20000822,58.0,81.73748,,0.7879388139690007,2000-08-22T14:13:06,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.327869,
1_2_LE07_233054_20000907,34.0,94.123573,,0.0,2000-09-07T14:12:50,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,27.397038,
1_2_LE07_233054_20000923,50.0,107.798172,,1.0,2000-09-23T14:12:33,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,27.537632,
1_2_LE07_233054_20001009,36.0,120.666199,,0.730420984260328,2000-10-09T14:12:28,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,29.122578,
1_2_LE07_233054_20001025,34.0,130.881104,,0.7324915385117324,2000-10-25T14:12:23,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.876122,
1_2_LE07_233054_20001212,23.0,141.238846,,0.30609985743611334,2000-12-12T14:12:29,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,41.070618,
1_2_LE07_233054_20010129,41.0,130.592682,,0.3355960325598108,2001-01-29T14:12:36,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,40.767052,
1_2_LE07_233054_20010318,59.0,105.98671,,1.0,2001-03-18T14:12:20,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.473824,
1_2_LE07_233054_20010403,35.0,94.384048,,0.8209318739230747,2001-04-03T14:12:09,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.907764,
1_2_LE07_233054_20010521,58.0,63.318832,,0.6346894387668156,2001-05-21T14:11:57,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.885342,
1_2_LE07_233054_20010606,46.0,59.136295,,0.9915669876179471,2001-06-06T14:11:45,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,30.258762,
1_2_LE07_233054_20010825,29.0,83.745773,,0.7870432646691731,2001-08-25T14:10:52,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.671753,
1_2_LE07_233054_20010926,39.0,109.707596,,0.9861964587066229,2001-09-26T14:10:32,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.224113,
1_2_LE07_233054_20011129,44.0,140.548981,,0.9634830780610477,2001-11-29T14:10:39,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,39.345528,
1_2_LE07_233054_20020201,44.0,129.205444,,0.8474587174599597,2002-02-01T14:10:55,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,40.689457,
1_2_LE07_233054_20020217,35.0,122.411476,,1.0,2002-02-17T14:10:57,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,37.885567,
1_2_LE07_233054_20020305,37.0,114.04303,,0.3144544746683358,2002-03-05T14:11:01,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,34.532246,
1_2_LE07_233054_20020609,62.0,58.979664,,0.8961889120205813,2002-06-09T14:10:39,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,30.716167,
1_2_LE07_233054_20020625,88.0,58.812645,,1.0,2002-06-25T14:10:32,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.625038,
1_2_LE07_233054_20020711,36.0,61.604065,,0.8126420479764478,2002-07-11T14:10:30,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.78548,
1_2_LE07_233054_20020727,76.0,67.075722,,1.0,2002-07-27T14:10:21,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,31.144932,
1_2_LE07_233054_20020812,72.0,75.141747,,1.0,2002-08-12T14:10:17,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,29.941975,
1_2_LE07_233054_20020828,49.0,85.763664,,0.34481115184840705,2002-08-28T14:10:05,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.672222,
1_2_LE07_233054_20020913,18.0,98.471809,,0.4560287368950384,2002-09-13T14:09:59,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,28.016579,
1_2_LE07_233054_20021015,49.0,123.820473,,0.8199655384144301,2002-10-15T14:09:49,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,30.513977,
1_2_LE07_233054_20021116,68.0,138.321259,,1.0,2002-11-16T14:10:06,,,,,Orinoco_Land_Downstream,,233.0,0,,,54.0,7,,,,36.846378,
