system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_233054_19920214,32.0,119.471024,454.00000000000006,0.0,1992-02-14T13:46:13,1.0,0.0,692.2083549331106,176.0,Orinoco_Water_Midstream,727.0000000000003,233.0,3033,68.0,595.0000000000002,54.0,5,203.00000000000006,26.485624907193174,99.00000000000003,43.785995,
1_1_LT05_233054_20100725,34.0,65.984344,502.0,0.3577625375719402,2010-07-25T14:12:33,1.0,0.0,848.0854990190523,130.0,Orinoco_Water_Midstream,643.9999999999998,233.0,1948,68.0,913.9999999999999,54.0,5,208.00000000000009,32.74388842197458,126.00000000000006,30.71384,
1_2_LE07_233054_19991023,76.0,130.140976,,1.0,1999-10-23T14:14:57,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,30.851418,
1_2_LE07_233054_19991108,31.0,137.396088,676.0,0.9912235054717172,1999-11-08T14:15:01,1.0,0.0,891.0,144.0,Orinoco_Water_Midstream,564.0,233.0,28,68.0,996.0,54.0,7,187.0,50.65655668019566,112.0,34.255829,
1_2_LE07_233054_20000212,31.0,125.779053,597.6326729457616,0.5915434980155803,2000-02-12T14:14:50,1.0,0.0,853.3850301984469,158.0,Orinoco_Water_Midstream,380.7347270941489,233.0,1235,68.0,808.7029620590192,54.0,7,148.19137896825399,45.2832231495106,115.99999999999996,38.150913,
1_2_LE07_233054_20000619,77.0,57.918514,,1.0,2000-06-19T14:13:56,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,30.685562,
1_2_LE07_233054_20000705,87.0,59.797737,638.2420181141301,0.09456090343525979,2000-07-05T14:13:42,1.0,0.0,924.0,132.0,Orinoco_Water_Midstream,684.7321730543728,233.0,2729,68.0,1137.3132995956203,54.0,7,188.00000000000003,62.094627555383795,137.9912991531471,31.128223,
1_2_LE07_233054_20000806,91.0,71.765739,,1.0,2000-08-06T14:13:12,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,29.662552,
1_2_LE07_233054_20000822,58.0,81.73748,870.671226831421,0.7116792100637136,2000-08-22T14:13:06,1.0,0.0,1215.0,121.0,Orinoco_Water_Midstream,802.0,233.0,878,68.0,1399.0,54.0,7,358.99999999999994,72.76645279497097,277.00000000000006,28.327869,
1_2_LE07_233054_20000907,34.0,94.123573,472.5862211398625,0.0,2000-09-07T14:12:50,1.0,0.0,708.9952029797963,117.0,Orinoco_Water_Midstream,456.51524006587545,233.0,3033,68.0,884.0,54.0,7,150.00000000000006,52.8081532352217,113.99999999999999,27.397038,
1_2_LE07_233054_20000923,50.0,107.798172,914.4594158922814,0.8527037557700919,2000-09-23T14:12:33,1.0,0.0,1223.0,118.0,Orinoco_Water_Midstream,974.629700303064,233.0,443,68.0,1380.0,54.0,7,510.0,55.62765624940523,390.0,27.537632,
1_2_LE07_233054_20001009,36.0,120.666199,929.6944065986669,0.5564375199024488,2000-10-09T14:12:28,1.0,0.0,1352.0,124.0,Orinoco_Water_Midstream,980.0691382765532,233.0,1345,68.0,1661.1102394294446,54.0,7,378.9999999999999,104.38223800111528,294.0,29.122578,
1_2_LE07_233054_20001025,34.0,130.881104,738.0466344849472,0.04398603009897506,2000-10-25T14:12:23,1.0,0.0,1078.0825636653092,134.99999999999997,Orinoco_Water_Midstream,720.0753241553118,233.0,2901,68.0,1308.9999999999998,54.0,7,217.99999999999994,43.18936707233461,154.0,31.876122,
1_2_LE07_233054_20001212,23.0,141.238846,643.0000000000002,0.004740342619848343,2000-12-12T14:12:29,1.0,0.0,1012.0000000000005,168.0,Orinoco_Water_Midstream,489.00000000000034,233.0,3019,68.0,1246.0,54.0,7,56.00000000000005,19.01693726254009,41.99999999999999,41.070618,
1_2_LE07_233054_20010129,41.0,130.592682,770.7197191339966,0.8602725114495717,2001-01-29T14:12:36,1.0,0.0,1164.9487886094844,167.0,Orinoco_Water_Midstream,520.7399125064334,233.0,428,68.0,1245.897331448998,54.0,7,177.99999999999997,43.76304585697513,119.99999999999999,40.767052,
1_2_LE07_233054_20010318,59.0,105.98671,,1.0,2001-03-18T14:12:20,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,31.473824,
1_2_LE07_233054_20010403,35.0,94.384048,830.160846378806,0.7800348988631979,2001-04-03T14:12:09,1.0,0.0,846.8091352081254,123.0,Orinoco_Water_Midstream,648.4296627720682,233.0,666,68.0,747.9999999999999,54.0,7,345.0,71.97719881727836,267.99999999999994,28.907764,
1_2_LE07_233054_20010521,58.0,63.318832,1146.0,0.9327342534413439,2001-05-21T14:11:57,1.0,0.0,1685.0,123.0,Orinoco_Water_Midstream,996.0,233.0,204,68.0,1931.0,54.0,7,335.0,89.04926017220167,227.0,28.885342,
1_2_LE07_233054_20010606,46.0,59.136295,1050.3321207771235,0.535916315218545,2001-06-06T14:11:45,1.0,0.0,1521.2372007461918,128.0,Orinoco_Water_Midstream,1260.0000000000005,233.0,1402,66.0,1836.9049649406243,54.0,7,441.0529164974963,55.99768541914951,305.99999999999994,30.258762,
1_2_LE07_233054_20010825,29.0,83.745773,637.4238853678701,0.37440680993840914,2001-08-25T14:10:52,1.0,0.0,969.9966866648491,122.0,Orinoco_Water_Midstream,670.933357764836,233.0,1897,68.0,1165.0,54.0,7,209.50923370403444,57.2188329059323,159.99999999999994,28.671753,
1_2_LE07_233054_20010926,39.0,109.707596,658.9999999999999,0.7651562811481418,2001-09-26T14:10:32,1.0,0.0,1024.9999999999998,121.0,Orinoco_Water_Midstream,598.9999999999999,233.0,713,68.0,1232.0,54.0,7,153.0,58.550580446841515,130.0,28.224113,
1_2_LE07_233054_20011129,44.0,140.548981,,1.0,2001-11-29T14:10:39,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,39.345528,
1_2_LE07_233054_20020201,44.0,129.205444,974.0,0.9981398491685631,2002-02-01T14:10:55,1.0,0.0,1293.0,166.0,Orinoco_Water_Midstream,856.0,233.0,7,68.0,1389.0,54.0,7,506.0,113.62703041449394,362.0,40.689457,
1_2_LE07_233054_20020217,35.0,122.411476,,1.0,2002-02-17T14:10:57,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,37.885567,
1_2_LE07_233054_20020305,37.0,114.04303,296.591044717522,0.38593146049671356,2002-03-05T14:11:01,1.0,0.0,456.26153316638386,145.0,Orinoco_Water_Midstream,180.77498226794916,233.0,1862,68.0,385.5338368678275,54.0,7,76.12445418435833,35.194597875730345,64.0,34.532246,
1_2_LE07_233054_20020609,62.0,58.979664,1074.8366082870568,0.8428308466598837,2002-06-09T14:10:39,1.0,0.0,1534.9722805543886,130.0,Orinoco_Water_Midstream,1275.0,233.0,479,66.0,1844.9999999999998,54.0,7,368.0,42.93373782158121,258.00000000000006,30.716167,
1_2_LE07_233054_20020625,88.0,58.812645,,1.0,2002-06-25T14:10:32,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,31.625038,
1_2_LE07_233054_20020711,36.0,61.604065,756.0,0.9924985566679353,2002-07-11T14:10:30,1.0,0.0,986.0,134.0,Orinoco_Water_Midstream,744.0,233.0,22,68.0,1135.0,54.0,7,218.0,42.00612411077597,167.0,31.78548,
1_2_LE07_233054_20020727,76.0,67.075722,,1.0,2002-07-27T14:10:21,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,31.144932,
1_2_LE07_233054_20020812,72.0,75.141747,711.0,0.7302095226260098,2002-08-12T14:10:17,1.0,0.0,869.9999999999999,126.99999999999999,Orinoco_Water_Midstream,704.0,233.0,817,68.0,1044.0,54.0,7,299.0,45.76449760317915,208.00000000000006,29.941975,
1_2_LE07_233054_20020828,49.0,85.763664,572.314526710403,0.0,2002-08-28T14:10:05,1.0,0.0,782.3738447064032,122.00000000000009,Orinoco_Water_Midstream,514.37146587453,233.0,3033,68.0,964.6563734058391,54.0,7,232.06230385186387,41.26194979439589,206.76391528430716,28.672222,
1_2_LE07_233054_20020913,18.0,98.471809,591.0,0.48704755099557545,2002-09-13T14:09:59,1.0,0.0,877.3881325818637,120.0,Orinoco_Water_Midstream,537.5115065421423,233.0,1552,68.0,1037.564073226545,54.0,7,226.0,58.56510733036866,202.45829447392396,28.016579,
1_2_LE07_233054_20021015,49.0,123.820473,1132.6416018925313,0.5266207389342382,2002-10-15T14:09:49,1.0,0.0,1484.0000000000005,129.0,Orinoco_Water_Midstream,1424.0,233.0,1333,66.0,1701.9999999999998,54.0,7,677.0,43.663279750772304,542.0,30.513977,
1_2_LE07_233054_20021116,68.0,138.321259,721.9300679501699,0.2913731459978927,2002-11-16T14:10:06,1.0,0.0,1099.5455990354053,152.99999999999997,Orinoco_Water_Midstream,744.2807503797311,233.0,2138,68.0,1330.0,54.0,7,145.44376357386753,81.75513733656868,89.19839541215315,36.846378,
1_2_LE07_233054_20021202,43.0,140.62117,745.0000000000003,0.11125436559407034,2002-12-02T14:10:21,1.0,0.0,1132.0,164.0,Orinoco_Water_Midstream,626.3568907566562,233.0,2696,68.0,1345.005407698017,54.0,7,115.99999999999999,34.089773443526354,87.99999999999997,39.894329,
1_2_LE07_233054_20021218,26.0,140.276031,810.0,0.8850848782811535,2002-12-18T14:10:22,1.0,0.0,1238.5259148415182,171.0,Orinoco_Water_Midstream,706.5686351192803,233.0,348,68.0,1417.0,54.0,7,284.5902612826603,77.08362824123296,203.0,42.031643,
1_2_LE07_233054_20030103,45.0,137.824692,706.2733816824041,0.5361959203539596,2003-01-03T14:10:26,1.0,0.0,1100.0353171619645,174.0,Orinoco_Water_Midstream,394.8812744298531,233.0,1401,68.0,1194.9939547674364,54.0,7,100.2279856056147,36.94410995833824,67.00000000000001,42.875938,
1_2_LE07_233054_20030119,58.0,133.678589,,1.0,2003-01-19T14:10:34,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,42.272594,
1_2_LE07_233054_20030204,55.0,128.078247,795.0,0.9647593971920396,2003-02-04T14:10:42,1.0,0.0,982.9999999999999,165.0,Orinoco_Water_Midstream,540.0,233.0,107,68.0,890.0,54.0,7,270.99999999999994,56.14480205814526,170.0,40.32732,
1_2_LE07_233054_20030308,69.0,112.386024,,1.0,2003-03-08T14:10:51,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,33.990501,
1_2_LE07_233054_20030324,32.0,101.926392,538.1526543955654,0.0858879663645378,2003-03-24T14:10:44,1.0,0.0,616.0917307304389,130.99999999999997,Orinoco_Water_Midstream,472.00000000000006,233.0,2768,68.0,557.0000000000001,54.0,7,262.0000000000001,37.729379227769094,224.9999999999999,30.853249,
1_2_LE07_233054_20030831,47.0,87.850769,684.9999999999999,0.5216628690392277,2003-08-31T14:10:27,1.0,0.0,922.8680902989629,121.0,Orinoco_Water_Midstream,550.8838565545457,233.0,1373,68.0,1048.8309143151846,54.0,7,146.00000000000003,35.71506289765947,104.00000000000001,28.417393,
1_2_LE07_233054_20031119,50.0,139.064819,723.9999999999998,0.8453589430925882,2003-11-19T14:10:44,1.0,0.0,1040.0,155.0,Orinoco_Water_Midstream,706.9831563529842,233.0,473,68.0,1225.9999999999998,54.0,7,167.99999999999997,17.414674437356275,116.0,37.351357,
1_2_LE07_233054_20040122,65.0,132.906204,,1.0,2004-01-22T14:11:07,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,41.949051,
1_2_LE07_233054_20040207,20.0,127.051476,539.0,0.6001617208715053,2004-02-07T14:11:12,1.0,0.0,848.1767764298095,163.0,Orinoco_Water_Midstream,279.0,233.0,1092,68.0,912.0692558392179,54.0,7,57.318140243902434,34.48855638092227,43.00000000000001,39.789139,
1_2_LE07_233054_20040310,52.0,110.764877,588.5414793624846,0.7155150646325273,2004-03-10T14:11:20,1.0,0.0,746.3076814159291,140.0,Orinoco_Water_Midstream,465.9451957753734,233.0,822,68.0,686.8469750889681,54.0,7,299.00000000000006,54.75419975348151,233.00000000000003,33.311771,
1_2_LE07_233054_20040411,100.0,87.949875,,1.0,2004-04-11T14:11:18,,,,,Orinoco_Water_Midstream,,233.0,0,,,54.0,7,,,,28.336048,
