system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19911102,9.0,70.330872,,0.0,1991-11-02T13:08:22,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,38.417351,
1_1_LT05_225083_19920325,3.0,57.59856,,0.0,1992-03-25T13:08:19,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,53.543842,
1_1_LT05_225083_19950505,56.0,47.789852,,1.0,1995-05-05T12:52:18,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,65.082832,
1_1_LT05_225083_19950622,33.0,44.236256,,0.0,1995-06-22T12:50:05,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,71.737801,
1_1_LT05_225083_19950926,0.0,62.211365,,0.0,1995-09-26T12:45:36,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,52.765358,
1_1_LT05_225083_19961030,45.0,70.314362,,1.0,1996-10-30T13:04:17,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,39.635048,
1_1_LT05_225083_19970203,0.0,78.535172,,0.0,1997-02-03T13:08:47,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,43.491211,
1_1_LT05_225083_19970526,56.0,40.331219,,1.0,1997-05-26T13:12:59,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,66.087425,
1_1_LT05_225083_19970729,26.0,43.484398,,0.0,1997-07-29T13:15:11,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,65.065018,
1_1_LT05_225083_19971017,25.0,61.936852,,0.0,1997-10-17T13:17:32,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,40.263191,
1_1_LT05_225083_19980121,87.0,80.598839,,1.0,1998-01-21T13:19:50,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,38.924496,
1_1_LT05_225083_19980310,28.0,61.441948,,0.9584454499446307,1998-03-10T13:20:45,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,47.853683,
1_1_LT05_225083_19981223,0.0,83.156837,,0.0,1998-12-23T13:23:17,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,34.041759,
1_1_LT05_225083_19990108,3.0,82.620369,,0.0,1999-01-08T13:23:16,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,36.120781,
1_1_LT05_225083_19990313,76.0,59.657303,,1.0,1999-03-13T13:23:16,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,48.013378,
1_1_LT05_225083_19990414,0.0,46.976616,,0.0,1999-04-14T13:22:57,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,55.659191,
1_1_LT05_225083_19990430,1.0,42.457733,,0.0,1999-04-30T13:22:55,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,59.508732,
1_1_LT05_225083_19990820,0.0,45.727226,,0.0,1999-08-20T13:21:44,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,58.778519,
1_1_LT05_225083_19990921,0.0,52.720257,,0.0,1999-09-21T13:20:47,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,48.204834,
1_1_LT05_225083_20000111,0.0,83.002693,,0.0,2000-01-11T13:19:13,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,37.456207,
1_1_LT05_225083_20000127,0.0,79.272247,,0.0,2000-01-27T13:18:42,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,40.117264,
1_1_LT05_225083_20000502,32.0,42.628956,,0.0,2000-05-02T13:19:41,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,60.62262,
1_1_LT05_225083_20000806,31.0,43.475304,,1.0,2000-08-06T13:21:35,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,62.357086,
1_1_LT05_225083_20000822,37.0,46.201443,,1.0,2000-08-22T13:21:57,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,57.922337,
1_1_LT05_225083_20000907,27.0,49.369049,,0.5117033624889181,2000-09-07T13:22:22,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,52.647747,
1_1_LT05_225083_20001009,83.0,57.906021,,1.0,2000-10-09T13:22:44,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,41.644138,
1_1_LT05_225083_20001126,33.0,77.135124,,0.0,2000-11-26T13:23:26,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,32.75087,
1_1_LT05_225083_20010129,0.0,77.381607,,0.0,2001-01-29T13:24:11,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,39.487888,
1_1_LT05_225083_20010302,91.0,64.168564,,1.0,2001-03-02T13:24:22,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,45.556465,
1_1_LT05_225083_20010318,100.0,56.967762,,1.0,2001-03-18T13:24:22,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,49.072166,
1_1_LT05_225083_20010419,0.0,44.908058,,0.0,2001-04-19T13:24:13,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,56.791851,
1_1_LT05_225083_20011129,92.0,78.023331,,1.0,2001-11-29T13:23:46,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,32.623489,
1_1_LT05_225083_20020201,0.0,76.625992,,0.0,2002-02-01T13:23:06,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,40.168404,
1_1_LT05_225083_20020217,32.0,70.356819,,1.0,2002-02-17T13:22:41,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,43.174141,
1_1_LT05_225083_20020305,80.0,63.297298,,0.07290905254591082,2002-03-05T13:22:24,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,46.462704,
1_1_LT05_225083_20031002,53.0,55.64146,,1.0,2003-10-02T13:21:57,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,44.281345,
1_1_LT05_225083_20031103,0.0,67.454391,,0.0,2003-11-03T13:22:15,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,35.467323,
1_1_LT05_225083_20040207,13.0,74.560081,,0.05354249715530172,2004-02-07T13:23:08,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,41.130524,
1_1_LT05_225083_20041121,16.0,73.864563,,1.0,2004-11-21T13:29:23,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,31.735798,
1_1_LT05_225083_20050430,0.0,40.329556,,0.0,2005-04-30T13:31:26,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,58.444183,
1_1_LT05_225083_20080202,3.0,73.86953,,0.0,2008-02-02T13:35:02,,,,,Parana_Land_Downstream,,225.0,0,,,83.0,5,,,,37.758461,
1_1_LT05_225084_19840725,0.0,43.166977,,0.0,1984-07-25T13:13:42,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,67.278458,
1_1_LT05_225084_19840826,0.0,48.428318,,0.0,1984-08-26T13:14:39,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,59.115028,
1_1_LT05_225084_19841013,16.0,60.357712,,0.433622450133004,1984-10-13T13:14:43,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,42.920654,
1_1_LT05_225084_19841130,48.0,78.408867,,1.0,1984-11-30T13:14:32,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,35.047588,
1_1_LT05_225084_19841216,70.0,82.168549,,1.0,1984-12-16T13:14:44,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,35.673649,
1_1_LT05_225084_19850101,67.0,83.022102,,1.0,1985-01-01T13:14:52,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,37.431168,
1_1_LT05_225084_19850202,32.0,76.491531,,0.0,1985-02-02T13:15:02,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,42.626213,
1_1_LT05_225084_19850218,0.0,70.444527,,0.0,1985-02-18T13:15:04,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,45.677662,
1_1_LT05_225084_19850306,28.0,63.636665,,0.0,1985-03-06T13:15:04,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,49.007141,
1_1_LT05_225084_19850322,72.0,56.836494,,0.0,1985-03-22T13:15:02,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,52.630131,
1_1_LT05_225084_19850509,2.0,42.069305,,0.0,1985-05-09T13:14:43,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,63.969727,
1_1_LT05_225084_19850610,0.0,39.240459,,4.8039607243242455E-4,1985-06-10T13:14:44,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,68.982536,
1_1_LT05_225084_19850813,0.0,45.920494,,0.0,1985-08-13T13:14:18,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,62.969452,
1_1_LT05_225084_19850829,51.0,48.876366,,1.0,1985-08-29T13:14:07,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,58.211288,
1_1_LT05_225084_19851203,0.0,79.623276,,0.0,1985-12-03T13:12:49,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,35.435654,
1_1_LT05_225084_19860104,1.0,83.324997,,0.0,1986-01-04T13:12:13,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,38.348637,
1_1_LT05_225084_19860120,34.0,80.875191,,0.0,1986-01-20T13:11:54,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,40.91254,
1_1_LT05_225084_19860205,5.0,76.196686,,0.0,1986-02-05T13:11:33,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,43.807827,
1_1_LT05_225084_19860221,0.0,70.093674,,0.0,1986-02-21T13:11:10,,,,,Parana_Land_Downstream,,225.0,0,,,84.0,5,,,,46.960442,
