system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19840607,71.0,39.837528,,1.0,1984-06-07T13:12:24,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,67.737587,
1_1_LT05_225083_19840725,6.0,43.344799,,0.0,1984-07-25T13:13:18,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,66.062439,
1_1_LT05_225083_19840826,23.0,48.816509,207.0,0.0,1984-08-26T13:14:15,1.0,0.0,391.0,216.0,Parana_Land_Midstream,433.0,225.0,11,68.0,398.0,83.0,5,147.0,63.488008889295564,94.0,57.98624,
1_1_LT05_225083_19841013,29.0,61.427658,,0.0,1984-10-13T13:14:19,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,42.004684,
1_1_LT05_225083_19841130,83.0,80.204025,,0.0,1984-11-30T13:14:08,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,34.536121,
1_1_LT05_225083_19841216,94.0,83.958641,,1.0,1984-12-16T13:14:20,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,35.252548,
1_1_LT05_225083_19850101,7.0,84.697449,,0.0,1985-01-01T13:14:28,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,37.029823,
1_1_LT05_225083_19850202,42.0,77.798775,,0.0,1985-02-02T13:14:38,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,42.063713,
1_1_LT05_225083_19850218,9.0,71.538635,,0.0,1985-02-18T13:14:40,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,44.974365,
1_1_LT05_225083_19850509,3.0,42.293404,,0.0,1985-05-09T13:14:19,,,,,Parana_Land_Midstream,,225.0,0,,,83.0,5,,,,62.738949,
