system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19840607,71.0,39.837528,,1.0,1984-06-07T13:12:24,,,,,Parana_Water_Midstream,,225.0,0,,,83.0,5,,,,67.737587,
1_1_LT05_225083_19840826,23.0,48.816509,506.9999999999999,0.0,1984-08-26T13:14:15,1.0,0.0,914.0,216.0,Parana_Water_Midstream,433.0,225.0,162,68.0,998.9999999999999,83.0,5,68.0,26.589795467139282,37.0,57.98624,
1_1_LT05_225083_19841013,29.0,61.427658,551.9999999999998,0.0,1984-10-13T13:14:19,1.0,0.0,936.0,171.0,Parana_Water_Midstream,504.0,225.0,423,68.0,1036.0000000000002,83.0,5,75.00000000000003,22.013675121858146,65.99999999999999,42.004684,
1_1_LT05_225083_19841130,83.0,80.204025,689.0,0.0,1984-11-30T13:14:08,1.0,0.0,1066.0000000000002,145.0,Parana_Water_Midstream,854.0000000000005,225.0,1556,68.0,1206.0000000000002,83.0,5,204.00000000000003,29.780580393495207,123.00000000000007,34.536121,
1_1_LT05_225083_19841216,94.0,83.958641,,1.0,1984-12-16T13:14:20,,,,,Parana_Water_Midstream,,225.0,0,,,83.0,5,,,,35.252548,
1_1_LT05_225083_19850101,7.0,84.697449,934.0710158044976,0.0,1985-01-01T13:14:28,1.0,0.0,1449.0,154.0,Parana_Water_Midstream,1212.0,225.0,2330,66.00000000000001,1704.0,83.0,5,285.0,101.02919299546596,198.2022902784987,37.029823,
1_1_LT05_225083_19850202,42.0,77.798775,716.0000000000001,0.0,1985-02-02T13:14:38,1.0,0.0,1302.0000000000002,171.0,Parana_Water_Midstream,1194.0000000000007,225.0,1428,66.00000000000001,1683.0,83.0,5,46.00000000000001,20.779261656939877,24.000000000000007,42.063713,
1_1_LT05_225083_19850218,9.0,71.538635,702.9999999999997,0.0,1985-02-18T13:14:40,1.0,0.0,1286.9999999999995,180.0,Parana_Water_Midstream,1122.0,225.0,1206,68.0,1663.0000000000002,83.0,5,49.00000000000002,22.578538646592214,27.0,44.974365,
1_1_LT05_225083_19850509,3.0,42.293404,534.0,0.0,1985-05-09T13:14:19,1.0,0.0,905.0,227.0,Parana_Water_Midstream,457.0000000000003,225.0,984,68.0,1017.0000000000003,83.0,5,35.0,38.1731836267789,45.0,62.738949,
1_1_LT05_225083_19850610,0.0,39.358093,426.00000000000006,0.0,1985-06-10T13:14:20,1.0,0.0,742.0000000000007,236.0,Parana_Water_Midstream,399.0000000000002,225.0,1087,68.0,913.9999999999999,83.0,5,44.000000000000014,46.24313018971074,54.999999999999986,67.714172,
1_1_LT05_225083_19850728,27.0,43.538948,,1.0,1985-07-28T13:14:03,,,,,Parana_Water_Midstream,,225.0,0,,,83.0,5,,,,65.431381,
1_1_LT05_225083_19850813,0.0,46.203903,440.0000000000001,0.0,1985-08-13T13:13:54,1.0,0.0,731.0,225.0,Parana_Water_Midstream,374.0000000000002,225.0,2073,68.0,864.0,83.0,5,34.00000000000001,35.32935204904611,-20.000000000000004,61.794342,
1_1_LT05_225083_19850930,24.0,57.240284,570.7327907673044,0.5057442560946346,1985-09-30T13:13:21,1.0,0.0,936.9999999999999,184.0,Parana_Water_Midstream,472.0,225.0,1384,68.0,1014.3616649248333,83.0,5,72.0,86.69469332989979,65.0,46.302742,
1_1_LT05_225083_19851016,43.0,62.612297,884.9999999999999,0.9076434456928838,1985-10-16T13:13:10,1.0,0.0,1202.0,169.0,Parana_Water_Midstream,707.9999999999999,225.0,243,68.0,1274.9999999999998,83.0,5,149.0,94.00072172022682,98.99999999999996,41.374962,
1_1_LT05_225083_19851203,0.0,81.396614,628.0000000000002,0.0,1985-12-03T13:12:25,1.0,0.0,1036.0000000000002,146.0,Parana_Water_Midstream,632.0000000000008,225.0,2740,68.0,1173.0000000000002,83.0,5,112.0,28.787972340611788,90.00000000000003,34.957405,
1_1_LT05_225083_19860104,1.0,84.944817,712.0,0.0,1986-01-04T13:11:49,1.0,0.0,1265.9999999999998,157.0,Parana_Water_Midstream,731.0000000000003,225.0,1322,68.0,1439.0,83.0,5,67.00000000000003,21.061916784950682,23.0,37.954975,
1_1_LT05_225083_19860120,0.0,82.319763,810.0,0.0,1986-01-20T13:11:30,1.0,0.0,1425.0,165.0,Parana_Water_Midstream,1383.0000000000002,225.0,986,66.0,1837.9999999999998,83.0,5,42.0,21.827382348313556,24.0,40.457417,
1_1_LT05_225083_19860221,1.0,71.13073,675.9999999999999,0.0,1986-02-21T13:10:46,1.0,0.0,1239.0,184.0,Parana_Water_Midstream,774.9999999999999,225.0,846,68.0,1415.0000000000005,83.0,5,50.0,22.6195317683951,26.000000000000007,46.250023,
1_1_LT05_225083_19860309,81.0,64.181534,,1.0,1986-03-09T13:10:25,,,,,Parana_Water_Midstream,,225.0,0,,,83.0,5,,,,49.516716,
1_1_LT05_225083_19860325,22.0,57.366215,948.0000000000001,0.25879393496833375,1986-03-25T13:10:06,1.0,0.0,1624.0750208102108,204.0,Parana_Water_Midstream,1723.7480353236651,225.0,643,66.0,2124.8186914870453,83.0,5,92.65428826638941,65.09559725360695,80.00000000000001,53.064598,
1_1_LT05_225083_19860426,0.0,46.433418,526.0,0.0,1986-04-26T13:09:23,1.0,0.0,922.0,222.0,Parana_Water_Midstream,732.0768962122321,225.0,2263,68.0,1239.0000000000002,83.0,5,32.0,35.20918099975182,-19.0,60.600636,
