system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,1079.9999999999998,0.24458715296501488,1984-04-22T09:19:44,1.0,0.0,1486.9999999999993,162.0,Po_Water_Downstream,668.0,191.0,182,68.0,1372.0,29.0,5,109.99999999999996,24.078766211093996,81.0,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,944.9999999999997,0.0,1984-05-24T09:20:26,1.0,0.0,1146.9999999999998,135.0,Po_Water_Downstream,926.9999999999999,191.0,239,68.0,1078.0,29.0,5,57.999999999999986,25.393637393718965,42.99999999999998,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,1031.0,0.0,1984-06-09T09:20:47,1.0,0.0,1259.9999999999998,130.0,Po_Water_Downstream,803.0000000000002,191.0,239,68.0,1184.0,29.0,5,77.99999999999999,25.007578900574206,42.0,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,635.9999999999999,0.0,1984-06-25T09:21:01,1.0,0.0,930.0000000000002,130.0,Po_Water_Downstream,394.00000000000006,191.0,239,68.0,799.0,29.0,5,148.0,25.365600736835212,118.99999999999999,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,684.9999999999998,0.17643021716750837,1984-07-11T09:21:10,1.0,0.0,877.0000000000001,136.0,Po_Water_Downstream,539.9999999999999,191.0,197,68.0,616.0000000000001,29.0,5,179.00000000000003,20.70104783415911,112.99999999999999,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,,1.0,1984-08-28T09:22:37,,,,,Po_Water_Downstream,,191.0,0,,,29.0,5,,,,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,839.0,0.9868130790725037,1984-09-29T09:22:41,1.0,0.0,1094.0,,Po_Water_Downstream,347.0,191.0,2,68.0,709.0,29.0,5,66.0,0.0,66.0,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,1194.9999999999998,0.04776377927022569,1984-10-15T09:22:39,1.0,0.0,1360.0000000000016,214.0,Po_Water_Downstream,574.0,191.0,228,68.0,1091.9999999999998,29.0,5,113.99999999999999,35.159911205173415,74.99999999999999,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,,1.0,1984-10-31T09:22:33,,,,,Po_Water_Downstream,,191.0,0,,,29.0,5,,,,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1238.0,0.04041047763779273,1985-02-20T09:23:01,1.0,0.0,1302.0000000000002,224.0,Po_Water_Downstream,622.0000000000002,191.0,230,68.0,1040.0000000000002,29.0,5,230.99999999999991,36.513877259395244,153.99999999999997,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,,1.0,1985-03-24T09:22:58,,,,,Po_Water_Downstream,,191.0,0,,,29.0,5,,,,49.632679,
