system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198024_19840610,25.0,137.728882,814.0,0.0,1984-06-10T10:02:04,1.0,,959.0,,Rhine_Land_Midstream,1127.0,198.0,0,66.0,816.0,24.0,5,504.0,,191.0,34.190735,
1_1_LT05_198024_19840626,27.0,136.33696,475.0,2.043809046920745E-5,1984-06-26T10:02:18,1.0,,707.0,,Rhine_Land_Midstream,679.0,198.0,0,68.0,565.0,24.0,5,203.0,,124.0,34.251171,
1_1_LT05_198024_19840813,25.0,142.028244,734.0,0.06789022701608985,1984-08-13T10:03:33,1.0,,879.0,,Rhine_Land_Midstream,1354.0,198.0,0,66.0,731.0,24.0,5,462.0,,178.0,42.340488,
1_1_LT05_198024_19840829,64.0,146.19313,,1.0,1984-08-29T10:03:53,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,46.919323,
1_1_LT05_198024_19850205,6.0,152.243668,,0.4629380776954006,1985-02-05T10:04:16,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,71.645218,
1_1_LT05_198024_19850325,65.0,148.11377,714.0,0.26225646737825264,1985-03-25T10:04:14,1.0,0.0,795.0,,Rhine_Land_Midstream,629.0,198.0,2,68.0,804.0,24.0,5,461.0,36.0,272.0,54.168533,
1_1_LT05_198024_19850426,74.0,145.22908,,1.0,1985-04-26T10:04:04,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,42.499111,
1_1_LT05_198024_19850512,58.0,143.019531,,0.005559160607624426,1985-05-12T10:03:57,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,38.102528,
1_1_LT05_198024_19851003,67.0,154.664215,1196.0,0.0,1985-10-03T10:02:56,1.0,,1297.0,,Rhine_Land_Midstream,1295.0,198.0,0,66.0,1093.0,24.0,5,721.0,,449.0,58.656307,
1_1_LT05_198024_19851019,43.0,157.436508,305.0,0.0,1985-10-19T10:02:45,1.0,,536.0,,Rhine_Land_Midstream,294.0,198.0,0,68.0,337.0,24.0,5,264.0,,109.0,64.23214,
1_1_LT05_198024_19860208,26.0,151.002213,,0.11712047743379331,1986-02-08T10:00:42,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,71.135925,
1_1_LT05_198024_19860224,58.0,149.239258,,1.0,1986-02-24T10:00:19,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,65.821259,
1_1_LT05_198024_19860413,41.0,144.958633,,1.0,1986-04-13T09:59:19,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,47.479687,
1_1_LT05_198024_19860531,54.0,137.640854,,1.0,1986-05-31T09:58:03,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,35.520947,
1_1_LT05_198024_19860616,2.0,135.240967,,0.2669725567540222,1986-06-16T09:57:34,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,34.610783,
1_1_LT05_198024_19860702,18.0,134.136032,1151.0,0.19056475553489025,1986-07-02T09:57:02,1.0,,1274.0,,Rhine_Land_Midstream,1462.0,198.0,0,66.0,924.0,24.0,5,245.0,,222.0,35.296978,
1_1_LT05_198024_19860803,8.0,137.183609,,0.2990348111775914,1986-08-03T09:55:56,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,40.536369,
1_1_LT05_198024_19861107,83.0,156.757309,,1.0,1986-11-07T09:52:37,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,70.824066,
1_1_LT05_198024_19861123,72.0,157.198761,,1.0,1986-11-23T09:52:00,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,74.907135,
1_1_LT05_198024_19870211,51.0,149.333984,,1.0,1987-02-11T09:54:29,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,70.703354,
1_1_LT05_198024_19870502,40.0,142.269363,586.0,0.0,1987-05-02T09:57:18,1.0,0.0,904.0,169.0,Rhine_Land_Midstream,872.0,198.0,3,68.0,754.0,24.0,5,448.0,161.75495870812327,254.0,41.451126,
1_1_LT05_198024_19870705,0.0,135.036346,396.0,0.0,1987-07-05T09:58:49,1.0,0.0,642.0,,Rhine_Land_Midstream,762.0,198.0,1,66.0,475.0,24.0,5,308.0,0.0,161.0,35.224968,
1_1_LT05_198024_19870806,48.0,139.229538,767.0,0.012574535161179883,1987-08-06T09:59:38,1.0,0.0,966.0,166.0,Rhine_Land_Midstream,815.0,198.0,4,68.0,840.0,24.0,5,358.0,117.76751462096837,171.0,40.674664,
1_1_LT05_198024_19870822,77.0,143.215683,,1.0,1987-08-22T10:00:06,,,,,Rhine_Land_Midstream,,198.0,0,,,24.0,5,,,,44.842377,
