system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,,0.10793123656964249,1984-04-09T09:51:02,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,,0.0,1984-04-25T09:51:02,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,,0.0,1984-05-11T09:51:21,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,,0.0,1984-05-27T09:51:49,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,,0.0,1984-06-12T09:52:08,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,,0.0,1984-07-14T09:52:33,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,,0.0,1984-08-15T09:53:39,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,,0.0,1984-08-31T09:53:56,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,,0.0,1984-10-02T09:53:59,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,,0.4625903496776714,1984-10-18T09:53:56,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,,0.0,1984-11-19T09:53:45,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,,0.32364719671810893,1984-12-05T09:53:51,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,,0.1890017581558898,1984-12-21T09:54:02,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,,0.0,1985-03-27T09:54:16,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,,1.0,1985-04-12T09:54:12,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,,1.0,1985-05-14T09:53:59,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,,0.0,1985-05-30T09:54:00,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,,0.3859152178159796,1985-06-15T09:53:58,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,,0.35226606759132634,1985-07-01T09:53:54,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,,0.0,1985-08-02T09:53:40,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,,0.0,1985-08-18T09:53:30,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,,0.5125512795467864,1985-09-03T09:53:19,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,42.679077,
1_1_LT05_196030_19851106,37.0,155.052582,,0.0,1985-11-06T09:52:32,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,62.857735,
1_1_LT05_196030_19851122,48.0,155.823624,,1.0,1985-11-22T09:52:16,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,66.9897,
1_1_LT05_196030_19851208,95.0,155.29837,,1.0,1985-12-08T09:51:58,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,69.874725,
1_1_LT05_196030_19860109,6.0,151.438675,,0.0,1986-01-09T09:51:23,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,70.565567,
1_1_LT05_196030_19860125,4.0,148.848755,,0.44847626489548736,1986-01-25T09:51:02,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,68.188126,
1_1_LT05_196030_19860210,5.0,146.235718,,0.15632936120336002,1986-02-10T09:50:40,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,64.212303,
1_1_LT05_196030_19860226,71.0,143.734604,,1.0,1986-02-26T09:50:18,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,59.028572,
1_1_LT05_196030_19860314,71.0,141.278137,,0.0,1986-03-14T09:49:58,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,53.134396,
1_1_LT05_196030_19860330,36.0,138.680496,,1.0,1986-03-30T09:49:39,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,47.061062,
1_1_LT05_196030_19860501,1.0,131.872131,,0.4108224262551278,1986-05-01T09:48:55,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,36.554356,
