system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,773.0000000000001,0.10545189010157911,1984-04-09T09:51:02,1.0,0.0,993.0,174.0,Rhone_Water_Midstream,528.4267293019734,196.0,266,68.0,863.9999999999997,30.0,5,193.6782019761562,71.84627067790505,133.99999999999997,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,1197.0000000000002,0.0,1984-04-25T09:51:02,1.0,0.0,1363.0000000000014,156.0,Rhone_Water_Midstream,1048.9999999999998,196.0,293,68.0,1231.0000000000005,30.0,5,497.99999999999994,46.561709104375474,351.9999999999999,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,834.9999999999998,0.0,1984-05-11T09:51:21,1.0,0.0,1000.0000000000001,141.0,Rhone_Water_Midstream,731.9999999999997,196.0,293,68.0,914.9999999999994,30.0,5,247.99999999999994,45.715316426461854,192.0,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,798.0,0.0,1984-05-27T09:51:49,1.0,0.0,982.9999999999999,131.0,Rhone_Water_Midstream,619.0,196.0,293,68.0,869.9999999999999,30.0,5,298.00000000000006,69.95386777928368,224.99999999999994,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,626.0000000000001,0.0,1984-06-12T09:52:08,1.0,0.0,832.9999999999999,127.0,Rhone_Water_Midstream,424.01084283809803,196.0,292,68.0,718.9999999999999,30.0,5,96.99999999999996,60.58969100692382,84.0,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,590.9999999999999,0.0,1984-07-14T09:52:33,1.0,0.0,742.0000000000001,135.0,Rhone_Water_Midstream,463.0000000000003,196.0,284,68.0,608.8975826492956,30.0,5,259.9999999999999,34.334978279961454,229.99999999999997,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,626.0,0.9231180482207355,1984-08-15T09:53:39,1.0,0.0,735.0,156.0,Rhone_Water_Midstream,530.0,196.0,23,68.0,621.0,30.0,5,248.0,34.38808867503565,170.0,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,451.0,0.0,1984-08-31T09:53:56,1.0,0.0,581.9999999999999,170.0,Rhone_Water_Midstream,262.3086083168813,196.0,283,68.0,405.9999999999999,30.0,5,61.999999999999986,39.99484540199729,17.999999999999996,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,530.0,0.0,1984-10-02T09:53:59,1.0,0.0,702.0000000000003,200.0,Rhone_Water_Midstream,306.00000000000017,196.0,286,68.0,595.0000000000003,30.0,5,54.99999999999999,49.01049337692328,30.000000000000004,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,1212.9999999999998,0.5869942234218724,1984-10-18T09:53:56,1.0,0.0,1252.0000000000005,214.0,Rhone_Water_Midstream,846.0,196.0,121,68.0,1014.0000000000001,30.0,5,285.99999999999994,84.44083345284301,141.00000000000003,56.936581,
