system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,719.0,0.28314965859327995,1984-04-09T09:51:02,1.0,0.0,955.0,174.0,Rhone_Water_Upstream,658.0,196.0,137,68.0,830.0,30.0,5,166.00000000000003,30.074902497646672,95.0,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,,0.11873482348546172,1984-04-25T09:51:02,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,819.0,0.005292323018492,1984-05-11T09:51:21,1.0,0.0,1001.9999999999999,141.0,Rhone_Water_Upstream,990.9999999999999,196.0,188,66.0,885.0,30.0,5,372.99999999999994,48.51499140603051,260.99999999999994,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,847.9999999999999,0.5227362347716001,1984-05-27T09:51:49,1.0,0.0,948.0,131.0,Rhone_Water_Upstream,728.0,196.0,86,68.0,808.9999999999999,30.0,5,273.0,146.21555771719562,190.00000000000003,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,600.0,0.0,1984-06-12T09:52:08,1.0,0.0,827.9999999999999,127.0,Rhone_Water_Upstream,527.9999999999999,196.0,189,68.0,713.0000000000001,30.0,5,142.99999999999997,37.889925870358994,83.0,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,549.0,0.0,1984-07-14T09:52:33,1.0,0.0,713.0,135.0,Rhone_Water_Upstream,430.14337945372426,196.0,187,68.0,583.0,30.0,5,236.05530253741057,34.20294769693143,160.99999999999994,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,532.0,0.0,1984-08-15T09:53:39,1.0,0.0,617.9999999999999,156.0,Rhone_Water_Upstream,487.9999999999999,196.0,189,68.0,483.99999999999994,30.0,5,193.0,39.05083868517578,132.99999999999997,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,428.0,0.0,1984-08-31T09:53:56,1.0,0.0,540.9999999999999,170.0,Rhone_Water_Upstream,345.0,196.0,187,68.0,403.99999999999994,30.0,5,89.99999999999999,36.4151538182569,17.999999999999996,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,494.0,0.0,1984-10-02T09:53:59,1.0,0.0,695.0,200.0,Rhone_Water_Upstream,347.0,196.0,189,68.0,546.9999999999999,30.0,5,51.999999999999986,44.98550727931549,28.0,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,1610.0,0.9998339663366748,1984-10-18T09:53:56,1.0,,1676.0,,Rhone_Water_Upstream,1338.0,196.0,0,66.0,1432.0,30.0,5,548.0,,302.0,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,689.0,6.641346533009569E-4,1984-11-19T09:53:45,1.0,0.0,875.9999999999998,233.0,Rhone_Water_Upstream,492.36400924509246,196.0,189,68.0,735.0,30.0,5,136.19335347432025,50.474495551279986,119.99999999999997,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,811.9999999999998,0.27928937592096814,1984-12-05T09:53:51,1.0,0.0,1041.9999999999998,239.0,Rhone_Water_Upstream,484.0,196.0,136,68.0,932.3760712087497,30.0,5,101.00000000000001,44.050782663730246,56.00000000000001,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,647.9999999999998,0.2274868729634934,1984-12-21T09:54:02,1.0,0.0,762.0,241.0,Rhone_Water_Upstream,529.0,196.0,145,68.0,692.9999999999999,30.0,5,233.9999999999999,74.38200593008443,150.99999999999991,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,457.0,0.0,1985-03-27T09:54:16,1.0,0.0,619.9999999999997,188.0,Rhone_Water_Upstream,262.75727586206904,196.0,189,68.0,487.9999999999999,30.0,5,75.99999999999997,36.46894398020724,67.99999999999997,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,,1.0,1985-04-12T09:54:12,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,1114.0,0.9732270717888052,1985-05-14T09:53:59,1.0,0.0,1373.0,149.0,Rhone_Water_Upstream,950.0,196.0,5,68.0,1279.0,30.0,5,123.0,12.24744871391589,50.0,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,487.99999999999994,0.0,1985-05-30T09:54:00,1.0,0.0,650.0000000000001,129.0,Rhone_Water_Upstream,456.74111269854603,196.0,187,68.0,559.0000000000001,30.0,5,70.68374695324617,41.69436996426264,48.0,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,829.0,0.7495797272897081,1985-06-15T09:53:58,1.0,0.0,1037.0,126.0,Rhone_Water_Upstream,898.0,196.0,47,68.0,903.0,30.0,5,536.0,31.352809155152652,429.0,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,690.0,0.2627067637963599,1985-07-01T09:53:54,1.0,0.0,842.0,129.0,Rhone_Water_Upstream,712.9999999999999,196.0,139,68.0,696.9999999999999,30.0,5,187.0,26.02691969146262,83.00000000000001,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,425.99999999999994,0.0,1985-08-02T09:53:40,1.0,0.0,586.9999999999999,146.0,Rhone_Water_Upstream,357.2079727490333,196.0,189,68.0,464.0,30.0,5,187.99999999999994,36.305477266057984,128.0,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,403.99999999999994,0.0,1985-08-18T09:53:30,1.0,0.0,523.9999999999999,159.0,Rhone_Water_Upstream,305.29205563853617,196.0,189,68.0,401.99999999999994,30.0,5,173.0,29.14397622470495,136.0,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,,0.9679970113940605,1985-09-03T09:53:19,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,42.679077,
1_1_LT05_196030_19851106,37.0,155.052582,375.00000000000006,0.0,1985-11-06T09:52:32,1.0,0.0,399.0,227.0,Rhone_Water_Upstream,225.90043839409321,196.0,189,68.0,284.99999999999994,30.0,5,117.99999999999996,43.371350521736545,40.0,62.857735,
1_1_LT05_196030_19851122,48.0,155.823624,,1.0,1985-11-22T09:52:16,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,66.9897,
1_1_LT05_196030_19851208,95.0,155.29837,,1.0,1985-12-08T09:51:58,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,69.874725,
1_1_LT05_196030_19860109,6.0,151.438675,477.99999999999994,0.0,1986-01-09T09:51:23,1.0,0.0,522.9999999999999,240.0,Rhone_Water_Upstream,245.0,196.0,189,68.0,386.00000000000006,30.0,5,46.0,58.173612576410996,58.99999999999999,70.565567,
1_1_LT05_196030_19860125,4.0,148.848755,730.0,0.3961770749019366,1986-01-25T09:51:02,1.0,0.0,1001.0,237.0,Rhone_Water_Upstream,511.0,196.0,115,68.0,953.0,30.0,5,89.0,40.921535874141824,49.0,68.188126,
1_1_LT05_196030_19860210,5.0,146.235718,,1.0,1986-02-10T09:50:40,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,64.212303,
1_1_LT05_196030_19860226,71.0,143.734604,,1.0,1986-02-26T09:50:18,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,59.028572,
1_1_LT05_196030_19860314,71.0,141.278137,1367.0,0.9034306705684578,1986-03-14T09:49:58,1.0,0.0,1570.0,204.0,Rhone_Water_Upstream,1081.0,196.0,18,68.0,1421.0,30.0,5,379.0,45.449062520041174,264.0,53.134396,
1_1_LT05_196030_19860330,36.0,138.680496,,1.0,1986-03-30T09:49:39,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,47.061062,
1_1_LT05_196030_19860501,1.0,131.872131,763.0,0.7554531681298383,1986-05-01T09:48:55,1.0,0.0,1067.0,152.0,Rhone_Water_Upstream,813.0,196.0,47,68.0,1013.0,30.0,5,106.0,28.03966342906114,41.0,36.554356,
1_1_LT05_196030_19860517,28.0,127.581329,616.0,0.0971089388373493,1986-05-17T09:48:30,1.0,0.0,752.0000000000001,139.0,Rhone_Water_Upstream,648.0388198757764,196.0,171,68.0,678.0,30.0,5,112.49195962408632,40.48655298499685,82.00000000000001,33.067047,
1_1_LT05_196030_19860602,5.0,123.477821,696.0000000000001,0.02972002573521782,1986-06-02T09:48:02,1.0,0.0,906.0000000000001,132.0,Rhone_Water_Upstream,665.9816030589423,196.0,184,68.0,810.9999999999998,30.0,5,303.0,51.19225474511217,226.00000000000003,31.146187,
1_1_LT05_196030_19860618,6.0,120.752914,626.0,0.0,1986-06-18T09:47:32,1.0,0.0,766.9999999999999,131.0,Rhone_Water_Upstream,579.9999999999999,196.0,189,68.0,627.9999999999999,30.0,5,170.99999999999997,34.85808250388738,120.99999999999997,30.800655,
1_1_LT05_196030_19860821,0.0,131.44603,400.9999999999999,0.0,1986-08-21T09:45:18,1.0,0.0,548.0,165.0,Rhone_Water_Upstream,278.99999999999994,196.0,189,68.0,419.9999999999999,30.0,5,124.99999999999996,35.232926198250446,101.00000000000001,40.261459,
1_1_LT05_196030_19860906,15.0,137.19696,,1.0,1986-09-06T09:44:42,,,,,Rhone_Water_Upstream,,196.0,0,,,30.0,5,,,,44.528744,
1_1_LT05_196030_19861008,1.0,147.289703,408.0,0.0,1986-10-08T09:43:42,1.0,0.0,461.0,208.0,Rhone_Water_Upstream,300.89161801960563,196.0,187,68.0,336.0,30.0,5,84.40711124522228,40.635071931662196,77.0,54.495495,
1_1_LT05_196030_19861109,1.0,152.721802,440.99999999999994,0.0,1986-11-09T09:42:34,1.0,0.0,523.9999999999999,230.0,Rhone_Water_Upstream,276.2927507692308,196.0,186,68.0,381.0,30.0,5,67.99999999999999,49.723832063547,36.99999999999999,64.467896,
1_1_LT05_196030_19861211,1.0,152.980499,790.9999999999999,0.08718842745366624,1986-12-11T09:42:32,1.0,0.0,864.0,241.0,Rhone_Water_Upstream,502.0,196.0,173,68.0,678.0,30.0,5,99.0,59.40227963882264,55.0,70.945023,
1_1_LT05_196030_19861227,4.0,151.493744,689.9999999999998,0.2271340514289273,1986-12-27T09:43:02,1.0,0.0,970.9960337134356,242.0,Rhone_Water_Upstream,449.0,196.0,147,68.0,927.9999999999999,30.0,5,49.00000000000001,54.7110779465341,61.99999999999999,71.862595,
1_1_LT05_196030_19870112,13.0,149.335144,789.0,0.49861984517360913,1987-01-12T09:43:30,1.0,0.0,1050.0,241.0,Rhone_Water_Upstream,567.0,196.0,95,68.0,1005.0,30.0,5,93.0,49.57486182741971,51.99999999999999,70.948631,
