system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_214067_19840610,21.0,46.519009,489.0,0.0,1984-06-10T11:58:05,1.0,0.0,800.6985533453886,191.0,Sao_Water_Midstream,279.9999999999999,214.0,163,68.0,536.0,67.0,5,78.99999999999997,79.10752652407338,24.999999999999996,48.546127,
1_1_LT05_214067_19840930,14.0,80.215546,,1.0,1984-09-30T11:59:58,,,,,Sao_Water_Midstream,,214.0,0,,,67.0,5,,,,33.955833,
1_1_LT05_214067_19841219,8.0,116.164658,548.9999999999999,0.0,1984-12-19T11:59:59,1.0,0.0,797.9999999999998,150.0,Sao_Water_Midstream,362.6085754736061,214.0,161,68.0,514.662674437256,67.0,5,214.00000000000006,107.20241822750228,128.0,36.039135,
1_1_LT05_214067_19850205,12.0,102.760902,948.0,0.9923934995564447,1985-02-05T12:00:17,1.0,0.0,1607.0,159.0,Sao_Water_Midstream,764.0,214.0,1,68.0,1845.0,67.0,5,94.0,0.0,60.0,38.651665,
1_1_LT05_214067_19860515,12.0,51.140099,426.0,0.6982125667692191,1986-05-15T11:54:31,1.0,0.0,622.0,184.0,Sao_Water_Midstream,241.0,214.0,60,68.0,395.0,67.0,5,68.0,70.76012687633873,65.0,46.096363,
1_1_LT05_214067_19860531,32.0,48.145576,413.99999999999983,0.0,1986-05-31T11:54:04,1.0,0.0,653.9999999999998,190.0,Sao_Water_Midstream,230.00000000000003,214.0,180,68.0,410.0,67.0,5,80.0,56.070078231080664,24.999999999999993,48.247364,
1_1_LT05_214067_19860616,24.0,47.301075,496.9367716340193,0.0,1986-06-16T11:53:34,1.0,0.0,759.0,195.0,Sao_Water_Midstream,265.13848382728094,214.0,187,68.0,487.0,67.0,5,74.0,53.091696034535396,70.99999999999999,49.763401,
1_1_LT05_214067_19860718,20.0,50.927197,404.0,0.0,1986-07-18T11:52:30,1.0,0.0,674.0,194.0,Sao_Water_Midstream,223.99999999999994,214.0,183,68.0,413.99999999999983,67.0,5,76.99999999999999,75.3286840605918,24.000000000000004,49.609577,
1_1_LT05_214067_19860803,39.0,54.907166,,1.0,1986-08-03T11:51:56,,,,,Sao_Water_Midstream,,214.0,0,,,67.0,5,,,,47.755547,
1_1_LT05_214067_19860819,10.0,60.189785,400.99999999999983,0.0,1986-08-19T11:51:21,1.0,0.0,597.9999999999999,180.0,Sao_Water_Midstream,214.0,214.0,181,68.0,340.99999999999994,67.0,5,74.0,52.3277013988714,24.0,44.929565,
