system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_214067_19840610,21.0,46.519009,466.9999999999999,0.0,1984-06-10T11:58:05,1.0,0.0,799.9999999999998,191.0,Sao_Water_Upstream,329.9830317413229,214.0,118,68.0,494.87247507031447,67.0,5,113.00000000000001,88.00099280276196,72.99999999999997,48.546127,
1_1_LT05_214067_19840930,14.0,80.215546,,1.0,1984-09-30T11:59:58,,,,,Sao_Water_Upstream,,214.0,0,,,67.0,5,,,,33.955833,
1_1_LT05_214067_19841219,8.0,116.164658,477.0,0.9998790992897084,1984-12-19T11:59:59,1.0,,614.0,,Sao_Water_Upstream,385.0,214.0,0,68.0,469.0,67.0,5,309.0,,233.0,36.039135,
1_1_LT05_214067_19850205,12.0,102.760902,1078.0,0.007435393682937886,1985-02-05T12:00:17,1.0,0.0,1784.8212277769337,159.0,Sao_Water_Upstream,915.9947336844209,214.0,125,68.0,2067.0,67.0,5,170.37169694467386,128.7571640569953,95.99999999999999,38.651665,
1_1_LT05_214067_19860515,12.0,51.140099,,1.0,1986-05-15T11:54:31,,,,,Sao_Water_Upstream,,214.0,0,,,67.0,5,,,,46.096363,
1_1_LT05_214067_19860531,32.0,48.145576,398.99999999999994,0.0,1986-05-31T11:54:04,1.0,0.0,702.0,190.0,Sao_Water_Upstream,282.397494729009,214.0,122,68.0,452.99999999999994,67.0,5,113.99999999999997,46.49956581592569,72.99999999999999,48.247364,
1_1_LT05_214067_19860616,24.0,47.301075,,1.0,1986-06-16T11:53:34,,,,,Sao_Water_Upstream,,214.0,0,,,67.0,5,,,,49.763401,
1_1_LT05_214067_19860718,20.0,50.927197,384.99999999999994,0.0,1986-07-18T11:52:30,1.0,0.0,628.9999999999999,194.0,Sao_Water_Upstream,226.0,214.0,121,68.0,372.7565854191716,67.0,5,77.99999999999999,50.44105044209055,24.0,49.609577,
1_1_LT05_214067_19860803,39.0,54.907166,,1.0,1986-08-03T11:51:56,,,,,Sao_Water_Upstream,,214.0,0,,,67.0,5,,,,47.755547,
1_1_LT05_214067_19860819,10.0,60.189785,397.0000000000001,0.0,1986-08-19T11:51:21,1.0,0.0,637.0000000000001,180.0,Sao_Water_Upstream,257.05004035512513,214.0,122,68.0,338.0005626670418,67.0,5,105.0,56.95357779970497,67.99999999999999,44.929565,
