system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,,1.0,1984-04-08T09:04:35,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,,1.0,1984-04-24T09:04:35,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,496.0,0.0,1984-08-30T09:07:29,1.0,0.0,552.0,193.0,Vistula_Water_Downstream,616.0,189.0,56,66.0,471.0,22.0,5,290.0,95.13542810710662,203.0,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,605.5113070141817,0.30234965494577726,1984-11-18T09:07:18,1.0,0.0,633.0722668640304,247.0,Vistula_Water_Downstream,566.3286419301772,189.0,154,68.0,651.0,22.0,5,140.17298701298702,69.32487391280135,78.0,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,1916.0,0.9958100558659218,1985-02-06T09:07:51,1.0,0.0,1742.0,245.0,Vistula_Water_Downstream,994.0,189.0,1,68.0,1541.0,22.0,5,399.0,0.0,169.0,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,,1.0,1985-04-11T09:07:45,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,44.178322,
1_1_LT05_189022_19850513,12.0,146.506866,,1.0,1985-05-13T09:07:32,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,39.788902,
1_1_LT05_189022_19850529,3.0,144.281204,403.0,0.0,1985-05-29T09:07:33,1.0,0.0,520.0,153.0,Vistula_Water_Downstream,720.027446300716,189.0,208,66.0,429.0,22.0,5,141.99999999999997,31.08284250495553,83.99999999999999,36.865768,
1_1_LT05_189022_19850614,44.0,142.175186,,1.0,1985-06-14T09:07:31,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.60957,
1_1_LT05_189022_19850817,21.0,146.164932,1150.0,0.0,1985-08-17T09:07:04,1.0,0.0,1262.0,181.0,Vistula_Water_Downstream,1461.0,189.0,2,66.0,1008.0,22.0,5,315.0,34.0,181.0,45.213974,
1_1_LT05_189022_19850902,13.0,149.824951,424.0,0.0,1985-09-02T09:06:53,1.0,0.0,570.0,196.0,Vistula_Water_Downstream,502.3980021851101,189.0,218,68.0,438.9999999999999,22.0,5,169.00000000000003,50.41047902893077,65.99999999999999,50.121548,
1_1_LT05_189022_19850918,21.0,153.525879,,1.0,1985-09-18T09:06:40,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,55.570332,
1_1_LT05_189022_19851004,8.0,156.785492,951.9999999999999,0.0,1985-10-04T09:06:30,1.0,0.0,1038.0,224.0,Vistula_Water_Downstream,976.0000000000001,189.0,225,68.0,847.9999999999999,22.0,5,365.0,68.60411390320878,156.0,61.282249,
1_1_LT05_189022_19851020,31.0,159.242844,,1.0,1985-10-20T09:06:20,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,66.930695,
1_1_LT05_189022_19851105,58.0,160.653076,,1.0,1985-11-05T09:06:06,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,72.104576,
1_1_LT05_189022_19860225,17.0,150.943558,,1.0,1986-02-25T09:03:53,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,67.609375,
1_1_LT05_189022_19860414,17.0,147.6754,860.0000000000001,0.029231022017745644,1986-04-14T09:02:53,1.0,0.0,859.9999999999999,193.0,Vistula_Water_Downstream,545.0,189.0,226,68.0,723.9999999999999,22.0,5,110.99999999999997,88.94618551292523,70.99999999999999,49.099976,
1_1_LT05_189022_19860430,31.0,146.133469,810.0,0.8391554387117978,1986-04-30T09:02:30,1.0,0.0,926.0,177.0,Vistula_Water_Downstream,973.0,189.0,39,66.0,806.0,22.0,5,426.0,24.187085844113433,259.0,43.80909,
1_1_LT05_189022_19860516,7.0,144.023727,336.0,0.24424909628655936,1986-05-16T09:02:04,1.0,0.0,424.99999999999994,163.0,Vistula_Water_Downstream,479.0,189.0,121,66.0,338.0,22.0,5,136.0,75.18708310620967,54.0,39.707794,
1_1_LT05_189022_19860617,2.0,139.435867,273.0,0.9625205389418338,1986-06-17T09:01:07,1.0,0.0,329.0,151.0,Vistula_Water_Downstream,457.0,189.0,7,66.0,268.0,22.0,5,128.0,66.50978138896684,89.0,36.219143,
1_1_LT05_189022_19860703,0.0,138.367447,410.9999999999999,0.0,1986-07-03T09:00:35,1.0,0.0,494.0,153.0,Vistula_Water_Downstream,696.0000000000001,189.0,209,66.0,374.0,22.0,5,175.99999999999997,32.349088742981884,86.0,36.94841,
1_1_LT05_189022_19860804,1.0,140.931137,500.99999999999994,0.0,1986-08-04T08:59:29,1.0,0.0,574.0,172.0,Vistula_Water_Downstream,773.9999999999999,189.0,212,66.0,430.99999999999994,22.0,5,196.4401108380823,37.1018519020324,94.99999999999999,42.442657,
1_1_LT05_189022_19870316,9.0,148.65242,,1.0,1987-03-16T08:59:20,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,60.636631,
1_1_LT05_189022_19870503,25.0,145.531464,,1.0,1987-05-03T09:00:55,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,43.045914,
1_1_LT05_189022_19870519,60.0,143.640884,,1.0,1987-05-19T09:01:21,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,39.104572,
1_1_LT05_189022_19870620,9.0,139.815933,446.99999999999994,0.0,1987-06-20T09:02:06,1.0,0.0,581.0,150.0,Vistula_Water_Downstream,882.9999999999999,189.0,206,66.0,402.00000000000006,22.0,5,115.0,30.464116593940236,32.0,36.011799,
1_1_LT05_189022_19870706,0.0,139.300415,154.0,0.0,1987-07-06T09:02:25,1.0,0.0,249.0,153.0,Vistula_Water_Downstream,278.0,189.0,205,68.0,194.00000000000003,22.0,5,55.00000000000001,32.452979210041356,16.0,36.917374,
1_1_LT05_189022_19870823,0.0,146.493698,218.99999999999997,0.0,1987-08-23T09:03:42,1.0,0.0,261.0,187.0,Vistula_Water_Downstream,243.99999999999994,189.0,210,68.0,181.0,22.0,5,68.65947134081047,36.55859769957865,64.99999999999999,47.030048,
1_1_LT05_189022_19871010,1.0,157.431061,434.0,0.0,1987-10-10T09:04:48,1.0,0.0,481.0,228.0,Vistula_Water_Downstream,400.08494081869935,189.0,216,68.0,354.00000000000006,22.0,5,110.0,49.739876986722855,35.0,63.294743,
1_1_LT05_189022_19871026,35.0,159.701218,,1.0,1987-10-26T09:05:02,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,68.761101,
1_1_LT05_189022_19880215,76.0,152.673203,,1.0,1988-02-15T09:07:02,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,71.022751,
1_1_LT05_189022_19880505,24.0,147.429733,346.0,0.0,1988-05-05T09:07:43,1.0,0.0,450.0,170.0,Vistula_Water_Downstream,430.19383146874685,189.0,219,68.0,351.0,22.0,5,74.00000000000001,46.52189968150508,51.0,41.720425,
1_1_LT05_189022_19880606,72.0,143.284149,,1.0,1988-06-06T09:07:57,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.967506,
1_1_LT05_189022_19880708,44.0,141.203384,,1.0,1988-07-08T09:08:06,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,36.767685,
1_1_LT05_189022_19880724,24.0,142.37146,457.0,0.0,1988-07-24T09:08:09,1.0,0.0,535.0,162.0,Vistula_Water_Downstream,782.0,189.0,210,66.0,360.99999999999994,22.0,5,130.99999999999994,33.81365803026574,35.99999999999999,39.334282,
1_1_LT05_189022_19880809,15.0,144.943939,,1.0,1988-08-09T09:08:08,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,43.007069,
1_1_LT05_189022_19880825,26.0,148.421814,,1.0,1988-08-25T09:08:13,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,47.568146,
1_1_LT05_189022_19880910,32.0,152.207535,315.99999999999994,0.0,1988-09-10T09:08:12,1.0,0.0,408.99999999999994,203.0,Vistula_Water_Downstream,324.04314651150025,189.0,215,68.0,338.99999999999994,22.0,5,75.0,40.79986903339567,22.0,52.787971,
1_1_LT05_189022_19881012,99.0,158.658875,,1.0,1988-10-12T09:07:59,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,64.128883,
1_1_LT05_189022_19881028,59.0,160.611023,,1.0,1988-10-28T09:07:59,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,69.586929,
1_1_LT05_189022_19890321,17.0,150.269745,946.0,0.07540256325994085,1989-03-21T09:06:26,1.0,0.0,1039.9999999999998,216.0,Vistula_Water_Downstream,874.0,189.0,210,68.0,831.9999999999999,22.0,5,329.0,47.528301390924625,175.99999999999994,57.934719,
1_1_LT05_189022_19890406,84.0,149.373657,,1.0,1989-04-06T09:06:34,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,51.672638,
1_1_LT05_189022_19890508,81.0,146.473999,,1.0,1989-05-08T09:06:07,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,41.178646,
1_1_LT05_189022_19890524,0.0,144.252808,250.0,0.0,1989-05-24T09:05:49,1.0,0.0,385.99999999999994,156.0,Vistula_Water_Downstream,322.0,189.0,217,68.0,276.9999999999999,22.0,5,59.0,33.3941725717082,17.999999999999996,37.790859,
1_1_LT05_189022_19890625,59.0,140.31163,,1.0,1989-06-25T09:05:11,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.962955,
1_1_LT05_189022_19890711,60.0,140.054596,871.0,0.3288202431810714,1989-07-11T09:04:53,1.0,0.0,896.0,155.0,Vistula_Water_Downstream,1013.9999999999998,189.0,153,66.0,720.0,22.0,5,266.0,63.543636617200704,128.46449404993388,37.453228,
1_1_LT05_189022_19890727,2.0,141.414932,352.99999999999994,0.0,1989-07-27T09:04:34,1.0,0.0,402.0000000000001,165.0,Vistula_Water_Downstream,421.9841005346109,189.0,217,68.0,322.0,22.0,5,116.00000000000001,43.04910036158544,57.00000000000002,40.25127,
1_1_LT05_189022_19890812,62.0,144.107727,,1.0,1989-08-12T09:04:12,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,44.109318,
1_1_LT05_189022_19890913,29.0,151.354233,278.0,0.0,1989-09-13T09:03:20,1.0,0.0,325.0,207.0,Vistula_Water_Downstream,308.70049994792197,189.0,214,68.0,255.0,22.0,5,86.01104469854471,41.80308747098393,26.999999999999996,54.086033,
1_1_LT05_189022_19900324,87.0,147.576477,,1.0,1990-03-24T08:57:41,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,57.518806,
1_1_LT05_189022_19900409,0.0,146.540329,260.0,0.0,1990-04-09T08:57:34,1.0,0.0,386.0,199.0,Vistula_Water_Downstream,268.08389119566135,189.0,215,68.0,272.0,22.0,5,75.99999999999999,48.215068031574376,24.0,51.299553,
