system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,873.0,0.6287482262079238,1984-04-08T09:04:35,1.0,0.0,1008.0,198.0,Vistula_Water_Midstream,983.0,189.0,113,68.0,894.0,22.0,5,428.00000000000006,46.69459781171234,252.99999999999997,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,,1.0,1984-04-24T09:04:35,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,,1.0,1984-08-30T09:07:29,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,630.9689462665737,0.42226719705957666,1984-11-18T09:07:18,1.0,0.0,742.9963524450017,247.0,Vistula_Water_Midstream,552.0,189.0,194,68.0,634.4848988017771,22.0,5,216.2127920675437,74.07575786363262,75.99999999999999,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,,1.0,1985-02-06T09:07:51,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,555.9999999999999,1.3957708144322713E-4,1985-04-11T09:07:45,1.0,0.0,661.0000000000002,194.00000000000009,Vistula_Water_Midstream,511.00000000000017,189.0,335,68.0,595.9999999999999,22.0,5,251.99999999999997,52.61195850534246,152.0,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Water_Midstream,,189.0,0,,,22.0,5,,,,44.178322,
