system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_192056_19861113,11.0,127.081535,,1.0,1986-11-13T09:28:03,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,39.953568,
1_1_LT05_192056_19910519,79.0,64.321213,621.9999999999999,0.009239054737917266,1991-05-19T09:32:00,1.0,0.0,696.0,151.0,Volta_Water_Midstream,747.0,192.0,84,68.0,598.0,56.0,5,417.0,39.93267434978044,293.0,36.407387,
1_1_LT05_192056_19910604,10.0,60.301178,568.9999999999999,0.0,1991-06-04T09:32:16,1.0,0.0,711.9999999999999,156.0,Volta_Water_Midstream,884.0,192.0,129,66.0,643.0000000000001,56.0,5,479.99999999999994,22.34499586515832,298.00000000000006,37.633163,
1_1_LT05_192056_19911010,6.0,110.662811,728.0000000000002,0.0,1991-10-10T09:33:34,1.0,0.0,732.9999999999999,143.0,Volta_Water_Midstream,823.9999999999999,192.0,140,66.0,603.0,56.0,5,300.0,35.27674481141637,158.99999999999994,34.155865,
1_1_LT05_192056_19911026,15.0,120.457787,686.9999999999998,0.0,1991-10-26T09:33:39,1.0,0.0,754.0,149.0,Volta_Water_Midstream,731.9999999999999,192.0,130,68.0,583.0,56.0,5,242.0,23.90738540541559,117.99999999999997,35.854271,
1_1_LT05_192056_19911111,18.0,127.539368,,1.0,1991-11-11T09:33:43,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,38.442986,
1_1_LT05_193056_19841114,31.0,130.0849,660.8069414316702,0.22673084457379525,1984-11-14T09:45:33,1.0,0.0,726.034040849019,157.0,Volta_Water_Midstream,609.0000000000001,193.0,107,68.0,595.0000000000002,56.0,5,300.0,86.38192225384935,207.00000000000003,37.917271,
1_1_LT05_193056_19860205,70.0,120.660416,,1.0,1986-02-05T09:42:37,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,43.325077,
1_1_LT05_193056_19860309,56.0,104.748329,,1.0,1986-03-09T09:41:53,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,38.564148,
1_1_LT05_193056_19860410,49.0,84.471664,,0.4799350758381373,1986-04-10T09:41:14,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,34.911121,
1_1_LT05_193056_19861222,16.0,131.123703,,0.9176134773604971,1986-12-22T09:34:42,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,45.705654,
1_1_LT05_193056_19870107,56.0,128.673477,874.0,0.7984832372530365,1987-01-07T09:35:10,1.0,0.0,990.0,186.0,Volta_Water_Midstream,1117.0,193.0,19,66.0,915.0,56.0,5,717.0,36.949317687372016,443.0,46.468174,
1_1_LT05_193056_19870123,18.0,124.39743,683.9999999999999,0.0,1987-01-23T09:35:37,1.0,0.0,810.9999999999999,183.0,Volta_Water_Midstream,793.0,193.0,136,68.0,722.0,56.0,5,384.99999999999994,56.068547683704615,268.99999999999994,45.977844,
1_1_LT05_193056_19870328,81.0,92.975822,,1.0,1987-03-28T09:38:02,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,36.846146,
1_1_LT05_193056_19981121,25.0,133.967346,558.0,0.0,1998-11-21T09:54:43,1.0,0.0,554.0000000000001,155.0,Volta_Water_Midstream,530.0000000000001,193.0,139,68.0,511.0,56.0,5,257.99999999999994,36.26051869576779,162.99999999999994,37.502449,
