system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_078016_19850924,46.0,161.792526,,0.3813329096214884,1985-09-24T21:38:12,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,64.747269,
1_1_LT05_078016_19860607,45.0,152.603836,,1.0,1986-06-07T21:33:01,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,42.206844,
1_1_LT05_078016_19950904,40.0,150.53598,,0.8744637396962451,1995-09-04T21:11:29,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,58.675117,
1_1_LT05_078016_19950920,35.0,153.344254,,0.1386835996388114,1995-09-20T21:10:42,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,64.366302,
1_1_LT05_078016_20050510,11.0,162.732559,,0.9995058848149684,2005-05-10T21:56:18,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,45.901428,
1_1_LT05_078016_20050627,9.0,159.283493,,0.0029627534035816566,2005-06-27T21:56:38,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,40.75771,
1_1_LT05_078016_20050713,92.0,158.815659,,1.0,2005-07-13T21:56:47,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,42.416069,
1_1_LT05_078016_20050830,69.0,163.258026,,1.0,2005-08-30T21:57:09,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,55.061852,
1_1_LT05_078016_20051001,74.0,167.954285,,1.0,2005-10-01T21:57:06,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,66.880219,
1_1_LT05_078016_20060411,63.0,164.306717,,1.0,2006-04-11T22:00:41,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,55.12035,
1_1_LT05_078016_20060529,2.0,163.327286,607.9999999999999,0.0,2006-05-29T22:01:20,1.0,0.0,778.9999999999999,170.00000000000003,Yukon_Land_Midstream,773.0000000000003,78.0,635,68.0,826.9999999999999,16.0,5,459.0,172.61058720585373,299.0,41.92326,
1_1_LT05_078016_20060614,79.0,162.04332,,1.0,2006-06-14T22:01:36,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,40.442936,
1_1_LT05_078016_20070703,30.0,161.095032,,1.0,2007-07-03T22:02:49,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,40.914696,
1_1_LT05_078016_20070820,74.0,163.400467,,0.0,2007-08-20T22:02:19,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,51.383247,
1_1_LT05_078016_20070905,70.0,165.632355,,0.0,2007-09-05T22:02:11,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,56.841351,
1_1_LT05_078016_20080502,46.0,163.315948,,1.0,2008-05-02T21:57:52,,,,,Yukon_Land_Midstream,,78.0,0,,,16.0,5,,,,48.011467,
1_1_LT05_078016_20080518,40.0,162.517654,724.0,0.8175823622193716,2008-05-18T21:57:28,1.0,0.0,785.0,177.0,Yukon_Land_Midstream,992.0,78.0,11,66.0,864.0,16.0,5,495.0,69.0715283822346,305.0,43.965553,
