system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_077017_19950828,4.0,147.760315,274.0,0.019635054455912546,1995-08-28T21:06:02,1.0,0.0,216.0,210.0,Yukon_Land_Upstream,365.0,77.0,5,68.0,166.0,17.0,5,122.0,40.20447736260229,80.0,55.371223,
1_1_LT05_077017_19950913,84.0,150.740982,,1.0,1995-09-13T21:05:16,,,,,Yukon_Land_Upstream,,77.0,0,,,17.0,5,,,,60.836143,
1_1_LT05_077017_19950929,6.0,153.577026,369.0,0.0,1995-09-29T21:04:27,1.0,0.0,353.0,234.0,Yukon_Land_Upstream,220.0,77.0,25,68.0,262.0,17.0,5,148.0,65.20952077726075,129.0,66.628632,
1_1_LT05_077017_20080511,66.0,161.288254,,1.0,2008-05-11T21:51:51,,,,,Yukon_Land_Upstream,,77.0,0,,,17.0,5,,,,44.401257,
1_1_LT05_078016_19850924,46.0,161.792526,528.0,0.5862087895154515,1985-09-24T21:38:12,1.0,0.0,554.0,229.0,Yukon_Land_Upstream,458.0,78.0,4,68.0,394.0,16.0,5,128.0,116.55980224760164,112.0,64.747269,
1_1_LT05_078016_19860607,45.0,152.603836,,1.0,1986-06-07T21:33:01,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,42.206844,
1_1_LT05_078016_19950904,40.0,150.53598,267.0,5.778520852755583E-5,1995-09-04T21:11:29,1.0,0.0,235.0,218.0,Yukon_Land_Upstream,319.0,78.0,18,68.0,226.0,16.0,5,146.0,35.73358208868639,93.0,58.675117,
1_1_LT05_078016_19950920,35.0,153.344254,,0.9327746145726592,1995-09-20T21:10:42,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,64.366302,
1_1_LT05_078016_20050510,11.0,162.732559,,0.1935525190498569,2005-05-10T21:56:18,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,45.901428,
1_1_LT05_078016_20050627,9.0,159.283493,412.0,2.311408341102233E-5,2005-06-27T21:56:38,1.0,0.0,446.0,166.0,Yukon_Land_Upstream,600.0,78.0,29,66.0,349.0,16.0,5,188.0,52.37557590374078,91.0,40.75771,
1_1_LT05_078016_20050713,92.0,158.815659,,1.0,2005-07-13T21:56:47,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,42.416069,
1_1_LT05_078016_20050830,69.0,163.258026,,1.0,2005-08-30T21:57:09,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,55.061852,
1_1_LT05_078016_20051001,74.0,167.954285,,1.0,2005-10-01T21:57:06,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,66.880219,
1_1_LT05_078016_20060411,63.0,164.306717,,1.0,2006-04-11T22:00:41,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,55.12035,
1_1_LT05_078016_20060529,2.0,163.327286,624.9221130809775,0.04113536377714941,2006-05-29T22:01:20,1.0,0.0,774.0,170.00000000000006,Yukon_Land_Upstream,807.9999999999999,78.0,1352,68.0,821.0000000000001,16.0,5,620.0,169.04121582618436,413.99999999999994,41.92326,
1_1_LT05_078016_20060614,79.0,162.04332,,0.9866670262190753,2006-06-14T22:01:36,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,40.442936,
1_1_LT05_078016_20070703,30.0,161.095032,436.0,0.6396312147991771,2007-07-03T22:02:49,1.0,0.0,541.0,167.0,Yukon_Land_Upstream,554.0,78.0,23,66.0,393.0,16.0,5,231.0,72.14195206422576,139.0,40.914696,
1_1_LT05_078016_20070820,74.0,163.400467,,1.0,2007-08-20T22:02:19,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,51.383247,
1_1_LT05_078016_20070905,70.0,165.632355,,1.0,2007-09-05T22:02:11,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,56.841351,
1_1_LT05_078016_20080502,46.0,163.315948,,1.0,2008-05-02T21:57:52,,,,,Yukon_Land_Upstream,,78.0,0,,,16.0,5,,,,48.011467,
