system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_078016_19850924,46.0,161.792526,690.5497209462392,0.13153537346407004,1985-09-24T21:38:12,1.0,0.0,936.7051759602972,,Yukon_Water_Downstream,607.0,78.0,4439,68.0,900.9873837125098,16.0,5,84.00000000000006,162.62302272674827,46.00000000000004,64.747269,
1_1_LT05_078016_19860607,45.0,152.603836,,1.0,1986-06-07T21:33:01,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,42.206844,
1_1_LT05_078016_19950904,40.0,150.53598,,1.0,1995-09-04T21:11:29,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,58.675117,
1_1_LT05_078016_19950920,35.0,153.344254,,1.0,1995-09-20T21:10:42,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,64.366302,
1_1_LT05_078016_20050510,11.0,162.732559,1508.9999999999998,0.8969350773701614,2005-05-10T21:56:18,1.0,0.0,1863.6221522504168,,Yukon_Water_Downstream,651.0,78.0,532,68.0,1774.6877950101148,16.0,5,47.000000000000014,28.85750007370186,26.0,45.901428,
1_1_LT05_078016_20050627,9.0,159.283493,694.2623517562407,0.14622647982155082,2005-06-27T21:56:38,1.0,0.0,854.0858209815359,,Yukon_Water_Downstream,620.9999999999998,78.0,4392,68.0,893.000000000001,16.0,5,110.16166870478871,48.28159864319163,95.0,40.75771,
1_1_LT05_078016_20050713,92.0,158.815659,,1.0,2005-07-13T21:56:47,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,42.416069,
1_1_LT05_078016_20050830,69.0,163.258026,,1.0,2005-08-30T21:57:09,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,55.061852,
1_1_LT05_078016_20051001,74.0,167.954285,,1.0,2005-10-01T21:57:06,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,66.880219,
1_1_LT05_078016_20060411,63.0,164.306717,,1.0,2006-04-11T22:00:41,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,55.12035,
1_1_LT05_078016_20060529,2.0,163.327286,880.9999999999999,0.7297723797137557,2006-05-29T22:01:20,1.0,0.0,995.9999999999999,,Yukon_Water_Downstream,895.0000000000001,78.0,1392,68.0,999.9999999999999,16.0,5,73.0,25.26909378418231,25.000000000000004,41.92326,
1_1_LT05_078016_20060614,79.0,162.04332,,1.0,2006-06-14T22:01:36,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,40.442936,
1_1_LT05_078016_20070703,30.0,161.095032,,1.0,2007-07-03T22:02:49,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,40.914696,
1_1_LT05_078016_20070820,74.0,163.400467,887.0000000000008,0.0,2007-08-20T22:02:19,1.0,0.0,1344.9122549306,,Yukon_Water_Downstream,1001.0000000000002,78.0,5145,68.0,1351.9999999999995,16.0,5,9.000000000000004,31.689623657018576,23.0,51.383247,
1_1_LT05_078016_20070905,70.0,165.632355,1232.0000000000002,0.5098753874606825,2007-09-05T22:02:11,1.0,0.0,1597.5499185377805,,Yukon_Water_Downstream,956.0000000000001,78.0,2529,68.0,1526.0000000000005,16.0,5,160.00000000000003,65.75937837632104,135.0000000000001,56.841351,
1_1_LT05_078016_20080502,46.0,163.315948,,1.0,2008-05-02T21:57:52,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,48.011467,
1_1_LT05_078016_20080518,40.0,162.517654,,1.0,2008-05-18T21:57:28,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,43.965553,
1_1_LT05_078016_20080603,83.0,161.157349,,1.0,2008-06-03T21:57:02,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,41.4272,
1_1_LT05_078016_20080705,1.0,158.575638,598.0,0.0,2008-07-05T21:56:09,1.0,0.0,848.0000000000001,,Yukon_Water_Downstream,531.0000000000006,78.0,5145,68.0,887.0000000000002,16.0,5,94.00000000000003,29.982299249959603,102.0,41.482014,
1_1_LT05_078016_20080822,16.0,161.303543,765.9999999999999,0.0,2008-08-22T21:54:45,1.0,0.0,1030.9999999999995,,Yukon_Water_Downstream,677.0,78.0,5145,68.0,1012.0000000000009,16.0,5,58.00000000000001,31.09074243567192,32.0,52.562996,
1_1_LT05_078016_20090521,10.0,162.379791,1193.7194205024757,0.7896970907477519,2009-05-21T21:56:55,1.0,0.0,1214.7244599382789,,Yukon_Water_Downstream,746.9999999999999,78.0,1085,68.0,1173.0000000000002,16.0,5,47.999999999999986,25.513744941799754,25.99999999999999,43.381859,
1_1_LT05_078016_20090622,58.0,159.955688,682.1298767444229,0.8683396023315486,2009-06-22T21:57:30,1.0,0.0,646.0,,Yukon_Water_Downstream,439.0,78.0,679,68.0,576.8861607142857,16.0,5,124.00000000000001,147.8379352728119,100.0,40.527481,
1_1_LT05_078016_20090724,66.0,159.571869,848.3978524202026,0.24085303099837926,2009-07-24T21:58:02,1.0,0.0,1185.5528198825616,,Yukon_Water_Downstream,814.0,78.0,3902,68.0,1161.9106299406599,16.0,5,154.00000000000003,87.31341582285535,104.00000000000001,44.367344,
1_1_LT05_078016_20090809,65.0,160.929962,,1.0,2009-08-09T21:58:16,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,48.344864,
1_1_LT05_078016_20090825,43.0,163.042419,,1.0,2009-08-25T21:58:31,,,,,Yukon_Water_Downstream,,78.0,0,,,16.0,5,,,,53.303532,
