system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_110023_19860726,76.0,137.650192,,1.0,1986-07-26T00:51:58,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,39.538624,
1_1_LT05_110023_19900315,0.0,147.016769,,1.0,1990-03-15T00:50:09,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,60.272705,
1_1_LT05_110023_19900331,3.0,145.90979,,1.0,1990-03-31T00:49:40,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,53.899105,
1_1_LT05_110023_19901025,12.0,156.500732,,1.0,1990-10-25T00:49:07,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,67.770905,
1_1_LT05_110023_19910302,26.0,148.382523,,1.0,1991-03-02T00:50:40,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,65.265381,
1_1_LT05_110023_19910505,4.0,143.166122,,1.0,1991-05-05T00:51:52,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,41.754948,
1_1_LT05_110023_19911113,41.0,159.152405,,1.0,1991-11-13T00:53:47,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,73.160316,
1_1_LT05_110023_19920523,17.0,140.756729,842.0,0.7642401232246532,1992-05-23T00:53:11,0.0,1.071286292728351,1013.0,155.0,Amur_Land_Downstream,1682.9999999999998,110.0,180,66.0,1179.0,23.0,5,2086.0,398.39820423265303,1403.0,37.488247,
1_1_LT05_110023_19920608,0.0,138.299591,605.9999999999999,0.019452186052741394,1992-06-08T00:53:03,0.0,0.20669621489283835,869.9999999999998,149.00000000000006,Amur_Land_Downstream,1859.0121163166398,110.0,747,66.0,987.9999999999998,23.0,5,2511.0,274.99141996217645,1691.0162782359268,35.677021,
1_1_LT05_110023_19920624,26.0,136.630188,694.9999999999999,0.0,1992-06-24T00:52:50,0.0,0.0,959.9999999999999,148.00000000000006,Amur_Land_Downstream,2943.0,110.0,762,66.0,786.1516013391404,23.0,5,2220.0282548476453,201.37558985314186,1120.6124527509448,35.535702,
1_1_LT05_110023_19920811,0.0,140.871689,365.0,0.0,1992-08-11T00:52:14,0.0,0.14480959815363487,682.1442587955172,175.00000000000003,Amur_Land_Downstream,2939.8176188264433,110.0,762,66.0,574.5792830857299,23.0,5,2045.3372479503655,197.75983321882336,958.4945101575347,43.285057,
1_1_LT05_110023_19930203,59.0,151.17244,,1.0,1993-02-03T00:51:26,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,73.994148,
1_1_LT05_110023_19930219,1.0,149.492416,,1.0,1993-02-19T00:51:32,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,69.006973,
1_1_LT05_110023_19930323,50.0,147.062256,,1.0,1993-03-23T00:51:45,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,56.772861,
1_1_LT05_110023_19930526,66.0,140.015762,,1.0,1993-05-26T00:52:06,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,37.128582,
1_1_LT05_110023_19931102,13.0,158.06485,726.0,0.868223803170253,1993-11-02T00:51:40,4.0,0.0,731.0,240.0,Amur_Land_Downstream,1422.0,110.0,16,66.0,826.0,23.0,5,1030.0,82.68303559376615,648.0,70.234695,
1_1_LT05_110023_19940411,68.0,144.967987,,1.0,1994-04-11T00:49:44,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,49.727592,
1_1_LT05_110023_19940614,74.0,136.009705,,1.0,1994-06-14T00:48:32,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,35.90826,
1_1_LT05_110023_19940918,60.0,148.454147,,1.0,1994-09-18T00:46:03,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,55.264088,
1_1_LT05_110023_19941121,25.0,156.927597,,1.0,1994-11-21T00:43:59,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,75.793686,
1_1_LT05_110023_19950209,6.0,148.011734,,1.0,1995-02-09T00:41:12,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,73.240128,
1_1_LT05_110023_19950703,32.0,130.296234,446.77122350566333,0.5104550348501161,1995-07-03T00:34:59,0.0,1.0539978445302403,656.8191373076598,157.00000000000003,Amur_Land_Downstream,3929.005256241787,110.0,373,66.0,460.37758199452134,23.0,5,1928.9999999999998,449.6272460382435,853.0,38.031849,
1_1_LT05_110023_19950804,13.0,133.247696,469.0,0.9599622907833933,1995-08-04T00:33:32,0.0,0.0,697.0,175.0,Amur_Land_Downstream,4196.0,110.0,30,66.0,513.0,23.0,5,1986.0,188.7995291896195,862.0,43.357418,
1_1_LT05_110023_19960212,9.0,146.383362,,1.0,1996-02-12T00:34:48,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,72.80864,
1_1_LT05_110023_19960315,23.0,143.716446,,1.0,1996-03-15T00:36:56,,,,,Amur_Land_Downstream,,110.0,0,,,23.0,5,,,,61.036331,
