system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,860.164198325821,0.0,1989-06-11T04:06:01,0.0,0.0,1377.0000000000002,125.99999999999997,Brahmani_Land_Upstream,3265.0,139.0,159,66.0,1476.9999999999998,46.0,5,2859.0000000000005,285.22075679653864,1840.0,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,,1.0,1990-03-10T03:58:41,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,,1.0,1990-05-29T03:58:09,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,535.0,0.0,1990-10-20T03:57:30,0.0,1.6890909080726269,912.0,173.0,Brahmani_Land_Upstream,2353.0,139.0,155,66.0,952.0000000000001,46.0,5,2119.0,513.2343534090941,1222.0000000000002,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,730.6070205479451,0.018611827671833937,1990-12-23T03:57:34,0.0,0.0,1048.0,208.0,Brahmani_Land_Upstream,2248.149911816579,139.0,156,66.0,1200.5214822771213,46.0,5,2699.6844029244517,368.35658043322013,2018.322845417236,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,741.0,0.7204368475614168,1991-01-08T03:57:59,0.0,0.0,993.0,209.0,Brahmani_Land_Upstream,2236.0,139.0,42,66.0,1076.0,46.0,5,2514.0,197.13316775130596,1740.0,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,719.0,0.0,1991-01-24T03:58:27,0.0,0.3162215116975229,1009.0000000000003,204.99999999999997,Brahmani_Land_Upstream,2574.9999999999995,139.0,159,66.0,999.0000000000001,46.0,5,2371.3190158465386,410.45557653578453,1566.0,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,706.5248979591836,0.0,1991-02-09T03:58:37,0.0,0.3162215116975229,1022.9999999999998,196.99999999999994,Brahmani_Land_Upstream,2621.440159574468,139.0,159,66.0,972.2018779342724,46.0,5,2243.602782071098,368.81256802856547,1434.9695672848313,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,638.5,0.0,1991-02-25T03:59:00,0.0,0.6264100426660998,936.0,186.00000000000003,Brahmani_Land_Upstream,2924.269650655022,139.0,159,66.0,858.6791711325473,46.0,5,2336.8912556053815,457.32045043178795,1425.6998491704373,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,,1.0,1991-03-13T03:59:19,,,,,Brahmani_Land_Upstream,,139.0,0,,,46.0,5,,,,42.356289,
