system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_094074_19860826,5.0,55.976841,578.8333333333334,0.0,1986-08-26T23:32:14,4.0,1.5109587793245962,906.9999999999999,195.0,Burdekin_Water_Midstream,1725.0,94.0,87,66.0,949.9082332761577,74.0,5,1577.0,280.65051691325664,816.3486199575373,49.823284,
1_1_LT05_094074_19870525,9.0,44.396267,577.0,0.0,1987-05-25T23:35:07,4.0,1.7860571099491753,873.0,210.0,Burdekin_Water_Midstream,1981.0,94.0,40,66.0,881.0,74.0,5,1249.0,331.24675092746185,725.0,55.625542,
1_1_LT05_094074_19870712,0.0,45.031666,433.0,0.0,1987-07-12T23:36:09,4.0,1.1499191491521374,729.0,215.0,Burdekin_Water_Midstream,1520.0,94.0,44,66.0,704.0,74.0,5,1239.0,289.000331543463,687.0,57.524326,
1_1_LT05_094074_19870914,6.0,61.318451,628.5945945945946,0.0,1987-09-14T23:37:52,4.0,1.7969502884286694,945.3053892215568,175.0,Burdekin_Water_Midstream,1647.0,94.0,82,66.0,1013.7894302229563,74.0,5,1500.0,291.61663693748164,845.0,43.382408,
1_1_LT05_094074_19870930,0.0,68.147499,635.0,0.0,1987-09-30T23:38:13,4.0,1.8856180831641267,965.4921671018277,160.0,Burdekin_Water_Midstream,1665.0,94.0,102,66.0,1091.0,74.0,5,1572.0000000000005,329.76131430731385,887.0,38.842403,
1_1_LT05_094074_19871016,32.0,76.382042,754.0,0.3232187418101436,1987-10-16T23:38:31,0.0,1.9930434571835662,1097.0,,Burdekin_Water_Midstream,1525.0,94.0,24,66.0,1235.0,74.0,5,1739.0,408.30785634806904,1109.0,35.103912,
1_1_LT05_094074_19871203,20.0,99.749382,,1.0,1987-12-03T23:39:24,,,,,Burdekin_Water_Midstream,,94.0,0,,,74.0,5,,,,32.897659,
1_1_LT05_094074_19871219,61.0,102.20697,647.0,0.5051332596483633,1987-12-19T23:39:38,4.0,1.6853001769389726,969.0,144.0,Burdekin_Water_Midstream,1944.0,94.0,13,66.0,1002.0,74.0,5,1316.0,307.86625852160995,775.0,34.454914,
1_1_LT05_094074_19880104,61.0,101.147255,923.0,0.964198220166133,1988-01-04T23:39:54,0.0,,1479.0,,Burdekin_Water_Midstream,2392.0,94.0,0,66.0,1740.0,74.0,5,2191.0,,1413.0,36.216991,
1_1_LT05_094074_19880120,17.0,97.066582,628.0,0.0,1988-01-20T23:40:11,4.0,1.79416758344055,952.0,156.0,Burdekin_Water_Midstream,2121.0,94.0,43,66.0,990.0,74.0,5,1074.0,361.02384904345365,670.0,37.829025,
