system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129050_20010403,21.0,103.756882,512.0,0.0,2001-04-03T03:17:48,0.0,1.9807356233145947,690.0,134.0,Choa_Land_Downstream,2583.0,129.0,65,66.0,565.0,50.0,5,1147.0,148.3713045830242,476.0,31.481426,
1_1_LT05_129051_19871209,36.0,139.553421,,1.0,1987-12-09T03:06:36,,,,,Choa_Land_Downstream,,129.0,0,,,51.0,5,,,,46.826897,
1_1_LT05_129051_19871225,3.0,138.507629,425.0,0.0,1987-12-25T03:06:52,4.0,0.7914579359047061,611.0,191.0,Choa_Land_Downstream,2155.0,129.0,49,66.0,462.0,51.0,5,752.0,77.06927707840366,285.0,48.490585,
1_1_LT05_129051_19880110,12.0,135.6978,379.0,0.0,1988-01-10T03:07:08,4.0,0.9682458365518543,536.0,192.0,Choa_Land_Downstream,2149.0,129.0,48,66.0,434.0,51.0,5,765.0,78.08247731654596,291.0,48.761261,
1_1_LT05_129051_19880126,25.0,131.467804,1319.0,0.0,1988-01-26T03:07:25,0.0,1.5477582354991866,1385.0,188.0,Choa_Land_Downstream,2493.0,129.0,60,66.0,1185.9999999999998,51.0,5,1033.0,118.08543399684046,466.0,47.568886,
1_1_LT05_129051_19880211,69.0,126.062363,830.0,0.3722943722943723,1988-02-11T03:07:43,4.0,0.0,968.0,178.0,Choa_Land_Downstream,1587.0,129.0,9,66.0,823.0,51.0,5,627.0,38.96944038539188,358.0,45.07053,
1_1_LT05_129051_19880227,10.0,119.493698,477.0,0.5559831115386671,1988-02-27T03:07:55,4.0,0.0,640.0,168.0,Choa_Land_Downstream,2245.0,129.0,19,66.0,509.0,51.0,5,895.0,89.16665587973785,335.0,41.668289,
1_1_LT05_129051_19880314,4.0,111.650749,321.0,0.0,1988-03-14T03:08:05,4.0,0.7764309754205228,538.0,156.0,Choa_Land_Downstream,2197.812977099237,129.0,51,66.0,428.0,51.0,5,856.0,95.25294842159262,359.0,37.912098,
1_1_LT05_129051_19880330,1.0,102.459976,468.00000000000006,0.0,1988-03-30T03:08:12,4.0,0.5163236003975529,680.0,144.0,Choa_Land_Downstream,2089.0000000000005,129.0,59,66.0,560.0,51.0,5,1022.0000000000001,104.75962005863238,451.0,34.486622,
1_1_LT05_129051_19880415,57.0,92.273125,712.0,0.0404040404040404,1988-04-15T03:08:16,0.0,1.92,905.0,135.0,Choa_Land_Downstream,2582.0,129.0,50,66.0,697.0,51.0,5,1093.0,127.59281484472395,414.0,32.001133,
