system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129050_20000416,69.0,94.355904,,1.0,2000-04-16T03:12:22,,,,,Choa_Land_Midstream,,129.0,0,,,50.0,5,,,,30.614697,
1_1_LT05_129050_20001110,0.0,140.017548,348.3426602343211,0.0,2000-11-10T03:16:38,4.0,1.7388858351834429,466.00347372991746,166.99999999999997,Choa_Land_Midstream,2374.228088218489,129.0,419,66.0,380.1836741535367,50.0,5,919.9999999999999,106.68410345264441,323.00000000000006,40.789085,
1_1_LT05_129050_20010403,21.0,103.756882,488.16369306976077,1.453343143399551E-4,2001-04-03T03:17:48,0.0,1.3105378459551884,646.9999999999999,133.0,Choa_Land_Midstream,2624.88294160852,129.0,417,66.0,497.4139358165412,50.0,5,1047.0,141.04489259357732,405.0000000000001,31.481426,
1_1_LT05_129051_19871209,36.0,139.553421,683.0,0.20308653750079492,1987-12-09T03:06:36,0.0,1.9856603292168173,904.0000000000001,186.0,Choa_Land_Midstream,2541.1122503328897,129.0,343,66.0,726.1933212824661,51.0,5,1043.0,97.00817016801322,541.0,46.826897,
1_1_LT05_129051_19871225,3.0,138.507629,422.00000000000006,0.0,1987-12-25T03:06:52,4.0,1.9700492216669931,608.9999999999999,191.0,Choa_Land_Midstream,2438.329026242174,129.0,406,66.0,458.7627118644066,51.0,5,846.6412350454902,132.07471496076113,284.9999999999999,48.490585,
1_1_LT05_129051_19880110,12.0,135.6978,359.99999999999994,0.0,1988-01-10T03:07:08,4.0,1.7929451009200321,537.9999999999998,192.0,Choa_Land_Midstream,2387.9999999999995,129.0,413,66.0,396.00000000000006,51.0,5,798.8310991957105,126.34702460041345,293.00000000000006,48.761261,
1_1_LT05_129051_19880126,25.0,131.467804,,1.0,1988-01-26T03:07:25,,,,,Choa_Land_Midstream,,129.0,0,,,51.0,5,,,,47.568886,
1_1_LT05_129051_19880211,69.0,126.062363,,1.0,1988-02-11T03:07:43,,,,,Choa_Land_Midstream,,129.0,0,,,51.0,5,,,,45.07053,
1_1_LT05_129051_19880227,10.0,119.493698,477.0,0.04490830313104616,1988-02-27T03:07:55,0.0,1.6538109165466532,639.0,170.0,Choa_Land_Midstream,2782.932827963782,129.0,393,66.0,474.0,51.0,5,952.0,167.1729457464206,335.00000000000006,41.668289,
1_1_LT05_129051_19880314,4.0,111.650749,287.0,0.0,1988-03-14T03:08:05,0.0,1.4921335721194804,462.4677799028983,157.0,Choa_Land_Midstream,2717.199029911076,129.0,419,66.0,361.0,51.0,5,882.9999999999999,126.84279678070834,321.00000000000006,37.912098,
