system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129050_20010403,21.0,103.756882,1506.0,0.35795177080668794,2001-04-03T03:17:48,0.0,1.9115384481496378,1836.0,133.0,Choa_Water_Downstream,1898.0,129.0,34,66.0,1771.0,50.0,5,1729.0,430.3448042198615,1341.0,31.481426,
1_1_LT05_129051_19871209,36.0,139.553421,,1.0,1987-12-09T03:06:36,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,46.826897,
1_1_LT05_129051_19871225,3.0,138.507629,,0.0,1987-12-25T03:06:52,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,48.490585,
1_1_LT05_129051_19880110,12.0,135.6978,,0.0,1988-01-10T03:07:08,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,48.761261,
1_1_LT05_129051_19880126,25.0,131.467804,,0.9940701811501523,1988-01-26T03:07:25,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,47.568886,
1_1_LT05_129051_19880211,69.0,126.062363,,0.26095853777643424,1988-02-11T03:07:43,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,45.07053,
1_1_LT05_129051_19880227,10.0,119.493698,,0.6337929911866615,1988-02-27T03:07:55,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,41.668289,
1_1_LT05_129051_19880314,4.0,111.650749,,0.0,1988-03-14T03:08:05,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,37.912098,
1_1_LT05_129051_19880330,1.0,102.459976,,0.0,1988-03-30T03:08:12,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,34.486622,
1_1_LT05_129051_19880415,57.0,92.273125,,0.10220217194149246,1988-04-15T03:08:16,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,32.001133,
1_1_LT05_129051_19880805,8.0,78.867432,,0.0,1988-08-05T03:08:53,,,,,Choa_Water_Downstream,,129.0,0,,,51.0,5,,,,32.903454,
