system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129050_20000416,69.0,94.355904,,1.0,2000-04-16T03:12:22,,,,,Choa_Water_Midstream,,129.0,0,,,50.0,5,,,,30.614697,
1_1_LT05_129050_20001110,0.0,140.017548,,0.0,2000-11-10T03:16:38,,,,,Choa_Water_Midstream,,129.0,0,,,50.0,5,,,,40.789085,
1_1_LT05_129050_20010403,21.0,103.756882,1118.0,0.030599837881653626,2001-04-03T03:17:48,4.0,2.0,1405.0,133.0,Choa_Water_Midstream,1477.0,129.0,2,66.0,1298.0,50.0,5,1149.0,50.0,730.0,31.481426,
1_1_LT05_129051_19871209,36.0,139.553421,,0.9534134918490502,1987-12-09T03:06:36,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,46.826897,
1_1_LT05_129051_19871225,3.0,138.507629,676.0,0.0,1987-12-25T03:06:52,4.0,0.0,968.0,191.0,Choa_Water_Midstream,982.0,129.0,1,68.0,892.0,51.0,5,972.0,0.0,509.0,48.490585,
1_1_LT05_129051_19880110,12.0,135.6978,,0.0,1988-01-10T03:07:08,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,48.761261,
1_1_LT05_129051_19880126,25.0,131.467804,,1.0,1988-01-26T03:07:25,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,47.568886,
1_1_LT05_129051_19880211,69.0,126.062363,,1.0,1988-02-11T03:07:43,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,45.07053,
1_1_LT05_129051_19880227,10.0,119.493698,,0.5720525983968299,1988-02-27T03:07:55,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,41.668289,
1_1_LT05_129051_19880314,4.0,111.650749,,0.0,1988-03-14T03:08:05,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,37.912098,
1_1_LT05_129051_19880330,1.0,102.459976,616.0,0.0,1988-03-30T03:08:12,4.0,0.0,822.0,144.0,Choa_Water_Midstream,900.0,129.0,1,68.0,844.0,51.0,5,1022.0,0.0,744.0,34.486622,
1_1_LT05_129051_19880415,57.0,92.273125,,1.0,1988-04-15T03:08:16,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,32.001133,
1_1_LT05_129051_19880805,8.0,78.867432,,0.0,1988-08-05T03:08:53,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,32.903454,
1_1_LT05_129051_19880906,73.0,98.813446,,1.0,1988-09-06T03:08:57,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,32.15062,
1_1_LT05_129051_19881008,75.0,121.345657,,1.0,1988-10-08T03:08:47,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,34.69796,
1_1_LT05_129051_19881024,46.0,130.138702,,0.0,1988-10-24T03:08:43,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,37.570194,
1_1_LT05_129051_19881211,34.0,139.901047,,0.0,1988-12-11T03:08:34,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,46.954632,
1_1_LT05_129051_19881227,1.0,138.422028,,0.0,1988-12-27T03:08:29,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,48.441727,
1_1_LT05_129051_19890213,8.0,125.055016,997.0,0.07609805157765173,1989-02-13T03:08:10,4.0,,1106.0,,Choa_Water_Midstream,1123.0,129.0,0,68.0,1058.0,51.0,5,1322.0,,812.0,44.512928,
1_1_LT05_129051_19890317,16.0,110.045937,,0.9974331261821129,1989-03-17T03:07:18,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,37.413406,
1_1_LT05_129051_19890402,30.0,100.633011,888.0,0.029286379056711415,1989-04-02T03:07:12,4.0,0.0,1115.0,143.0,Choa_Water_Midstream,1225.0,129.0,1,66.0,1007.0,51.0,5,955.0,0.0,567.0,34.203705,
1_1_LT05_129051_19890418,10.0,90.430725,1111.0,0.9203818787715037,1989-04-18T03:07:09,0.0,,1265.0,,Choa_Water_Midstream,1340.0,129.0,0,130.0,1141.0,51.0,5,1381.0,,837.0,32.026798,
1_1_LT05_129051_19890504,4.0,80.674042,,0.002416764237893664,1989-05-04T03:06:55,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,31.17263,
1_1_LT05_129051_19890520,75.0,72.95842,,1.0,1989-05-20T03:06:34,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,31.474709,
1_1_LT05_129051_19890605,71.0,68.323616,,1.0,1989-06-05T03:06:23,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,32.407135,
1_1_LT05_129051_19890707,24.0,68.759659,2407.5,0.5935407847728846,1989-07-07T03:05:42,2.0,2.0,2720.0,143.0,Choa_Water_Midstream,3344.0,129.0,2,98.0,2626.0,51.0,5,2155.5,52.5,1346.5,34.022385,
1_1_LT05_129051_19891011,22.0,121.745995,,1.0,1989-10-11T03:03:32,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,36.261753,
1_1_LT05_129051_19891027,21.0,129.892609,,0.9808159956768445,1989-10-27T03:02:53,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,39.216763,
1_1_LT05_129051_19900115,21.0,132.998413,,1.0,1990-01-15T03:00:39,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,49.73671,
1_1_LT05_129051_19900131,2.0,128.240829,,0.16996157194752184,1990-01-31T03:00:09,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,48.299908,
1_1_LT05_129051_19900421,77.0,88.269478,,1.0,1990-04-21T02:58:24,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,33.900547,
1_1_LT05_129051_19900507,33.0,79.296379,,1.0,1990-05-07T02:58:20,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,33.171478,
1_1_LT05_129051_19900523,83.0,72.406174,,1.0,1990-05-23T02:58:22,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,33.49889,
1_1_LT05_129051_19900624,59.0,67.692215,,1.0,1990-06-24T02:58:19,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,35.259232,
1_1_LT05_129051_19900726,42.0,74.596359,,1.0,1990-07-26T02:58:13,,,,,Choa_Water_Midstream,,129.0,0,,,51.0,5,,,,35.728752,
1_1_LT05_129051_19900811,38.0,81.699631,799.0,0.0,1990-08-11T02:58:09,4.0,,1078.0,,Choa_Water_Midstream,1403.0,129.0,0,66.0,1164.0,51.0,5,1182.0,,897.0,35.307632,
