system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_038038_19840508,0.0,111.917007,1804.0000000000002,0.0,1984-05-08T17:37:58,0.0,0.0,2541.0,126.99999999999999,Colorado_Land_Midstream,3665.9999999999986,38.0,428,66.0,3135.0,38.0,5,4316.0,223.1543939714859,3337.9999999999995,29.977928,
1_1_LT05_038038_19840609,0.0,101.065132,946.9999999999999,0.0,1984-06-09T17:38:47,4.0,1.9999701392258578,1435.0000000000002,118.0,Colorado_Land_Midstream,2239.0,38.0,366,66.0,1717.0,38.0,5,1852.9999999999998,1144.7844570894495,997.9999999999999,27.617813,
1_1_LT05_038038_19840625,37.0,99.693436,,1.0,1984-06-25T17:39:02,,,,,Colorado_Land_Midstream,,38.0,0,,,38.0,5,,,,28.112442,
1_1_LT05_038038_19841202,19.0,151.128891,,1.0,1984-12-02T17:40:31,,,,,Colorado_Land_Midstream,,38.0,0,,,38.0,5,,,,59.554749,
1_1_LT05_038038_19841218,13.0,150.139114,1130.9999999999998,0.0,1984-12-18T17:40:42,0.0,0.0,1574.9999999999998,224.0,Colorado_Land_Midstream,2427.0,38.0,428,66.0,1946.6225555720573,38.0,5,3005.4496607869746,491.7266449893026,2452.0,61.503426,
1_1_LT05_038038_19850119,8.0,145.15181,,1.0,1985-01-19T17:40:56,,,,,Colorado_Land_Midstream,,38.0,0,,,38.0,5,,,,60.322701,
1_1_LT05_038038_19850730,0.0,108.081398,1492.9999999999995,0.0,1985-07-30T17:40:23,0.0,0.0,2083.9999999999995,131.00000000000003,Colorado_Land_Midstream,3090.709338929695,38.0,428,66.0,2630.9999999999995,38.0,5,3849.0681838306914,245.94906761304557,3408.999999999999,30.949169,
1_1_LT05_038038_19850815,0.0,115.516083,1524.9999999999998,0.0,1985-08-15T17:40:14,0.0,0.0,2135.0000000000005,139.0,Colorado_Land_Midstream,3198.0,38.0,428,66.0,2688.496292416683,38.0,5,3912.0,226.1802852175337,3558.504076459303,33.142277,
1_1_LT05_038038_19850831,50.0,123.878235,,1.0,1985-08-31T17:40:03,,,,,Colorado_Land_Midstream,,38.0,0,,,38.0,5,,,,35.976154,
1_1_LT05_038038_19850916,4.0,132.081482,1558.0,0.0,1985-09-16T17:39:50,0.0,0.0,2218.0,162.0,Colorado_Land_Midstream,3391.0,38.0,428,66.0,2812.0,38.0,5,4391.0,704.4355800341355,3895.000000000001,39.540611,
