system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_183064_19870306,55.0,92.169609,,0.9964351360377067,1987-03-06T08:38:37,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,5,,,,40.02877,
1_1_LT05_183064_19870728,46.0,55.44453,,1.0,1987-07-28T08:42:34,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,5,,,,44.894402,
1_1_LT05_183064_19950413,71.0,70.338898,,1.0,1995-04-13T08:26:06,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,5,,,,43.104996,
1_1_LT05_183064_19950531,53.0,53.696445,1287.0,0.9101887776019028,1995-05-31T08:23:57,0.0,1.5357077969132018,1321.0,190.0,Congo_Land_Downstream,2042.0,183.0,128,66.0,1130.0,64.0,5,1084.0,829.4765951339435,697.0,48.27528,
1_1_LT05_183064_19980624,46.0,47.262653,1082.0,0.7749465813416161,1998-06-24T08:55:02,0.0,1.947596182386346,1082.0,177.0,Congo_Land_Downstream,1800.0,183.0,321,66.0,1052.9999999999995,64.0,5,803.0,345.1476077404682,368.99999999999994,44.092213,
1_1_LT05_183064_19980726,34.0,52.753124,576.5079547544601,0.4525612447972808,1998-07-26T08:55:24,4.0,1.0825401328963153,741.7025241631067,172.00000000000003,Congo_Land_Downstream,2201.3461563840315,183.0,754,66.0,630.002428818073,64.0,5,1189.0622006043186,232.27698222643352,493.3749371842684,42.535198,
1_1_LT05_183064_19981115,72.0,116.652382,,1.0,1998-11-15T08:56:06,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,5,,,,31.102718,
1_2_LE07_183064_19990705,84.0,45.305725,,1.0,1999-07-05T09:09:50,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,41.450283,
1_2_LE07_183064_19990822,31.0,59.575905,1240.9999999999998,0.718500639394869,1999-08-22T09:09:58,0.0,0.3442555998409193,1273.0,146.0,Congo_Land_Downstream,2495.0000000000005,183.0,402,66.0,1118.0,64.0,7,1391.0,162.54618741831987,555.0,34.924355,
1_2_LE07_183064_19991025,87.0,105.596809,,1.0,1999-10-25T09:09:57,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,26.021759,
1_2_LE07_183064_20000214,51.0,105.231361,873.0,0.9921480681043775,2000-02-14T09:09:48,0.0,1.1055415967851332,851.0,141.0,Congo_Land_Downstream,2971.0,183.0,12,66.0,707.0,64.0,7,1333.0,148.1842649841372,454.0,33.480301,
1_2_LE07_183064_20000301,40.0,94.707275,442.0,0.904973161705813,2000-03-01T09:09:43,0.0,1.3228756555322954,652.9999999999999,137.0,Congo_Land_Downstream,2943.0,183.0,136,66.0,478.0000000000001,64.0,7,1417.7142857142858,141.40387915244727,548.0,32.495789,
1_2_LE07_183064_20000317,95.0,82.876152,,1.0,2000-03-17T09:09:40,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,31.969574,
1_2_LE07_183064_20000402,96.0,70.913795,,1.0,2000-04-02T09:09:34,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,32.376064,
1_2_LE07_183064_20000418,80.0,60.29892,1175.0,0.5744861084337675,2000-04-18T09:09:20,0.0,0.0,1269.0,142.0,Congo_Land_Downstream,3232.0,183.0,614,66.0,1037.0,64.0,7,1480.92822475266,192.27901732551507,649.0,33.827736,
1_2_LE07_183064_20000504,65.0,52.164394,,1.0,2000-05-04T09:09:19,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,36.022896,
1_2_LE07_183064_20000707,70.0,46.007175,1042.1717171717169,0.7282666833189888,2000-07-07T09:08:39,0.0,1.9453370120974802,1074.9999999999998,168.99999999999997,Congo_Land_Downstream,2120.5671462829737,183.0,323,66.0,944.9999999999999,64.0,7,971.0000000000001,232.79068004129178,387.99999999999994,41.581577,
1_2_LE07_183064_20000824,73.0,61.274265,,1.0,2000-08-24T09:08:04,,,,,Congo_Land_Downstream,,183.0,0,,,64.0,7,,,,34.751743,
